model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","hierarchical_shrinkage",1024,2,0.024161277873669687,0.026561394812621153,0.06201402444504778,119
"3B","hierarchical_shrinkage",1024,4,0.026280230164774623,0.027265083643785413,0.06783014551542343,119
"3B","hierarchical_shrinkage",1024,8,0.028830461505216433,0.02753346312977286,0.07454329009946103,119
"3B","hierarchical_shrinkage",1024,16,0.03054828884983728,0.0284592638577503,0.0873725197387023,119
"3B","hierarchical_shrinkage",1024,32,0.03370420147907111,0.0274475792001485,0.14118507094886523,119
"3B","hierarchical_shrinkage",1024,48,0.03705908948012433,0.027276541859526413,0.17695481055355103,119
"3B","hierarchical_shrinkage",1024,64,0.04084266369413605,0.028631309700029917,0.1922400245495521,119
"3B","hierarchical_shrinkage",1024,128,0.053494426113292436,0.03216935112685093,0.24308255624444203,119
"3B","hierarchical_shrinkage",1024,256,0.06914235496740913,0.03281899258868137,0.3663883460877665,119
"3B","oracle_full_distribution",8,1,0.003145105698529412,0.002197265625,0.017822265625,119
"3B","oracle_full_distribution",8,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",8,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",8,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",8,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",8,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",8,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",8,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",8,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",8,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","oracle_full_distribution",16,1,0.003145105698529412,0.002197265625,0.017822265625,119
"3B","oracle_full_distribution",16,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",16,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",16,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",16,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",16,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",16,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",16,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",16,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",16,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","oracle_full_distribution",32,1,0.003145105698529412,0.002197265625,0.017822265625,119
"3B","oracle_full_distribution",32,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",32,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",32,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",32,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",32,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",32,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",32,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",32,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",32,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","oracle_full_distribution",64,1,0.003145105698529412,0.002197265625,0.017822265625,119
"3B","oracle_full_distribution",64,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",64,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",64,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",64,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",64,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",64,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",64,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",64,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",64,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","oracle_full_distribution",128,1,0.003145105698529412,0.002197265625,0.017822265625,119
"3B","oracle_full_distribution",128,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",128,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",128,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",128,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",128,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",128,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",128,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",128,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",128,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","oracle_full_distribution",256,1,0.003145105698529412,0.002197265625,0.017822265625,119
