model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","hierarchical_shrinkage",8,1,0.311656057950141,0.35059140843837544,0.49219297093837544,119
"3B","hierarchical_shrinkage",8,2,0.3185677872327866,0.3657976991099581,0.4806419803537463,119
"3B","hierarchical_shrinkage",8,4,0.3250550952102663,0.3768856812191581,0.4758408657132742,119
"3B","hierarchical_shrinkage",8,8,0.3317971771003946,0.37864557484935246,0.4727630398097489,119
"3B","hierarchical_shrinkage",8,16,0.33924447290387333,0.3867651241426358,0.4719251202423891,119
"3B","hierarchical_shrinkage",8,32,0.34796815935257364,0.396816369223434,0.4960142907331682,119
"3B","hierarchical_shrinkage",8,48,0.353775004011017,0.40086077077396803,0.5050888015773913,119
"3B","hierarchical_shrinkage",8,64,0.35741915470158514,0.40517332429750536,0.510189513134794,119
"3B","hierarchical_shrinkage",8,128,0.3649634499599135,0.40137187677739417,0.5319470892049745,119
"3B","hierarchical_shrinkage",8,256,0.37383642430382547,0.39295301069144006,0.57328314034029,119
"3B","hierarchical_shrinkage",16,1,0.28017614674546293,0.3093700761554622,0.4423877363445379,119
"3B","hierarchical_shrinkage",16,2,0.2846087469689953,0.32063663546778565,0.44170902316309824,119
"3B","hierarchical_shrinkage",16,4,0.2893712489032434,0.336756412458334,0.4393515694499628,119
"3B","hierarchical_shrinkage",16,8,0.2951903170943056,0.3386642877885814,0.44850292104839495,119
"3B","hierarchical_shrinkage",16,16,0.30309814439409377,0.3545049951517425,0.44978858636855706,119
"3B","hierarchical_shrinkage",16,32,0.31120288372697297,0.35879013220768685,0.4872038206601722,119
"3B","hierarchical_shrinkage",16,48,0.3155062701126756,0.3628305600651321,0.501342909817369,119
"3B","hierarchical_shrinkage",16,64,0.318344911398326,0.3644159921559806,0.5076912820679567,119
"3B","hierarchical_shrinkage",16,128,0.3290920238421429,0.36222177496217456,0.5225759635239778,119
"3B","hierarchical_shrinkage",16,256,0.34043895449566175,0.353657709622978,0.5419122333138865,119
"3B","hierarchical_shrinkage",32,1,0.23501608823676529,0.2586304052871149,0.3676798844537815,119
"3B","hierarchical_shrinkage",32,2,0.23871090240241463,0.2654599502307027,0.3658266708630473,119
"3B","hierarchical_shrinkage",32,4,0.24251971665118582,0.2806747416399133,0.35948910287324054,119
"3B","hierarchical_shrinkage",32,8,0.24731825030691967,0.2854483425790466,0.3853291021436608,119
"3B","hierarchical_shrinkage",32,16,0.253088656656343,0.29098564110107306,0.4449439498101163,119
"3B","hierarchical_shrinkage",32,32,0.26049402688911216,0.2973323576209117,0.5222168721614882,119
"3B","hierarchical_shrinkage",32,48,0.26581657081668264,0.29781605708242387,0.5694680698028941,119
"3B","hierarchical_shrinkage",32,64,0.2693939136134759,0.2986625337581347,0.5969327822210322,119
"3B","hierarchical_shrinkage",32,128,0.2780880829305336,0.30121848758881087,0.6294776129742001,119
