model,problem_idx,K,N,estimator,predicted,actual,abs_error,difficulty_bin
"3B",0,8,1,"raw_plugin",0.875,0.7265625,0.1484375,"medium"
"3B",0,8,1,"hierarchical_shrinkage",0.4880587651727357,0.7265625,0.23850373482726428,"medium"
"3B",0,8,1,"tail_smoothed_moment",0.875,0.7265625,0.1484375,"medium"
"3B",0,8,1,"oracle_full_distribution",0.7255859375,0.7265625,0.0009765625,"medium"
"3B",0,8,2,"raw_plugin",0.984375,0.7550544738769531,0.22932052612304688,"medium"
"3B",0,8,2,"hierarchical_shrinkage",0.5136489013329941,0.7550544738769531,0.241405572543959,"medium"
"3B",0,8,2,"tail_smoothed_moment",0.9739583333333334,0.7550544738769531,0.21890385945638025,"medium"
"3B",0,8,2,"oracle_full_distribution",0.7548974752426147,0.7550544738769531,0.0001569986343383789,"medium"
"3B",0,8,4,"raw_plugin",0.999755859375,0.7690960889253802,0.23065977044961983,"medium"
"3B",0,8,4,"hierarchical_shrinkage",0.5231159285699314,0.7690960889253802,0.24598016035544878,"medium"
"3B",0,8,4,"tail_smoothed_moment",0.9986165364583334,0.7690960889253802,0.2295204475329532,"medium"
"3B",0,8,4,"oracle_full_distribution",0.7680412327858548,0.7690960889253802,0.0010548561395253842,"medium"
"3B",0,8,8,"raw_plugin",0.9999999403953552,0.7746115196831045,0.22538842071225074,"medium"
"3B",0,8,8,"hierarchical_shrinkage",0.5271723251160515,0.7746115196831045,0.247439194567053,"medium"
"3B",0,8,8,"tail_smoothed_moment",0.9999948938687643,0.7746115196831045,0.2253833741856598,"medium"
"3B",0,8,8,"oracle_full_distribution",0.7742919929063089,0.7746115196831045,0.0003195267767955867,"medium"
"3B",0,8,16,"raw_plugin",0.9999999999999964,0.780763964878073,0.21923603512192347,"medium"
"3B",0,8,16,"hierarchical_shrinkage",0.5280747250292399,0.780763964878073,0.25268923984883307,"medium"
"3B",0,8,16,"tail_smoothed_moment",0.9999999999223886,0.780763964878073,0.21923603504431566,"medium"
"3B",0,8,16,"oracle_full_distribution",0.7827239345377403,0.780763964878073,0.001959969659667271,"medium"
"3B",0,8,32,"raw_plugin",1.0,0.7969622945301332,0.20303770546986677,"medium"
"3B",0,8,32,"hierarchical_shrinkage",0.5258745301355707,0.7969622945301332,0.2710877643945625,"medium"
"3B",0,8,32,"tail_smoothed_moment",1.0,0.7969622945301332,0.20303770546986677,"medium"
"3B",0,8,32,"oracle_full_distribution",0.8051887801573572,0.7969622945301332,0.008226485627223945,"medium"
"3B",0,8,48,"raw_plugin",1.0,0.8102753768778638,0.18972462312213623,"medium"
"3B",0,8,48,"hierarchical_shrinkage",0.5232899658772879,0.8102753768778638,0.28698541100057584,"medium"
"3B",0,8,48,"tail_smoothed_moment",1.0,0.8102753768778638,0.18972462312213623,"medium"
"3B",0,8,48,"oracle_full_distribution",0.8258235075913343,0.8102753768778638,0.015548130713470498,"medium"
"3B",0,8,64,"raw_plugin",1.0,0.8185866752466323,0.1814133247533677,"medium"
"3B",0,8,64,"hierarchical_shrinkage",0.52096245627157,0.8185866752466323,0.2976242189750623,"medium"
"3B",0,8,64,"tail_smoothed_moment",1.0,0.8185866752466323,0.1814133247533677,"medium"
"3B",0,8,64,"oracle_full_distribution",0.8412645398630131,0.8185866752466323,0.022677864616380772,"medium"
"3B",0,8,128,"raw_plugin",1.0,0.8300342894407302,0.1699657105592698,"medium"
"3B",0,8,128,"hierarchical_shrinkage",0.5136073846635432,0.8300342894407302,0.31642690477718705,"medium"
"3B",0,8,128,"tail_smoothed_moment",1.0,0.8300342894407302,0.1699657105592698,"medium"
"3B",0,8,128,"oracle_full_distribution",0.8746518901938,0.8300342894407302,0.04461760075306975,"medium"
"3B",0,8,256,"raw_plugin",1.0,0.8253304123000496,0.17466958769995045,"medium"
"3B",0,8,256,"hierarchical_shrinkage",0.5040641218034616,0.8253304123000496,0.32126629049658795,"medium"
"3B",0,8,256,"tail_smoothed_moment",1.0,0.8253304123000496,0.17466958769995045,"medium"
"3B",0,8,256,"oracle_full_distribution",0.8952927512871279,0.8253304123000496,0.06996233898707838,"medium"
"3B",1,8,1,"raw_plugin",0.0,0.0517578125,0.0517578125,"hard"
"3B",1,8,1,"hierarchical_shrinkage",0.3908365429505135,0.0517578125,0.3390787304505135,"hard"
"3B",1,8,1,"tail_smoothed_moment",0.0,0.0517578125,0.0517578125,"hard"
"3B",1,8,1,"oracle_full_distribution",0.052734375,0.0517578125,0.0009765625,"hard"
"3B",1,8,2,"raw_plugin",0.0,0.040708065032958984,0.040708065032958984,"hard"
"3B",1,8,2,"hierarchical_shrinkage",0.4042739013329941,0.040708065032958984,0.36356583630003514,"hard"
"3B",1,8,2,"tail_smoothed_moment",0.0,0.040708065032958984,0.040708065032958984,"hard"
"3B",1,8,2,"oracle_full_distribution",0.03958690166473389,0.040708065032958984,0.0011211633682250977,"hard"
"3B",1,8,4,"raw_plugin",0.0,0.03419416073836601,0.03419416073836601,"hard"
"3B",1,8,4,"hierarchical_shrinkage",0.4120319441949314,0.03419416073836601,0.3778377834565654,"hard"
"3B",1,8,4,"tail_smoothed_moment",0.0,0.03419416073836601,0.03419416073836601,"hard"
"3B",1,8,4,"oracle_full_distribution",0.03288835761434683,0.03419416073836601,0.001305803124019178,"hard"
"3B",1,8,8,"raw_plugin",0.0,0.029649255818727946,0.029649255818727946,"hard"
"3B",1,8,8,"hierarchical_shrinkage",0.4160612206276787,0.029649255818727946,0.38641196480895074,"hard"
"3B",1,8,8,"tail_smoothed_moment",0.0,0.029649255818727946,0.029649255818727946,"hard"
"3B",1,8,8,"oracle_full_distribution",0.028169202196889863,0.029649255818727946,0.001480053621838083,"hard"
"3B",1,8,16,"raw_plugin",0.0,0.023735136054972093,0.023735136054972093,"hard"
"3B",1,8,16,"hierarchical_shrinkage",0.41696361391812914,0.023735136054972093,0.39322847786315707,"hard"
"3B",1,8,16,"tail_smoothed_moment",0.0,0.023735136054972093,0.023735136054972093,"hard"
"3B",1,8,16,"oracle_full_distribution",0.02214540839610041,0.023735136054972093,0.001589727658871682,"hard"
"3B",1,8,32,"raw_plugin",0.0,0.016725334349030535,0.016725334349030535,"hard"
"3B",1,8,32,"hierarchical_shrinkage",0.41476341902445957,0.016725334349030535,0.398038084675429,"hard"
"3B",1,8,32,"tail_smoothed_moment",0.0,0.016725334349030535,0.016725334349030535,"hard"
"3B",1,8,32,"oracle_full_distribution",0.015613609774431499,0.016725334349030535,0.0011117245745990365,"hard"
