model,K,N,estimator,predicted,actual,abs_error,num_problems
"3B",8,1,"pooled",0.45903361344537813,0.43839039522058826,0.020643218224789872,119
"3B",8,2,"pooled",0.5009147041169413,0.4820950571051493,0.01881964701179195,119
"3B",8,4,"pooled",0.531971810912527,0.5123277445980884,0.019644066314438602,119
"3B",8,8,"pooled",0.5528685722763516,0.529146078498934,0.02372249377741753,119
"3B",8,16,"pooled",0.5641661579497517,0.5356450871837157,0.02852107076603594,119
"3B",8,32,"pooled",0.5667135590916897,0.5340155204807278,0.03269803861096199,119
"3B",8,48,"pooled",0.5643382808142118,0.529174391603525,0.035163889210686805,119
"3B",8,64,"pooled",0.5605556348236205,0.5233820173891203,0.037173617434500206,119
"3B",8,128,"pooled",0.549831014306654,0.4977863567058399,0.052044657600814115,119
"3B",8,256,"pooled",0.537730481167222,0.4507341435119078,0.08699633765531417,119
"3B",16,1,"pooled",0.4543067226890756,0.43839039522058826,0.015916327468487368,119
"3B",16,2,"pooled",0.48917774830520494,0.4820950571051493,0.007082691200055613,119
"3B",16,4,"pooled",0.5151300374831782,0.5123277445980884,0.0028022928850898188,119
"3B",16,8,"pooled",0.5285490169015775,0.529146078498934,0.0005970615973565074,119
"3B",16,16,"pooled",0.5288031491790377,0.5356450871837157,0.006841938004678028,119
"3B",16,32,"pooled",0.5163961339892343,0.5340155204807278,0.017619386491493416,119
"3B",16,48,"pooled",0.5029254720666859,0.529174391603525,0.026248919536839055,119
"3B",16,64,"pooled",0.4896206815302423,0.5233820173891203,0.03376133585887797,119
"3B",16,128,"pooled",0.4381945292401045,0.4977863567058399,0.059591827465735436,119
"3B",16,256,"pooled",0.35346171057359,0.4507341435119078,0.09727243293831783,119
"3B",32,1,"pooled",0.44642857142857145,0.43839039522058826,0.008038176207983194,119
"3B",32,2,"pooled",0.4808445896741035,0.4820950571051493,0.001250467431045843,119
"3B",32,4,"pooled",0.5023467093340916,0.5123277445980884,0.00998103526399674,119
"3B",32,8,"pooled",0.5082488908557372,0.529146078498934,0.020897187643196813,119
"3B",32,16,"pooled",0.4982472659142501,0.5356450871837157,0.037397821269465614,119
"3B",32,32,"pooled",0.47744517903181255,0.5340155204807278,0.05657034144891521,119
"3B",32,48,"pooled",0.46282204570107505,0.529174391603525,0.06635234590244993,119
"3B",32,64,"pooled",0.4504903048624624,0.5233820173891203,0.07289171252665788,119
"3B",32,128,"pooled",0.4053521354325835,0.4977863567058399,0.0924342212732564,119
"3B",32,256,"pooled",0.334844673918799,0.4507341435119078,0.11588946959310881,119
"3B",64,1,"pooled",0.43999474789915966,0.43839039522058826,0.0016043526785713969,119
"3B",64,2,"pooled",0.47765596932706794,0.4820950571051493,0.004439087778081385,119
"3B",64,4,"pooled",0.5014241667391873,0.5123277445980884,0.010903577858901059,119
"3B",64,8,"pooled",0.5121901869376599,0.529146078498934,0.016955891561274083,119
"3B",64,16,"pooled",0.5082472549264255,0.5356450871837157,0.0273978322572902,119
"3B",64,32,"pooled",0.49317793380861685,0.5340155204807278,0.040837586672110904,119
"3B",64,48,"pooled",0.4821578459350606,0.529174391603525,0.04701654566846436,119
"3B",64,64,"pooled",0.4723812846429595,0.5233820173891203,0.05100073274616079,119
"3B",64,128,"pooled",0.43358175809937494,0.4977863567058399,0.06420459860646499,119
"3B",64,256,"pooled",0.376206957779423,0.4507341435119078,0.07452718573248485,119
"3B",128,1,"pooled",0.4413077731092437,0.43839039522058826,0.002917377888655426,119
"3B",128,2,"pooled",0.4801499931314443,0.4820950571051493,0.0019450639737050301,119
"3B",128,4,"pooled",0.5038796658280512,0.5123277445980884,0.00844807877003717,119
"3B",128,8,"pooled",0.5135156858661344,0.529146078498934,0.01563039263279964,119
"3B",128,16,"pooled",0.5111291179385113,0.5356450871837157,0.024515969245204383,119
"3B",128,32,"pooled",0.500340150548594,0.5340155204807278,0.033675369932133714,119
"3B",128,48,"pooled",0.4922208226194389,0.529174391603525,0.03695356898408608,119
"3B",128,64,"pooled",0.4853318296583375,0.5233820173891203,0.03805018773078278,119
"3B",128,128,"pooled",0.4600441989586641,0.4977863567058399,0.03774215774717582,119
"3B",128,256,"pooled",0.41747997310920193,0.4507341435119078,0.033254170402705896,119
"3B",256,1,"pooled",0.43946953781512604,0.43839039522058826,0.0010791425945377853,119
"3B",256,2,"pooled",0.4801493250678006,0.4820950571051493,0.001945732037348713,119
"3B",256,4,"pooled",0.5059966453201168,0.5123277445980884,0.006331099277971597,119
"3B",256,8,"pooled",0.5180613095878611,0.529146078498934,0.011084768911072906,119
