model,K,N,estimator,predicted,actual,abs_error,num_problems
"3B",256,16,"pooled",0.5198182253821408,0.5356450871837157,0.015826861801574887,119
"3B",256,32,"pooled",0.5135383742541283,0.5340155204807278,0.020477146226599463,119
"3B",256,48,"pooled",0.5056400484240895,0.529174391603525,0.02353434317943548,119
"3B",256,64,"pooled",0.497481553675057,0.5233820173891203,0.025900463714063293,119
"3B",256,128,"pooled",0.46684436452860745,0.4977863567058399,0.03094199217723248,119
"3B",256,256,"pooled",0.42324871759831956,0.4507341435119078,0.02748542591358827,119
"3B",512,1,"pooled",0.43873096113445376,0.43839039522058826,0.00034056591386549817,119
"3B",512,2,"pooled",0.47986971053283956,0.4820950571051493,0.002225346572309772,119
"3B",512,4,"pooled",0.5067257331610242,0.5123277445980884,0.0056020114370641805,119
"3B",512,8,"pooled",0.5188841866812737,0.529146078498934,0.010261891817660351,119
"3B",512,16,"pooled",0.5202747185719717,0.5356450871837157,0.015370368611744012,119
"3B",512,32,"pooled",0.5140924283630531,0.5340155204807278,0.019923092117674623,119
"3B",512,48,"pooled",0.506861265294738,0.529174391603525,0.022313126308787012,119
"3B",512,64,"pooled",0.49945734681754034,0.5233820173891203,0.02392467057157993,119
"3B",512,128,"pooled",0.4696122736184798,0.4977863567058399,0.028174083087360136,119
"3B",512,256,"pooled",0.41768148675912053,0.4507341435119078,0.03305265675278729,119
"3B",1024,1,"pooled",0.43842732405462187,0.43839039522058826,3.692883403361158e-05,119
"3B",1024,2,"pooled",0.48129247819356735,0.4820950571051493,0.0008025789115819748,119
"3B",1024,4,"pooled",0.5101080355274252,0.5123277445980884,0.002219709070663156,119
"3B",1024,8,"pooled",0.5250051954859681,0.529146078498934,0.00414088301296589,119
"3B",1024,16,"pooled",0.5299991746204256,0.5356450871837157,0.0056459125632901674,119
"3B",1024,32,"pooled",0.5269571016567433,0.5340155204807278,0.0070584188239845025,119
"3B",1024,48,"pooled",0.5212318281769999,0.529174391603525,0.007942563426525107,119
"3B",1024,64,"pooled",0.5149877550568835,0.5233820173891203,0.008394262332236724,119
"3B",1024,128,"pooled",0.4890958388037149,0.4977863567058399,0.00869051790212505,119
"3B",1024,256,"pooled",0.4430724131728102,0.4507341435119078,0.007661730339097617,119
