model,problem_idx,K,N,estimator,predicted,actual,abs_error,difficulty_bin
"3B",0,8,1,"raw_plugin",0.875,0.71875,0.15625,"medium"
"3B",0,8,1,"hierarchical_shrinkage",0.4880587651727357,0.71875,0.23069123482726428,"medium"
"3B",0,8,1,"tail_smoothed_moment",0.875,0.71875,0.15625,"medium"
"3B",0,8,1,"oracle_full_distribution",0.7255859375,0.71875,0.0068359375,"medium"
"3B",0,8,2,"raw_plugin",0.984375,0.7511119842529297,0.2332630157470703,"medium"
"3B",0,8,2,"hierarchical_shrinkage",0.5136489013329941,0.7511119842529297,0.23746308291993556,"medium"
"3B",0,8,2,"tail_smoothed_moment",0.9739583333333334,0.7511119842529297,0.22284634908040368,"medium"
"3B",0,8,2,"oracle_full_distribution",0.7548974752426147,0.7511119842529297,0.0037854909896850586,"medium"
"3B",0,8,4,"raw_plugin",0.999755859375,0.7699246571628464,0.22983120221215358,"medium"
"3B",0,8,4,"hierarchical_shrinkage",0.5231159285699314,0.7699246571628464,0.24680872859291503,"medium"
"3B",0,8,4,"tail_smoothed_moment",0.9986165364583334,0.7699246571628464,0.22869187929548696,"medium"
"3B",0,8,4,"oracle_full_distribution",0.7680412327858548,0.7699246571628464,0.001883424376991627,"medium"
"3B",0,8,8,"raw_plugin",0.9999999403953552,0.7852695639966961,0.2147303763986591,"medium"
"3B",0,8,8,"hierarchical_shrinkage",0.5271723251160515,0.7852695639966961,0.2580972388806446,"medium"
"3B",0,8,8,"tail_smoothed_moment",0.9999948938687643,0.7852695639966961,0.21472532987206816,"medium"
"3B",0,8,8,"oracle_full_distribution",0.7742919929063089,0.7852695639966961,0.010977571090387217,"medium"
"3B",0,8,16,"raw_plugin",0.9999999999999964,0.7989092524725017,0.20109074752749478,"medium"
"3B",0,8,16,"hierarchical_shrinkage",0.5280747250292399,0.7989092524725017,0.27083452744326175,"medium"
"3B",0,8,16,"tail_smoothed_moment",0.9999999999223886,0.7989092524725017,0.20109074744988698,"medium"
"3B",0,8,16,"oracle_full_distribution",0.7827239345377403,0.7989092524725017,0.016185317934761412,"medium"
"3B",0,8,32,"raw_plugin",1.0,0.8260415432262302,0.17395845677376975,"medium"
"3B",0,8,32,"hierarchical_shrinkage",0.5258745301355707,0.8260415432262302,0.3001670130906595,"medium"
"3B",0,8,32,"tail_smoothed_moment",1.0,0.8260415432262302,0.17395845677376975,"medium"
"3B",0,8,32,"oracle_full_distribution",0.8051887801573572,0.8260415432262302,0.02085276306887307,"medium"
"3B",0,8,48,"raw_plugin",1.0,0.8536650148527165,0.1463349851472835,"medium"
"3B",0,8,48,"hierarchical_shrinkage",0.5232899658772879,0.8536650148527165,0.3303750489754286,"medium"
"3B",0,8,48,"tail_smoothed_moment",1.0,0.8536650148527165,0.1463349851472835,"medium"
"3B",0,8,48,"oracle_full_distribution",0.8258235075913343,0.8536650148527165,0.027841507261382237,"medium"
"3B",0,8,64,"raw_plugin",1.0,0.8764254271527221,0.12357457284727791,"medium"
"3B",0,8,64,"hierarchical_shrinkage",0.52096245627157,0.8764254271527221,0.3554629708811521,"medium"
"3B",0,8,64,"tail_smoothed_moment",1.0,0.8764254271527221,0.12357457284727791,"medium"
"3B",0,8,64,"oracle_full_distribution",0.8412645398630131,0.8764254271527221,0.03516088728970901,"medium"
"3B",0,8,128,"raw_plugin",1.0,0.9312201911185973,0.06877980888140267,"medium"
"3B",0,8,128,"hierarchical_shrinkage",0.5136073846635432,0.9312201911185973,0.41761280645505416,"medium"
"3B",0,8,128,"tail_smoothed_moment",1.0,0.9312201911185973,0.06877980888140267,"medium"
"3B",0,8,128,"oracle_full_distribution",0.8746518901938,0.9312201911185973,0.056568300924797366,"medium"
"3B",0,8,256,"raw_plugin",1.0,0.975596655361623,0.02440334463837701,"medium"
"3B",0,8,256,"hierarchical_shrinkage",0.5040641218034616,0.975596655361623,0.4715325335581614,"medium"
"3B",0,8,256,"tail_smoothed_moment",1.0,0.975596655361623,0.02440334463837701,"medium"
"3B",0,8,256,"oracle_full_distribution",0.8952927512871279,0.975596655361623,0.08030390407449506,"medium"
"3B",1,8,1,"raw_plugin",0.0,0.0576171875,0.0576171875,"hard"
"3B",1,8,1,"hierarchical_shrinkage",0.3908365429505135,0.0576171875,0.3332193554505135,"hard"
