model,problem_idx,K,N,estimator,predicted,actual,abs_error,difficulty_bin
"3B",1,8,1,"tail_smoothed_moment",0.0,0.0576171875,0.0576171875,"hard"
"3B",1,8,1,"oracle_full_distribution",0.052734375,0.0576171875,0.0048828125,"hard"
"3B",1,8,2,"raw_plugin",0.0,0.03774547576904297,0.03774547576904297,"hard"
"3B",1,8,2,"hierarchical_shrinkage",0.4042739013329941,0.03774547576904297,0.36652842556395115,"hard"
"3B",1,8,2,"tail_smoothed_moment",0.0,0.03774547576904297,0.03774547576904297,"hard"
"3B",1,8,2,"oracle_full_distribution",0.03958690166473389,0.03774547576904297,0.001841425895690918,"hard"
"3B",1,8,4,"raw_plugin",0.0,0.028349216506285302,0.028349216506285302,"hard"
"3B",1,8,4,"hierarchical_shrinkage",0.4120319441949314,0.028349216506285302,0.3836827276886461,"hard"
"3B",1,8,4,"tail_smoothed_moment",0.0,0.028349216506285302,0.028349216506285302,"hard"
"3B",1,8,4,"oracle_full_distribution",0.03288835761434683,0.028349216506285302,0.0045391411080615285,"hard"
"3B",1,8,8,"raw_plugin",0.0,0.022096849248790087,0.022096849248790087,"hard"
"3B",1,8,8,"hierarchical_shrinkage",0.4160612206276787,0.022096849248790087,0.3939643713788886,"hard"
"3B",1,8,8,"tail_smoothed_moment",0.0,0.022096849248790087,0.022096849248790087,"hard"
"3B",1,8,8,"oracle_full_distribution",0.028169202196889863,0.022096849248790087,0.006072352948099775,"hard"
"3B",1,8,16,"raw_plugin",0.0,0.015750244329239212,0.015750244329239212,"hard"
"3B",1,8,16,"hierarchical_shrinkage",0.41696361391812914,0.015750244329239212,0.4012133695888899,"hard"
"3B",1,8,16,"tail_smoothed_moment",0.0,0.015750244329239212,0.015750244329239212,"hard"
"3B",1,8,16,"oracle_full_distribution",0.02214540839610041,0.015750244329239212,0.006395164066861199,"hard"
"3B",1,8,32,"raw_plugin",0.0,0.010282602607524583,0.010282602607524583,"hard"
"3B",1,8,32,"hierarchical_shrinkage",0.41476341902445957,0.010282602607524583,0.404480816416935,"hard"
"3B",1,8,32,"tail_smoothed_moment",0.0,0.010282602607524583,0.010282602607524583,"hard"
"3B",1,8,32,"oracle_full_distribution",0.015613609774431499,0.010282602607524583,0.005331007166906916,"hard"
"3B",1,8,48,"raw_plugin",0.0,0.0070424825068485875,0.0070424825068485875,"hard"
"3B",1,8,48,"hierarchical_shrinkage",0.4121788547661768,0.0070424825068485875,0.40513637225932825,"hard"
"3B",1,8,48,"tail_smoothed_moment",0.0,0.0070424825068485875,0.0070424825068485875,"hard"
"3B",1,8,48,"oracle_full_distribution",0.01267167950626789,0.0070424825068485875,0.005629196999419303,"hard"
"3B",1,8,64,"raw_plugin",0.0,0.004678020862953499,0.004678020862953499,"hard"
"3B",1,8,64,"hierarchical_shrinkage",0.40985134516045885,0.004678020862953499,0.40517332429750536,"hard"
"3B",1,8,64,"tail_smoothed_moment",0.0,0.004678020862953499,0.004678020862953499,"hard"
"3B",1,8,64,"oracle_full_distribution",0.010733656205647868,0.004678020862953499,0.006055635342694369,"hard"
"3B",1,8,128,"raw_plugin",0.0,0.0006537175755132826,0.0006537175755132826,"hard"
"3B",1,8,128,"hierarchical_shrinkage",0.4024962735524321,0.0006537175755132826,0.4018425559769188,"hard"
"3B",1,8,128,"tail_smoothed_moment",0.0,0.0006537175755132826,0.0006537175755132826,"hard"
"3B",1,8,128,"oracle_full_distribution",0.005505467680974441,0.0006537175755132826,0.004851750105461158,"hard"
"3B",1,8,256,"raw_plugin",0.0,6.568513651384256e-06,6.568513651384256e-06,"hard"
"3B",1,8,256,"hierarchical_shrinkage",0.39295301069235045,6.568513651384256e-06,0.39294644217869906,"hard"
"3B",1,8,256,"tail_smoothed_moment",0.0,6.568513651384256e-06,6.568513651384256e-06,"hard"
"3B",1,8,256,"oracle_full_distribution",0.0011838148698062748,6.568513651384256e-06,0.0011772463561548906,"hard"
"3B",10,8,1,"raw_plugin",0.625,0.3447265625,0.2802734375,"medium"
"3B",10,8,1,"hierarchical_shrinkage",0.46028098739495793,0.3447265625,0.11555442489495793,"medium"
"3B",10,8,1,"tail_smoothed_moment",0.625,0.3447265625,0.2802734375,"medium"
"3B",10,8,1,"oracle_full_distribution",0.33984375,0.3447265625,0.0048828125,"medium"
"3B",10,8,2,"raw_plugin",0.796875,0.38587093353271484,0.41100406646728516,"medium"
"3B",10,8,2,"hierarchical_shrinkage",0.49281556799966075,0.38587093353271484,0.10694463446694591,"medium"
"3B",10,8,2,"tail_smoothed_moment",0.7864583333333334,0.38587093353271484,0.4005873998006185,"medium"
"3B",10,8,2,"oracle_full_distribution",0.3744601011276245,0.38587093353271484,0.011410832405090332,"medium"
"3B",10,8,4,"raw_plugin",0.941162109375,0.39325938326783216,0.5479027261071678,"medium"
"3B",10,8,4,"hierarchical_shrinkage",0.5166055119032648,0.39325938326783216,0.1233461286354326,"medium"
"3B",10,8,4,"tail_smoothed_moment",0.9283040364583334,0.39325938326783216,0.5350446531905012,"medium"
"3B",10,8,4,"oracle_full_distribution",0.3777155110184438,0.39325938326783216,0.015543872249388357,"medium"
"3B",10,8,8,"raw_plugin",0.9961089491844177,0.35526323820820016,0.6408457109762176,"medium"
"3B",10,8,8,"hierarchical_shrinkage",0.5267399927592806,0.35526323820820016,0.17147675455108047,"medium"
"3B",10,8,8,"tail_smoothed_moment",0.9909368952115377,0.35526323820820016,0.6356736570033376,"medium"
"3B",10,8,8,"oracle_full_distribution",0.34233849676990136,0.35526323820820016,0.012924741438298804,"medium"
"3B",10,8,16,"raw_plugin",0.9999847414437646,0.28100618192229404,0.7189785595214706,"medium"
"3B",10,8,16,"hierarchical_shrinkage",0.528073029634103,0.28100618192229404,0.24706684771180892,"medium"
"3B",10,8,16,"tail_smoothed_moment",0.9998142133748983,0.28100618192229404,0.7188080314526042,"medium"
"3B",10,8,16,"oracle_full_distribution",0.2661096138734325,0.28100618192229404,0.014896568048861525,"medium"
"3B",10,8,32,"raw_plugin",0.9999999997671694,0.19198109352406675,0.8080189062431026,"medium"
"3B",10,8,32,"hierarchical_shrinkage",0.5258745301097006,0.19198109352406675,0.33389343658563386,"medium"
"3B",10,8,32,"tail_smoothed_moment",0.9999999019645274,0.19198109352406675,0.8080188084404606,"medium"
"3B",10,8,32,"oracle_full_distribution",0.1671918134902038,0.19198109352406675,0.024789280033862965,"medium"
"3B",10,8,48,"raw_plugin",0.9999999999999964,0.1414346708741842,0.8585653291258122,"medium"
"3B",10,8,48,"hierarchical_shrinkage",0.5232899658772876,0.1414346708741842,0.3818552950031034,"medium"
"3B",10,8,48,"tail_smoothed_moment",0.9999999999468958,0.1414346708741842,0.8585653290727115,"medium"
"3B",10,8,48,"oracle_full_distribution",0.11244791082981455,0.1414346708741842,0.02898676004436966,"medium"
"3B",10,8,64,"raw_plugin",1.0,0.1097486605039715,0.8902513394960285,"medium"
"3B",10,8,64,"hierarchical_shrinkage",0.52096245627157,0.1097486605039715,0.41121379576759853,"medium"
"3B",10,8,64,"tail_smoothed_moment",0.9999999999999712,0.1097486605039715,0.8902513394959998,"medium"
"3B",10,8,64,"oracle_full_distribution",0.07949515418845396,0.1097486605039715,0.030253506315517542,"medium"
"3B",10,8,128,"raw_plugin",1.0,0.05419763457715873,0.9458023654228412,"medium"
"3B",10,8,128,"hierarchical_shrinkage",0.5136073846635432,0.05419763457715873,0.4594097500863844,"medium"
"3B",10,8,128,"tail_smoothed_moment",1.0,0.05419763457715873,0.9458023654228412,"medium"
"3B",10,8,128,"oracle_full_distribution",0.027213160098449166,0.05419763457715873,0.026984474478709566,"medium"
"3B",10,8,256,"raw_plugin",1.0,0.0198797387169612,0.9801202612830388,"medium"
"3B",10,8,256,"hierarchical_shrinkage",0.5040641218034616,0.0198797387169612,0.4841843830865004,"medium"
"3B",10,8,256,"tail_smoothed_moment",1.0,0.0198797387169612,0.9801202612830388,"medium"
"3B",10,8,256,"oracle_full_distribution",0.005419841353267468,0.0198797387169612,0.01445989736369373,"medium"
"3B",100,8,1,"raw_plugin",0.0,0.0087890625,0.0087890625,"hard"
"3B",100,8,1,"hierarchical_shrinkage",0.3908365429505135,0.0087890625,0.3820474804505135,"hard"
"3B",100,8,1,"tail_smoothed_moment",0.0,0.0087890625,0.0087890625,"hard"
"3B",100,8,1,"oracle_full_distribution",0.007080078125,0.0087890625,0.001708984375,"hard"
"3B",100,8,2,"raw_plugin",0.0,0.004288673400878906,0.004288673400878906,"hard"
"3B",100,8,2,"hierarchical_shrinkage",0.4042739013329941,0.004288673400878906,0.3999852279321152,"hard"
"3B",100,8,2,"tail_smoothed_moment",0.0,0.004288673400878906,0.004288673400878906,"hard"
"3B",100,8,2,"oracle_full_distribution",0.005487382411956787,0.004288673400878906,0.0011987090110778809,"hard"
"3B",100,8,4,"raw_plugin",0.0,0.004565347459902114,0.004565347459902114,"hard"
"3B",100,8,4,"hierarchical_shrinkage",0.4120319441949314,0.004565347459902114,0.4074665967350293,"hard"
"3B",100,8,4,"tail_smoothed_moment",0.0,0.004565347459902114,0.004565347459902114,"hard"
"3B",100,8,4,"oracle_full_distribution",0.0059446027015859215,0.004565347459902114,0.0013792552416838078,"hard"
"3B",100,8,8,"raw_plugin",0.0,0.006611678629420494,0.006611678629420494,"hard"
"3B",100,8,8,"hierarchical_shrinkage",0.4160612206276787,0.006611678629420494,0.4094495419982582,"hard"
"3B",100,8,8,"tail_smoothed_moment",0.0,0.006611678629420494,0.006611678629420494,"hard"
"3B",100,8,8,"oracle_full_distribution",0.006573569730095768,0.006611678629420494,3.810889932472604e-05,"hard"
"3B",100,8,16,"raw_plugin",0.0,0.009940956633115285,0.009940956633115285,"hard"
"3B",100,8,16,"hierarchical_shrinkage",0.41696361391812914,0.009940956633115285,0.40702265728501386,"hard"
"3B",100,8,16,"tail_smoothed_moment",0.0,0.009940956633115285,0.009940956633115285,"hard"
"3B",100,8,16,"oracle_full_distribution",0.006755928954811089,0.009940956633115285,0.003185027678304196,"hard"
"3B",100,8,32,"raw_plugin",0.0,0.012239761046489097,0.012239761046489097,"hard"
"3B",100,8,32,"hierarchical_shrinkage",0.41476341902445957,0.012239761046489097,0.40252365797797046,"hard"
"3B",100,8,32,"tail_smoothed_moment",0.0,0.012239761046489097,0.012239761046489097,"hard"
"3B",100,8,32,"oracle_full_distribution",0.0059672350352453045,0.012239761046489097,0.006272526011243793,"hard"
"3B",100,8,48,"raw_plugin",0.0,0.011318083992208804,0.011318083992208804,"hard"
"3B",100,8,48,"hierarchical_shrinkage",0.4121788547661768,0.011318083992208804,0.40086077077396803,"hard"
"3B",100,8,48,"tail_smoothed_moment",0.0,0.011318083992208804,0.011318083992208804,"hard"
"3B",100,8,48,"oracle_full_distribution",0.004926498202201984,0.011318083992208804,0.00639158579000682,"hard"
"3B",100,8,64,"raw_plugin",0.0,0.009303155001245908,0.009303155001245908,"hard"
"3B",100,8,64,"hierarchical_shrinkage",0.40985134516045885,0.009303155001245908,0.40054819015921295,"hard"
"3B",100,8,64,"tail_smoothed_moment",0.0,0.009303155001245908,0.009303155001245908,"hard"
"3B",100,8,64,"oracle_full_distribution",0.003949548974005726,0.009303155001245908,0.005353606027240183,"hard"
"3B",100,8,128,"raw_plugin",0.0,0.002687995387254581,0.002687995387254581,"hard"
"3B",100,8,128,"hierarchical_shrinkage",0.4024962735524321,0.002687995387254581,0.39980827816517756,"hard"
"3B",100,8,128,"tail_smoothed_moment",0.0,0.002687995387254581,0.002687995387254581,"hard"
"3B",100,8,128,"oracle_full_distribution",0.0013796116147395767,0.002687995387254581,0.0013083837725150044,"hard"
"3B",100,8,256,"raw_plugin",0.0,0.00011231688729564316,0.00011231688729564316,"hard"
"3B",100,8,256,"hierarchical_shrinkage",0.39295301069235045,0.00011231688729564316,0.3928406938050548,"hard"
"3B",100,8,256,"tail_smoothed_moment",0.0,0.00011231688729564316,0.00011231688729564316,"hard"
"3B",100,8,256,"oracle_full_distribution",0.00011100103117795262,0.00011231688729564316,1.3158561176905304e-06,"hard"
"3B",101,8,1,"raw_plugin",0.0,0.009765625,0.009765625,"hard"
"3B",101,8,1,"hierarchical_shrinkage",0.3908365429505135,0.009765625,0.3810709179505135,"hard"
"3B",101,8,1,"tail_smoothed_moment",0.0,0.009765625,0.009765625,"hard"
"3B",101,8,1,"oracle_full_distribution",0.01171875,0.009765625,0.001953125,"hard"
"3B",101,8,2,"raw_plugin",0.0,0.00635528564453125,0.00635528564453125,"hard"
"3B",101,8,2,"hierarchical_shrinkage",0.4042739013329941,0.00635528564453125,0.3979186156884629,"hard"
"3B",101,8,2,"tail_smoothed_moment",0.0,0.00635528564453125,0.00635528564453125,"hard"
"3B",101,8,2,"oracle_full_distribution",0.010258197784423828,0.00635528564453125,0.003902912139892578,"hard"
"3B",101,8,4,"raw_plugin",0.0,0.0025381965388078243,0.0025381965388078243,"hard"
"3B",101,8,4,"hierarchical_shrinkage",0.4120319441949314,0.0025381965388078243,0.40949374765612356,"hard"
"3B",101,8,4,"tail_smoothed_moment",0.0,0.0025381965388078243,0.0025381965388078243,"hard"
"3B",101,8,4,"oracle_full_distribution",0.009901511601199786,0.0025381965388078243,0.007363315062391962,"hard"
"3B",101,8,8,"raw_plugin",0.0,0.00041547659393700897,0.00041547659393700897,"hard"
"3B",101,8,8,"hierarchical_shrinkage",0.4160612206276787,0.00041547659393700897,0.41564574403374166,"hard"
"3B",101,8,8,"tail_smoothed_moment",0.0,0.00041547659393700897,0.00041547659393700897,"hard"
"3B",101,8,8,"oracle_full_distribution",0.011490420565417221,0.00041547659393700897,0.011074943971480213,"hard"
"3B",101,8,16,"raw_plugin",0.0,1.5810762258710568e-05,1.5810762258710568e-05,"hard"
"3B",101,8,16,"hierarchical_shrinkage",0.41696361391812914,1.5810762258710568e-05,0.41694780315587043,"hard"
"3B",101,8,16,"tail_smoothed_moment",0.0,1.5810762258710568e-05,1.5810762258710568e-05,"hard"
"3B",101,8,16,"oracle_full_distribution",0.01568748330393186,1.5810762258710568e-05,0.015671672541673152,"hard"
"3B",101,8,32,"raw_plugin",0.0,1.9163731577964642e-08,1.9163731577964642e-08,"hard"
"3B",101,8,32,"hierarchical_shrinkage",0.41476341902445957,1.9163731577964642e-08,0.41476339986072797,"hard"
"3B",101,8,32,"tail_smoothed_moment",0.0,1.9163731577964642e-08,1.9163731577964642e-08,"hard"
"3B",101,8,32,"oracle_full_distribution",0.022310642062874673,1.9163731577964642e-08,0.022310622899143095,"hard"
"3B",101,8,48,"raw_plugin",0.0,1.786742474175523e-11,1.786742474175523e-11,"hard"
"3B",101,8,48,"hierarchical_shrinkage",0.4121788547661768,1.786742474175523e-11,0.4121788547483094,"hard"
"3B",101,8,48,"tail_smoothed_moment",0.0,1.786742474175523e-11,1.786742474175523e-11,"hard"
"3B",101,8,48,"oracle_full_distribution",0.026913927069570354,1.786742474175523e-11,0.026913927051702927,"hard"
"3B",101,8,64,"raw_plugin",0.0,1.4812075539151496e-14,1.4812075539151496e-14,"hard"
"3B",101,8,64,"hierarchical_shrinkage",0.40985134516045885,1.4812075539151496e-14,0.409851345160444,"hard"
"3B",101,8,64,"tail_smoothed_moment",0.0,1.4812075539151496e-14,1.4812075539151496e-14,"hard"
"3B",101,8,64,"oracle_full_distribution",0.030312185400259616,1.4812075539151496e-14,0.030312185400244804,"hard"
"3B",101,8,128,"raw_plugin",0.0,4.42928430598514e-27,4.42928430598514e-27,"hard"
"3B",101,8,128,"hierarchical_shrinkage",0.4024962735524321,4.42928430598514e-27,0.4024962735524321,"hard"
"3B",101,8,128,"tail_smoothed_moment",0.0,4.42928430598514e-27,4.42928430598514e-27,"hard"
"3B",101,8,128,"oracle_full_distribution",0.038110273834029616,4.42928430598514e-27,0.038110273834029616,"hard"
"3B",101,8,256,"raw_plugin",0.0,1.9851948058733157e-52,1.9851948058733157e-52,"hard"
"3B",101,8,256,"hierarchical_shrinkage",0.39295301069235045,1.9851948058733157e-52,0.39295301069235045,"hard"
"3B",101,8,256,"tail_smoothed_moment",0.0,1.9851948058733157e-52,1.9851948058733157e-52,"hard"
"3B",101,8,256,"oracle_full_distribution",0.04233947875899529,1.9851948058733157e-52,0.04233947875899529,"hard"
"3B",102,8,1,"raw_plugin",0.25,0.25,0.0,"hard"
"3B",102,8,1,"hierarchical_shrinkage",0.4186143207282913,0.25,0.1686143207282913,"hard"
"3B",102,8,1,"tail_smoothed_moment",0.24999999999999997,0.25,2.7755575615628914e-17,"hard"
"3B",102,8,1,"oracle_full_distribution",0.235107421875,0.25,0.014892578125,"hard"
"3B",102,8,2,"raw_plugin",0.125,0.23925209045410156,0.11425209045410156,"hard"
"3B",102,8,2,"hierarchical_shrinkage",0.418162790221883,0.23925209045410156,0.17891069976778146,"hard"
"3B",102,8,2,"tail_smoothed_moment",0.13541666666666666,0.23925209045410156,0.1038354237874349,"hard"
"3B",102,8,2,"oracle_full_distribution",0.2311837077140808,0.23925209045410156,0.008068382740020752,"hard"
"3B",102,8,4,"raw_plugin",0.04296875,0.2078149293356546,0.1648461793356546,"hard"
"3B",102,8,4,"hierarchical_shrinkage",0.41680624975048697,0.2078149293356546,0.20899132041483237,"hard"
"3B",102,8,4,"tail_smoothed_moment",0.05094401041666667,0.2078149293356546,0.1568709189189879,"hard"
"3B",102,8,4,"oracle_full_distribution",0.20924204143265612,0.2078149293356546,0.001427112097001526,"hard"
"3B",102,8,8,"raw_plugin",0.0035152435302734375,0.16673300883241793,0.1632177653021445,"hard"
"3B",102,8,8,"hierarchical_shrinkage",0.41645180324215353,0.16673300883241793,0.2497187944097356,"hard"
"3B",102,8,8,"tail_smoothed_moment",0.007761041323343913,0.16673300883241793,0.15897196750907402,"hard"
"3B",102,8,8,"oracle_full_distribution",0.17455209116303433,0.16673300883241793,0.0078190823306164,"hard"
"3B",102,8,16,"raw_plugin",1.5105856391528505e-05,0.12440900089297649,0.12439389503658496,"hard"
"3B",102,8,16,"hierarchical_shrinkage",0.4169652923466171,0.12440900089297649,0.2925562914536406,"hard"
"3B",102,8,16,"tail_smoothed_moment",0.00018070036208210163,0.12440900089297649,0.12422830053089438,"hard"
"3B",102,8,16,"oracle_full_distribution",0.13675577038766573,0.12440900089297649,0.012346769494689241,"hard"
"3B",102,8,32,"raw_plugin",2.328072552509325e-10,0.09008640592302226,0.090086405690215,"hard"
"3B",102,8,32,"hierarchical_shrinkage",0.41476341905032704,0.09008640592302226,0.3246770131273048,"hard"
"3B",102,8,32,"tail_smoothed_moment",9.795786256852396e-08,0.09008640592302226,0.09008630796515969,"hard"
"3B",102,8,32,"oracle_full_distribution",0.11036655462808123,0.09008640592302226,0.020280148705058967,"hard"
"3B",102,8,48,"raw_plugin",3.5527101019494868e-15,0.07218376197961071,0.07218376197960716,"hard"
"3B",102,8,48,"hierarchical_shrinkage",0.4121788547661772,0.07218376197961071,0.3399950927865665,"hard"
"3B",102,8,48,"tail_smoothed_moment",5.310306370441508e-11,0.07218376197961071,0.07218376192650765,"hard"
"3B",102,8,48,"oracle_full_distribution",0.10038823439169794,0.07218376197961071,0.028204472412087234,"hard"
"3B",102,8,64,"raw_plugin",5.421010807725783e-20,0.05847100295465467,0.05847100295465467,"hard"
"3B",102,8,64,"hierarchical_shrinkage",0.40985134516045885,0.05847100295465467,0.35138034220580416,"hard"
"3B",102,8,64,"tail_smoothed_moment",2.878722851698148e-14,0.05847100295465467,0.05847100295462588,"hard"
"3B",102,8,64,"oracle_full_distribution",0.09280499430071906,0.05847100295465467,0.034333991346064394,"hard"
"3B",102,8,128,"raw_plugin",2.9387358770557184e-39,0.024156100590131298,0.024156100590131298,"hard"
"3B",102,8,128,"hierarchical_shrinkage",0.4024962735524321,0.024156100590131298,0.3783401729623008,"hard"
"3B",102,8,128,"tail_smoothed_moment",2.4861135770667358e-27,0.024156100590131298,0.024156100590131298,"hard"
"3B",102,8,128,"oracle_full_distribution",0.06467573913126884,0.024156100590131298,0.04051963854113754,"hard"
"3B",102,8,256,"raw_plugin",8.636168555094445e-78,0.003703161888430341,0.003703161888430341,"hard"
"3B",102,8,256,"hierarchical_shrinkage",0.39295301069235045,0.003703161888430341,0.3892498488039201,"hard"
"3B",102,8,256,"tail_smoothed_moment",1.8542282154226678e-53,0.003703161888430341,0.003703161888430341,"hard"
"3B",102,8,256,"oracle_full_distribution",0.027050206480193437,0.003703161888430341,0.023347044591763098,"hard"
"3B",103,8,1,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,1,"hierarchical_shrinkage",0.3908365429505135,0.0,0.3908365429505135,"no_correct"
"3B",103,8,1,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,1,"oracle_full_distribution",0.000244140625,0.0,0.000244140625,"no_correct"
"3B",103,8,2,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,2,"hierarchical_shrinkage",0.4042739013329941,0.0,0.4042739013329941,"no_correct"
"3B",103,8,2,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,2,"oracle_full_distribution",0.00017780065536499023,0.0,0.00017780065536499023,"no_correct"
"3B",103,8,4,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,4,"hierarchical_shrinkage",0.4120319441949314,0.0,0.4120319441949314,"no_correct"
"3B",103,8,4,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,4,"oracle_full_distribution",4.715090375029263e-05,0.0,4.715090375029263e-05,"no_correct"
"3B",103,8,8,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,8,"hierarchical_shrinkage",0.4160612206276787,0.0,0.4160612206276787,"no_correct"
"3B",103,8,8,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,8,"oracle_full_distribution",1.6579580921386805e-06,0.0,1.6579580921386805e-06,"no_correct"
"3B",103,8,16,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,16,"hierarchical_shrinkage",0.41696361391812914,0.0,0.41696361391812914,"no_correct"
"3B",103,8,16,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,16,"oracle_full_distribution",1.0249705539611039e-09,0.0,1.0249705539611039e-09,"no_correct"
"3B",103,8,32,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,32,"hierarchical_shrinkage",0.41476341902445957,0.0,0.41476341902445957,"no_correct"
"3B",103,8,32,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,32,"oracle_full_distribution",1.9586651538865639e-16,0.0,1.9586651538865639e-16,"no_correct"
"3B",103,8,48,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,48,"hierarchical_shrinkage",0.4121788547661768,0.0,0.4121788547661768,"no_correct"
"3B",103,8,48,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,48,"oracle_full_distribution",2.807206967867374e-23,0.0,2.807206967867374e-23,"no_correct"
"3B",103,8,64,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,64,"hierarchical_shrinkage",0.40985134516045885,0.0,0.40985134516045885,"no_correct"
"3B",103,8,64,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",103,8,64,"oracle_full_distribution",3.5763524462746994e-30,0.0,3.5763524462746994e-30,"no_correct"
"3B",103,8,128,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",103,8,128,"hierarchical_shrinkage",0.4024962735524321,0.0,0.4024962735524321,"no_correct"
