model,K,N,selected_estimator,MAE,median_AE,max_AE,num_rows,selection_source
"3B",8,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"3B",8,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",8,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",8,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",8,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",8,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",8,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",8,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",8,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",8,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"3B",16,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"3B",16,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",16,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",16,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",16,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",16,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",16,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",16,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",16,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",16,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"3B",32,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"3B",32,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",32,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",32,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",32,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",32,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",32,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",32,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",32,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",32,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"3B",64,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
