model,K,N,selected_estimator,MAE,median_AE,max_AE,num_rows,selection_source
"3B",64,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",64,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",64,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",64,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",64,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",64,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",64,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",64,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",64,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"3B",128,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"3B",128,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",128,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",128,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",128,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",128,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",128,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",128,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",128,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",128,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"3B",256,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"3B",256,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",256,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",256,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",256,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",256,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",256,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",256,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",256,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",256,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"3B",512,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"3B",512,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",512,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",512,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",512,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",512,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",512,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",512,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",512,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",512,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"3B",1024,1,"oracle_full_distribution",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"3B",1024,2,"oracle_full_distribution",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"3B",1024,4,"oracle_full_distribution",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"3B",1024,8,"oracle_full_distribution",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"3B",1024,16,"oracle_full_distribution",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"3B",1024,32,"oracle_full_distribution",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"3B",1024,48,"oracle_full_distribution",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"3B",1024,64,"oracle_full_distribution",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"3B",1024,128,"oracle_full_distribution",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"3B",1024,256,"oracle_full_distribution",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",8,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",8,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",8,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",8,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",8,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",8,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",8,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",8,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",8,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",8,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",16,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",16,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",16,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",16,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",16,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",16,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",16,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",16,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",16,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",16,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",32,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",32,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",32,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",32,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",32,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",32,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",32,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",32,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",32,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",32,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",64,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",64,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",64,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",64,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",64,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",64,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",64,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",64,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",64,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",64,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",128,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",128,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",128,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",128,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",128,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",128,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",128,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",128,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",128,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",128,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",256,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",256,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",256,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",256,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",256,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",256,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",256,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",256,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",256,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",256,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",512,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",512,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",512,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",512,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",512,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",512,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",512,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",512,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",512,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",512,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
"ALL",1024,1,"mixed_by_model_calibration_choice",0.003145105698529412,0.002197265625,0.017822265625,119,"calibration"
"ALL",1024,2,"mixed_by_model_calibration_choice",0.003378970783297755,0.002289712429046631,0.016951918601989746,119,"calibration"
"ALL",1024,4,"mixed_by_model_calibration_choice",0.004269437804183732,0.0023421595873287515,0.022422226841868564,119,"calibration"
"ALL",1024,8,"mixed_by_model_calibration_choice",0.005639141465438472,0.0035573683182081595,0.026703907936959814,119,"calibration"
"ALL",1024,16,"mixed_by_model_calibration_choice",0.007295208483582757,0.004867286921744096,0.05440242094965436,119,"calibration"
"ALL",1024,32,"mixed_by_model_calibration_choice",0.009941131837405812,0.006146398449416557,0.08775432571908637,119,"calibration"
"ALL",1024,48,"mixed_by_model_calibration_choice",0.011979654469907881,0.006829288173312076,0.10843456679814956,119,"calibration"
"ALL",1024,64,"mixed_by_model_calibration_choice",0.013513069854448594,0.006977123557066457,0.12176926493131907,119,"calibration"
"ALL",1024,128,"mixed_by_model_calibration_choice",0.018343685754186108,0.008535870841121063,0.15029086252648904,119,"calibration"
"ALL",1024,256,"mixed_by_model_calibration_choice",0.02534812739284482,0.011707098360761115,0.28532275766657655,119,"calibration"
