model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","pooled_pilot_tune",96,32,0.09188042293298332,0.020195247761511048,0.7474897721730943,500
"3B","pooled_pilot_tune",128,2,0.039020136718749994,0.024526367187500085,0.2832910156249999,500
"3B","pooled_pilot_tune",128,8,0.05920261796416599,0.033105298406207406,0.41856790610157935,500
"3B","pooled_pilot_tune",128,16,0.07607064133066843,0.029727664680127747,0.6193612264648505,500
"3B","pooled_pilot_tune",128,32,0.09930853792621155,0.0198296402961341,0.8090203611154066,500
"3B","pooled_pilot_tune",160,2,0.050384168836805555,0.03199598524305537,0.2693413628472221,500
"3B","pooled_pilot_tune",160,8,0.07417628044891865,0.039847411593086884,0.5303324697183447,500
"3B","pooled_pilot_tune",160,16,0.09349234119668509,0.03456277598598657,0.6831449413629896,500
"3B","pooled_pilot_tune",160,32,0.11626512895929755,0.020642893042674443,0.8772831641334021,500
"3B","raw_plugin",8,2,0.09562003780718335,0.049311791115312,0.6798499527410209,500
"3B","raw_plugin",8,8,0.13727193600101334,0.044978663433269464,0.8875870700936276,500
"3B","raw_plugin",8,16,0.16338619909445048,0.04300198534489303,0.98520897777164,500
"3B","raw_plugin",8,32,0.17644261272348957,0.020290519318389433,0.9994782907341365,500
"3B","raw_plugin",16,2,0.06671810433884297,0.04004713326446277,0.4685240185950411,500
"3B","raw_plugin",16,8,0.10363328645490719,0.045665749839023925,0.8132085689688957,500
"3B","raw_plugin",16,16,0.12596318612107377,0.037146646801064845,0.8874049936370494,500
"3B","raw_plugin",16,32,0.15223736178968494,0.022469885616906306,0.9732450671084059,500
"3B","raw_plugin",32,2,0.04974804687499999,0.029589843749999976,0.2929296875000006,500
"3B","raw_plugin",32,8,0.07756151736644039,0.03590038325003733,0.5549718725875128,500
"3B","raw_plugin",32,16,0.10039146398101659,0.036501506088012906,0.7291862555613524,500
"3B","raw_plugin",32,32,0.12326265688783875,0.024430939002432192,0.8894525650908524,500
"3B","raw_plugin",48,2,0.043370563271604934,0.02493248456790116,0.26432291666666663,500
"3B","raw_plugin",48,8,0.06781006935746058,0.034548338989012176,0.5567264519098705,500
"3B","raw_plugin",48,16,0.0877556771291532,0.034042250802679,0.7426301305615352,500
"3B","raw_plugin",48,32,0.11017853051644957,0.018437260724042212,0.9223416335938652,500
"3B","raw_plugin",64,2,0.040568359375,0.024658203125,0.2689208984375,500
"3B","raw_plugin",64,8,0.06152124958075119,0.03032368499697747,0.5248038119007425,500
"3B","raw_plugin",64,16,0.0803221839166537,0.032716687425595525,0.6727493417591831,500
"3B","raw_plugin",64,32,0.10359659307127217,0.02392987457573449,0.8168479809780725,500
"3B","raw_plugin",96,2,0.03785264756944444,0.022026909722222245,0.25998263888888984,500
"3B","raw_plugin",96,8,0.05765994530245381,0.030790555219287197,0.50515420495778,500
"3B","raw_plugin",96,16,0.07598224118406761,0.03285847157373081,0.6614853580026248,500
"3B","raw_plugin",96,32,0.09941114138296285,0.020740928003775437,0.7843055683837511,500
"3B","raw_plugin",128,2,0.03978369140625,0.02569580078125,0.3148193359375,500
"3B","raw_plugin",128,8,0.05995504510067201,0.032374723224731776,0.4423974801737392,500
"3B","raw_plugin",128,16,0.07794147054832905,0.03258542045588927,0.6460870363367186,500
"3B","raw_plugin",128,32,0.10148891652786904,0.02232048148854148,0.8370610086895038,500
"3B","raw_plugin",160,2,0.051892968750000004,0.034042968750000034,0.2752343749999999,500
"3B","raw_plugin",160,8,0.07658875233181775,0.038906342819102435,0.5395299386305918,500
"3B","raw_plugin",160,16,0.09706199592875157,0.034525762780611674,0.7369576194975889,500
"3B","raw_plugin",160,32,0.12066307253799155,0.019733320500817136,0.9017489393244218,500
"3B","shrink_raw_to_tune_alpha128",8,2,0.04530848298676749,0.027217349605248756,0.28068011230957335,500
"3B","shrink_raw_to_tune_alpha128",8,8,0.07074937956826925,0.032754462764085,0.5393290345372254,500
"3B","shrink_raw_to_tune_alpha128",8,16,0.0906151281825203,0.030097507297913453,0.701226018060347,500
"3B","shrink_raw_to_tune_alpha128",8,32,0.11455304748614463,0.023550878627068096,0.8102939714424358,500
"3B","shrink_raw_to_tune_alpha128",16,2,0.04545587982093664,0.02711597509182724,0.25396005509641917,500
"3B","shrink_raw_to_tune_alpha128",16,8,0.06932803277803214,0.030160182200375113,0.5577381891358322,500
"3B","shrink_raw_to_tune_alpha128",16,16,0.09073399867714674,0.031221027582332337,0.7456654359657384,500
"3B","shrink_raw_to_tune_alpha128",16,32,0.11865551406990525,0.02269197962951701,0.8651151346351745,500
"3B","shrink_raw_to_tune_alpha128",32,2,0.044513203125000005,0.02685546874999991,0.2517578125,500
"3B","shrink_raw_to_tune_alpha128",32,8,0.06472116314767133,0.030179614387059663,0.5260402878871819,500
"3B","shrink_raw_to_tune_alpha128",32,16,0.08190959893255177,0.030450544227652976,0.6318563984474825,500
"3B","shrink_raw_to_tune_alpha128",32,32,0.10718101699136452,0.02339255354958742,0.787290163453355,500
"3B","shrink_raw_to_tune_alpha128",48,2,0.039450441919191906,0.022521219135802524,0.22594433922558965,500
"3B","shrink_raw_to_tune_alpha128",48,8,0.061939136590710105,0.028396242649721418,0.4340780041286429,500
"3B","shrink_raw_to_tune_alpha128",48,16,0.07961570341151684,0.02838767108518986,0.6268996594798236,500
"3B","shrink_raw_to_tune_alpha128",48,32,0.10263287665694061,0.019618607260243184,0.8103898586738566,500
