model,K,N,MAE,median_AE,max_AE,num_rows
"3B",8,2,0.04227720731769001,0.02529278414461236,0.2751654064272204,500
"3B",8,8,0.06275904213708107,0.03142951209654611,0.4778213833495645,500
"3B",8,16,0.08230538812861485,0.028227938631586083,0.6934000768806842,500
"3B",8,32,0.10280082546653126,0.01552939288516203,0.8837739880516708,500
"3B",16,2,0.03949553184544305,0.023493995351239555,0.22891916322314054,500
"3B",16,8,0.06302001228214187,0.029609909452647812,0.451022685799392,500
"3B",16,16,0.08100857460463357,0.0297495958386653,0.622832740166494,500
"3B",16,32,0.10423319507127755,0.019285994513043636,0.8353572173121863,500
"3B",32,2,0.036470611979166664,0.02203125000000014,0.24542968750000002,500
"3B",32,8,0.056047967606244246,0.026763623527842947,0.5188073917120992,500
"3B",32,16,0.07315094270028011,0.025977644201759804,0.7291862555613524,500
"3B",32,32,0.09325260515021529,0.01856573398037064,0.882756482422435,500
"3B",48,2,0.03511567538605299,0.020741705246913423,0.26432291666666663,500
"3B",48,8,0.05584879778979366,0.027778559922684916,0.4191938298884389,500
"3B",48,16,0.07002893876856167,0.022798728425610516,0.6115317081387469,500
"3B",48,32,0.08738282330889506,0.013342009810941573,0.824511204507111,500
"3B",64,2,0.03575206027560764,0.021575927734375,0.2689208984375,500
"3B",64,8,0.05680170170082514,0.026218040061069987,0.45836316710063313,500
"3B",64,16,0.07278220846125706,0.026130236343584523,0.6373528312051311,500
"3B",64,32,0.09007849141012847,0.015514868445620774,0.7300097153233001,500
"3B",96,2,0.03753255370298827,0.022026909722222245,0.23834153163580296,500
"3B",96,8,0.0562546771618954,0.029485680110215292,0.3813839093593687,500
"3B",96,16,0.0723904691806261,0.022656304550340102,0.5332560574822487,500
"3B",96,32,0.09436609613068814,0.015465430959069798,0.7146783878670342,500
"3B",128,2,0.04071245251660679,0.026877663352272735,0.23470237038352265,500
"3B",128,8,0.05667468615627823,0.02507374789510411,0.41664854402553425,500
"3B",128,16,0.07272142653864713,0.026063724208112714,0.5366864532517093,500
"3B",128,32,0.0936209326050667,0.008746951503074096,0.7065272803567113,500
"3B",160,2,0.053020197849025966,0.035195312499999895,0.3818359375,500
"3B",160,8,0.07221723404377335,0.023498017516401,0.5395299386305918,500
"3B",160,16,0.09306806957738854,0.0170924307725882,0.7369576194975889,500
"3B",160,32,0.11570955878056023,0.002202246607371754,0.9017489393244218,500
"70B",8,2,0.02432005845209852,0.007194994978733478,0.17564242674858188,500
"70B",8,8,0.04194600304345477,0.000813797169896412,0.3954053475479838,500
"70B",8,16,0.05551907192849419,1.2202708187913913e-05,0.6280769480076663,500
"70B",8,32,0.06989741008059226,1.705990404499147e-09,0.7215056324697741,500
"70B",16,2,0.022520275553833805,0.005294421487603396,0.17850271177685972,500
"70B",16,8,0.03892019747858828,0.0011367976402513582,0.4150659749156946,500
"70B",16,16,0.05193170216694438,1.844276725176952e-05,0.6183383284769205,500
"70B",16,32,0.0672356827596003,1.710800334731033e-09,0.657757478798714,500
"70B",32,2,0.023434218750000006,0.007275390624999965,0.1896484375,500
"70B",32,8,0.036503155220073455,0.0007155346361206599,0.3556618556173681,500
"70B",32,16,0.04652118769730919,1.2818957372207063e-05,0.4705802108953426,500
"70B",32,32,0.06367892265904085,1.1206098826654909e-09,0.6377991476974304,500
"70B",48,2,0.02168138554130091,0.007595486111111334,0.1801697530864197,500
"70B",48,8,0.03533094661102822,0.000784388151037152,0.30924215558708834,500
"70B",48,16,0.04616905372151224,7.845391885363817e-06,0.46616011597408036,500
"70B",48,32,0.06005195046380031,3.94442534190631e-10,0.7076360491386041,500
"70B",64,2,0.02266507568359375,0.008087158203125,0.19451904296875,500
"70B",64,8,0.038998569221741525,0.0010528336363009316,0.38680655558740495,500
"70B",64,16,0.051125537039171644,1.7765199952224364e-05,0.6159756171882453,500
"70B",64,32,0.06448063222799143,2.3532889525945677e-09,0.7240323455903452,500
"70B",96,2,0.02111456037662906,0.005750868055555636,0.19368489583333315,500
"70B",96,8,0.03466087505141431,0.0006173694211633749,0.49706771440362274,500
"70B",96,16,0.04688774319323444,7.030823836517985e-06,0.7210791719302233,500
"70B",96,32,0.06005669803442202,2.2359186724330016e-10,0.9136144378611889,500
"70B",128,2,0.023900766978725677,0.0063171386718750555,0.271484375,500
"70B",128,8,0.03812299377683702,0.0005130512192317513,0.3467680963370203,500
"70B",128,16,0.0514746166055627,2.2600307454521305e-06,0.5520788746429,500
"70B",128,32,0.06678442175838194,3.5998068463533114e-11,0.7892154823985812,500
"70B",160,2,0.03013117491883117,0.0087890625,0.29184027777777766,500
"70B",160,8,0.05014672031382473,0.00028126672632428074,0.4691822449094616,500
"70B",160,16,0.06506325628261332,1.1568806923545338e-07,0.6738311796934062,500
"70B",160,32,0.08311241735289855,2.1963077797321965e-14,0.8762635283324198,500
