model,K,N,MAE,median_AE,max_AE,num_rows
"MistralSmall119B",8,2,0.023859500324133268,0.0,0.26557035680529356,500
"MistralSmall119B",8,8,0.037903267085476006,0.0,0.45439160084900576,500
"MistralSmall119B",8,16,0.04704054139489468,0.0,0.6834352923592631,500
"MistralSmall119B",8,32,0.0553192759105554,0.0,0.6886081710746079,500
"MistralSmall119B",16,2,0.022779167922118933,0.0,0.2665692794421489,500
"MistralSmall119B",16,8,0.03270727951387906,0.0,0.4112225190689014,500
"MistralSmall119B",16,16,0.038996378954293795,0.0,0.46486549964236357,500
"MistralSmall119B",16,32,0.05199753515363425,0.0,0.8687750243010247,500
"MistralSmall119B",32,2,0.018676940104166664,0.0,0.22144531249999944,500
"MistralSmall119B",32,8,0.02818398130811375,0.0,0.33225228809474516,500
"MistralSmall119B",32,16,0.038013082235492254,0.0,0.41933868769323873,500
"MistralSmall119B",32,32,0.051768537009758725,0.0,0.6541058666924399,500
"MistralSmall119B",48,2,0.018690409122850523,0.0,0.20382426697530842,500
"MistralSmall119B",48,8,0.02922429633680511,0.0,0.39848079625560623,500
"MistralSmall119B",48,16,0.036939066517159364,0.0,0.5025902836635525,500
"MistralSmall119B",48,32,0.04655221278625151,0.0,0.7643454337685381,500
"MistralSmall119B",64,2,0.017862064615885416,0.0,0.18243408203125,500
"MistralSmall119B",64,8,0.029851423815612597,0.0,0.299214654274107,500
"MistralSmall119B",64,16,0.03615628939141643,0.0,0.45357305187698693,500
"MistralSmall119B",64,32,0.04475678629411418,0.0,0.5836364727544198,500
"MistralSmall119B",96,2,0.01906504258665717,0.0,0.2198350694444448,500
"MistralSmall119B",96,8,0.028095712083713417,0.0,0.34397776552745873,500
"MistralSmall119B",96,16,0.035879407333041104,0.0,0.5241315354189401,500
"MistralSmall119B",96,32,0.0470880431128239,0.0,0.69196955876268,500
"MistralSmall119B",128,2,0.02080309100164095,0.0,0.28300781249999996,500
"MistralSmall119B",128,8,0.03144763831174736,0.0,0.33699822630183446,500
"MistralSmall119B",128,16,0.039363630678343926,0.0,0.5872509532841008,500
"MistralSmall119B",128,32,0.052640805368905016,0.0,0.8546804387639115,500
"MistralSmall119B",160,2,0.026027651796987728,0.0,0.38769531249999956,500
"MistralSmall119B",160,8,0.039914080813601406,0.0,0.587448169788695,500
"MistralSmall119B",160,16,0.050593903413785724,0.0,0.7813497734527437,500
"MistralSmall119B",160,32,0.06236817649679884,0.0,0.9114669514514029,500
"Super120B",8,2,0.028279263586666943,0.0009165657490547985,0.2413456994328923,500
"Super120B",8,8,0.05080367850959168,7.46083387292984e-08,0.3967284180375286,500
"Super120B",8,16,0.067659522997587,4.163330473412341e-14,0.6872563688998052,500
"Super120B",8,32,0.08752167982132161,1.4414166184497964e-63,0.8210979485214114,500
"Super120B",16,2,0.029815132324667124,0.00024212293388460593,0.28600278351698893,500
"Super120B",16,8,0.048951017703739025,3.234924239592374e-08,0.3941361146936162,500
"Super120B",16,16,0.06572375225914337,7.549516567451064e-15,0.5558887429022752,500
"Super120B",16,32,0.08936572275219543,5.977980459311099e-63,0.7332745654935268,500
"Super120B",32,2,0.0243723828125,0.000996093749999885,0.2300781250000004,500
"Super120B",32,8,0.043018332029418134,4.39210927072331e-08,0.37677609574605786,500
"Super120B",32,16,0.05802250997192376,1.6653345369377348e-14,0.49809525300944635,500
"Super120B",32,32,0.07526222367740036,2.938735877055724e-71,0.6187679749232092,500
"Super120B",48,2,0.026539775777366926,0.0002170138888890179,0.24807098765432029,500
"Super120B",48,8,0.04285053306750258,4.39925567641275e-08,0.40526145584998685,500
"Super120B",48,16,0.05624452530818681,1.2378986724570495e-14,0.5415796731339668,500
"Super120B",48,32,0.07619442462853623,8.558551197079541e-70,0.7575383450110733,500
"Super120B",64,2,0.025409906684027782,0.0,0.20587158203125,500
"Super120B",64,8,0.04162409718976257,0.0,0.5010179107956458,500
"Super120B",64,16,0.0552600904974284,0.0,0.6075577235662867,500
"Super120B",64,32,0.07827002729985762,3.7092061506874214e-68,0.7994427828286839,500
"Super120B",96,2,0.02564891016433171,0.0,0.24229600694444464,500
"Super120B",96,8,0.044696588750279896,0.0,0.5845567890276847,500
"Super120B",96,16,0.05974177831453019,0.0,0.8358539006936966,500
"Super120B",96,32,0.07590559749559848,0.0,0.9697208136495366,500
"Super120B",128,2,0.026950791259330437,0.0,0.31391601562499993,500
"Super120B",128,8,0.04277414122995478,0.0,0.35732145571931184,500
"Super120B",128,16,0.05704014868003401,0.0,0.5705794757972003,500
"Super120B",128,32,0.08097609945177199,0.0,0.813766933523294,500
"Super120B",160,2,0.03591452628968255,0.0,0.2743750000000008,500
"Super120B",160,8,0.059354736282482015,0.0,0.5743131862254813,500
"Super120B",160,16,0.08055972916609218,0.0,0.7575900033392221,500
"Super120B",160,32,0.10511963422040665,0.0,0.9484953338674684,500
"Super49B",8,2,0.02488300354751226,0.008795708293950821,0.2880527085302457,500
"Super49B",8,8,0.037840212767833656,0.0010085398981006244,0.4206765564976771,500
"Super49B",8,16,0.045475466710394076,1.57805759223953e-05,0.5085426890275853,500
"Super49B",8,32,0.05205819901709564,3.674651694041131e-09,0.8016009188092542,500
"Super49B",16,2,0.022118072414485768,0.007247546487603229,0.21987990702479304,500
"Super49B",16,8,0.03213052908599825,0.0009291803616181479,0.4414649080467842,500
"Super49B",16,16,0.04007169109196305,1.1131585476220618e-05,0.5897893199154828,500
"Super49B",16,32,0.047861168185886746,2.0266947009517366e-09,0.7677103115441585,500
"Super49B",32,2,0.020865826822916666,0.007871093750000044,0.17941406249999983,500
"Super49B",32,8,0.031950134479139886,0.0007176793037055873,0.3450829142365727,500
"Super49B",32,16,0.03846349590380368,1.9597689243725654e-05,0.3990051615410053,500
"Super49B",32,32,0.043595272814268046,1.6308150385668796e-09,0.6061588320930595,500
"Super49B",48,2,0.021069599272737303,0.006996427569344422,0.2367205036475875,500
"Super49B",48,8,0.03100339555048239,0.00038617253865125267,0.4988028258740185,500
"Super49B",48,16,0.038856352435096754,6.129333120830083e-06,0.6246774099856296,500
"Super49B",48,32,0.04979357104747429,1.2065398680149997e-10,0.7733568003846051,500
"Super49B",64,2,0.02207953152126736,0.007965087890625,0.209014892578125,500
"Super49B",64,8,0.03159168073609286,0.0002887111122409358,0.3196147243351284,500
"Super49B",64,16,0.03913123317973084,1.0061445075426612e-06,0.4907660945493687,500
"Super49B",64,32,0.04733743677593743,8.268996598559397e-12,0.7226003583333238,500
"Super49B",96,2,0.019467000660050793,0.006287374614197538,0.17871093749999983,500
"Super49B",96,8,0.02956198359888519,0.000217091418992732,0.3703655627705158,500
"Super49B",96,16,0.03923325592689497,3.9867856688191594e-07,0.38980231824186606,500
"Super49B",96,32,0.05009100871058032,8.189005029635155e-13,0.6300707176943625,500
"Super49B",128,2,0.02283017369524751,0.008056640625,0.20976562499999996,500
"Super49B",128,8,0.03170046991988646,8.109110520548857e-05,0.4069011570541079,500
"Super49B",128,16,0.03853570418423047,7.552825043166678e-08,0.5900532738221288,500
"Super49B",128,32,0.04579323240555777,1.2545520178264269e-14,0.712198421797283,500
"Super49B",160,2,0.02640880848101551,0.008032670454545462,0.18666666666666665,500
"Super49B",160,8,0.036756852529153596,5.1798705499095377e-05,0.5384374586634939,500
"Super49B",160,16,0.04363896637806392,6.739023783453035e-09,0.6747705302372878,500
"Super49B",160,32,0.052892609431983525,1.1102230246251565e-16,0.9712731123970436,500
"ALL",8,2,0.028723806645620197,0.008690298617674619,0.2880527085302457,2500
"ALL",8,8,0.04625044070868744,0.002426192542130571,0.4778213833495645,2500
"ALL",8,16,0.05959999823199696,0.00022323558639213658,0.6934000768806842,2500
"ALL",8,32,0.07351947805921924,5.813552526041646e-07,0.8837739880516708,2500
"ALL",16,2,0.02734563601210973,0.008070764462809944,0.28600278351698893,2500
"ALL",16,8,0.04314580721286929,0.0022924746488348097,0.451022685799392,2500
"ALL",16,16,0.05554641981539562,0.00016905805474907618,0.622832740166494,2500
"ALL",16,32,0.07213866078451886,3.8428641471474723e-07,0.8687750243010247,2500
"ALL",32,2,0.02476399609375,0.008344726562500127,0.24542968750000002,2500
"ALL",32,8,0.03914071412859789,0.002164284691142937,0.5188073917120992,2500
"ALL",32,16,0.0508342437017618,0.00013477832409545024,0.7291862555613524,2500
"ALL",32,32,0.06551151226213665,2.0293210328814482e-07,0.882756482422435,2500
"ALL",48,2,0.02461936902006173,0.007848668981481316,0.26432291666666663,2500
"ALL",48,8,0.03885159387112239,0.002024048662395306,0.4988028258740185,2500
"ALL",48,16,0.04964758735010337,8.874734915920168e-05,0.6246774099856296,2500
"ALL",48,32,0.06399499644699148,6.672046437561363e-08,0.824511204507111,2500
"ALL",64,2,0.02475372775607639,0.007843017578125,0.2689208984375,2500
"ALL",64,8,0.03977349453280694,0.0016604118656353695,0.5010179107956458,2500
"ALL",64,16,0.05089107171380087,5.9696153684063447e-05,0.6373528312051311,2500
"ALL",64,32,0.06498467480160582,2.957724121177563e-08,0.7994427828286839,2500
"ALL",96,2,0.024565613498131397,0.007378472222222321,0.24229600694444464,2500
"ALL",96,8,0.03865396732923764,0.00111456170460987,0.5845567890276847,2500
"ALL",96,16,0.050826530789665356,1.9287653664268323e-05,0.8358539006936966,2500
"ALL",96,32,0.06550148869682257,1.4546701757297137e-09,0.9697208136495366,2500
"ALL",128,2,0.02703945509031027,0.008544921875,0.31391601562499993,2500
"ALL",128,8,0.04014398587894077,0.0007056927023480035,0.41664854402553425,2500
"ALL",128,16,0.05182710533736365,4.160720030566001e-06,0.5900532738221288,2500
"ALL",128,32,0.06796309831793668,5.477727255378338e-11,0.8546804387639115,2500
"ALL",160,2,0.03430047186710858,0.009374999999999967,0.38769531249999956,2500
"ALL",160,8,0.05167792479656703,0.0003357138694856369,0.587448169788695,2500
"ALL",160,16,0.06658478496358874,3.974805569100975e-07,0.7813497734527437,2500
"ALL",160,32,0.08384047925652956,2.794431352981519e-13,0.9712731123970436,2500
