model,N,difficulty_bin,num_problems,actual_acc_mean,auc_only_pred_mean,moment_pred_mean,auc_only_mae,moment_mae,mean_p,mean_kappa,mean_theta
3B,2,all_correct,3,1.0,1.0,1.0,0.0,0.0,1.0,,0.5
3B,2,easy,18,0.9159191743827161,0.9159191743827161,0.9159191743827161,5.551115123125783e-17,3.0839528461809905e-17,0.8900462962962963,0.6561025766495773,0.515073861922946
3B,2,hard,29,0.0993624281609196,0.09936242816091953,0.0993624281609196,9.277031968294934e-17,1.4356332214980472e-18,0.09267241379310345,0.4674137818038448,0.46292590311986886
3B,2,medium,33,0.5152830387205387,0.5152830387205387,0.5152830387205387,1.8671932686877633e-16,6.7286243916676156e-18,0.4810606060606061,0.5769556382983554,0.5350390384015128
3B,2,no_correct,16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3B,3,all_correct,3,1.0,1.0,1.0,0.0,0.0,1.0,,0.3333333333333333
3B,3,easy,18,0.9244404859503601,0.9215544908403069,0.9244404859503601,0.017336363851373,1.2335811384723961e-17,0.8900462962962963,0.6561025766495773,0.34668492477187063
3B,3,hard,29,0.10293286787595791,0.11246603903073181,0.10293286787595791,0.019189883276081572,0.0,0.09267241379310345,0.4674137818038448,0.31181480431884545
3B,3,medium,33,0.525142374263468,0.5202336602809055,0.525142374263468,0.039826026400834096,9.25185853854297e-18,0.4810606060606061,0.5769556382983554,0.36391658758427575
3B,3,no_correct,16,0.0,0.007626421216681334,0.0,0.007626421216681334,0.0,0.0,,0.0
3B,4,all_correct,3,1.0,1.0,1.0,0.0,0.0,1.0,,0.25
3B,4,easy,18,0.9280973730100361,0.9224959960100342,0.9280973730100364,0.026044884897401883,3.700743415417188e-17,0.8900462962962963,0.6561025766495773,0.26109223709933826
3B,4,hard,29,0.10543556262097907,0.11411493536529392,0.10543556262097907,0.023674549478986177,1.825502041496337e-24,0.09267241379310345,0.4674137818038448,0.23609605514491705
3B,4,medium,33,0.5288837288722,0.521595912906323,0.5288837288722001,0.05589304621726903,2.0185873175002847e-17,0.4810606060606061,0.5769556382983554,0.27507103392977067
3B,4,no_correct,16,0.0,0.008114415496109362,0.0,0.008114415496109362,0.0,0.0,,0.0
3B,8,all_correct,3,1.0,0.9959723762240054,1.0,0.004027623775994638,0.0,1.0,,0.125
3B,8,easy,18,0.9306035510140516,0.924542822153672,0.9306035510140516,0.05133036826165683,2.4671622769447922e-17,0.8900462962962963,0.6561025766495773,0.13097241682213318
3B,8,hard,29,0.10993417502391517,0.11841265219130694,0.10993417502391517,0.04251302688882563,1.046815891567018e-18,0.09267241379310345,0.4674137818038448,0.11657127263103122
3B,8,medium,33,0.5318185133505706,0.524593166442805,0.5318185133505706,0.10370748179756707,1.682156097916904e-17,0.4810606060606061,0.5769556382983554,0.13859666452085842
3B,8,no_correct,16,0.0,0.009005212754523262,0.0,0.009005212754523262,0.0,0.0,,0.0
3B,16,all_correct,3,1.0,0.9904315143255977,1.0,0.009568485674402272,0.0,1.0,,0.0625
3B,16,easy,18,0.9246470223723416,0.9260322260992319,0.9246470223723416,0.07562749512645119,3.700743415417188e-17,0.8900462962962963,0.6561025766495773,0.06510368809683158
3B,16,hard,29,0.10575479301453425,0.12251337565314445,0.10575479301453425,0.06786563363397048,1.257113726078877e-18,0.09267241379310345,0.4674137818038448,0.05109358800349278
3B,16,medium,33,0.534768880644738,0.5268737342960439,0.534768880644738,0.16227582441734179,3.3643121958338078e-18,0.4810606060606061,0.5769556382983554,0.07011689150082835
3B,16,no_correct,16,0.0,0.00917932432969415,0.0,0.00917932432969415,0.0,0.0,,0.0
3B,32,all_correct,3,1.0,0.9834572810607037,1.0,0.016542718939296153,0.0,1.0,,0.03125
3B,32,easy,18,0.9183249508148114,0.9260300779781423,0.9183249508148114,0.10147053290616032,3.700743415417188e-17,0.8900462962962963,0.6561025766495773,0.032340657598777606
3B,32,hard,29,0.09451314588769172,0.12580241611280865,0.09451314588769172,0.11143094875067104,3.7387422748620915e-21,0.09267241379310345,0.4674137818038448,0.020407454362708143
3B,32,medium,33,0.5544972586574864,0.5277209307827964,0.5544972586574864,0.23413870162879685,1.5139404881252134e-17,0.4810606060606061,0.5769556382983554,0.0368720452546091
3B,32,no_correct,16,0.0,0.00792006453837868,0.0,0.00792006453837868,0.0,0.0,,0.0
3B,48,all_correct,3,1.0,0.97818781039449,1.0,0.021812189605510013,0.0,1.0,,0.020833333333333332
3B,48,easy,18,0.9195140833217597,0.9251117157064014,0.9195140833217597,0.10647327157704543,1.850371707708594e-17,0.8900462962962963,0.6561025766495773,0.021589763918869447
3B,48,hard,29,0.09086631837335798,0.1269058257657781,0.09086631837335798,0.13777862911798933,3.962945871954988e-18,0.09267241379310345,0.4674137818038448,0.012683927441082888
3B,48,medium,33,0.5801667270105794,0.5270267032233205,0.5801667270105794,0.2904722919463281,3.418522304458083e-18,0.4810606060606061,0.5769556382983554,0.026012046483529887
3B,48,no_correct,16,0.0,0.005993639046824373,0.0,0.005993639046824373,0.0,0.0,,0.0
70B,2,all_correct,43,1.0,1.0,1.0,0.0,0.0,1.0,,0.5
70B,2,easy,18,0.9004629629629629,0.9004629629629629,0.9004629629629629,1.0485439677015367e-16,3.700743415417188e-17,0.8842592592592592,0.55279947072035,0.510040615635106
70B,2,hard,11,0.10428503787878793,0.10428503787878786,0.10428503787878793,1.1575336648790696e-16,0.0,0.09280303030303029,0.5961176714189803,0.5897306397306395
70B,2,medium,13,0.573551014957265,0.573551014957265,0.573551014957265,1.2810265668751805e-16,8.540177112501205e-18,0.5560897435897436,0.5398579908771939,0.5148075649953919
70B,2,no_correct,15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
70B,3,all_correct,43,1.0,1.0,1.0,0.0,0.0,1.0,,0.3333333333333333
70B,3,easy,18,0.9031223877957818,0.8845781084305793,0.9031223877957818,0.033993664948948975,2.4671622769447922e-17,0.8842592592592592,0.55279947072035,0.34126757568204596
70B,3,hard,11,0.10896152277988222,0.13703337608429864,0.10896152277988222,0.029041262424671168,0.0,0.09280303030303029,0.5961176714189803,0.4224366056397307
70B,3,medium,13,0.570591418491809,0.5836944051018826,0.570591418491809,0.04954982243912745,4.270088556250602e-18,0.5560897435897436,0.5398579908771939,0.34098914822814314
70B,3,no_correct,15,0.0,0.007626421216681334,0.0,0.007626421216681334,0.0,0.0,,0.0
