K,N,model,heldout_MAE_mean,heldout_MAE_std,heldout_MAE_ci_low,heldout_MAE_ci_high,num_problems_used,num_splits
8,2,3B,0.08802351066597293,0.1032823376826958,0.08349696263847445,0.09255005869347141,100,2000
8,8,3B,0.1320995217555458,0.173970095037296,0.12447494616785813,0.13972409734323343,100,2000
8,16,3B,0.1602852518911036,0.22145774694513484,0.15057943819536354,0.16999106558684365,100,2000
8,32,3B,0.17379079142549989,0.25310629609763236,0.16269791890679297,0.1848836639442068,100,2000
8,48,3B,0.17368394702905035,0.26397929935265896,0.16211454413214624,0.18525334992595446,100,2000
8,64,3B,0.17264012488773525,0.271281020260365,0.16075070996250485,0.18452953981296566,100,2000
8,96,3B,0.1711082283777482,0.28287298064602895,0.15871077338878714,0.18350568336670925,100,2000
8,128,3B,0.16998685937721136,0.29227827641608733,0.1571771991267196,0.18279651962770313,100,2000
16,2,3B,0.06363532986111112,0.07300786870219104,0.06043561893782574,0.06683504078439649,100,2000
16,8,3B,0.10304506710382624,0.13267297799483024,0.09723041747138027,0.10885971673627222,100,2000
16,16,3B,0.1338717981861749,0.18392566495953624,0.12581090050890997,0.14193269586343982,100,2000
16,32,3B,0.1626245928812687,0.23890377392567935,0.1521541733411191,0.1730950124214183,100,2000
16,48,3B,0.17335223431459115,0.26365808221073955,0.1617969093796385,0.1849075592495438,100,2000
16,64,3B,0.1765902206563485,0.2764713935360176,0.16447332759264813,0.18870711372004886,100,2000
16,96,3B,0.17700598855823962,0.2906010445263906,0.16426983623632796,0.1897421408801513,100,2000
16,128,3B,0.17614066449227414,0.3004497322941205,0.1629728743977413,0.18930845458680698,100,2000
24,2,3B,0.05100192603051923,0.05830632949803126,0.048446538471507684,0.053557313589530774,100,2000
24,8,3B,0.0812395645224292,0.10312939931847402,0.07671971931427456,0.08575940973058384,100,2000
24,16,3B,0.10369360706402966,0.14140072777993237,0.09749644693210578,0.10989076719595355,100,2000
24,32,3B,0.131296555228022,0.19200594328080425,0.122881523739329,0.13971158671671502,100,2000
24,48,3B,0.1450838962264281,0.2233076678286619,0.1352970061732562,0.15487078627959996,100,2000
24,64,3B,0.1515263069546815,0.24299900358992074,0.14087640606104265,0.16217620784832035,100,2000
24,96,3B,0.15575606361626898,0.2646714502849225,0.14415632586727434,0.16735580136526362,100,2000
24,128,3B,0.15592541020470213,0.27708068673950337,0.1437818136889858,0.16806900672041847,100,2000
32,2,3B,0.045136160714285715,0.05242826637019759,0.04283839063037965,0.04743393079819178,100,2000
32,8,3B,0.07375607258739794,0.09416148916167387,0.06962926337108694,0.07788288180370895,100,2000
32,16,3B,0.09690254111990444,0.13183206887567803,0.09112474595454362,0.10268033628526527,100,2000
32,32,3B,0.12181885780563988,0.18244190904473026,0.11382298859849041,0.12981472701278934,100,2000
32,48,3B,0.13738594057514483,0.21545250827868836,0.12794331806823875,0.14682856308205092,100,2000
32,64,3B,0.14682084599791806,0.23848390798240696,0.13636882789406413,0.157272864101772,100,2000
32,96,3B,0.15517758006404386,0.26657850621791657,0.14349426190366907,0.16686089822441866,100,2000
32,128,3B,0.15726839377338692,0.28212189585587305,0.1449038565267199,0.16963293102005395,100,2000
48,2,3B,0.03975286098783695,0.04436712075116792,0.037808386187712116,0.04169733578796179,100,2000
48,8,3B,0.06251886352046344,0.078952053089926,0.059058637230087405,0.06597908981083948,100,2000
48,16,3B,0.08115528960009069,0.10921546042591032,0.07636871100344773,0.08594186819673365,100,2000
48,32,3B,0.10344221349713853,0.15230963239985168,0.0967669495403267,0.11011747745395035,100,2000
48,48,3B,0.11760524921837034,0.1828581170851571,0.10959113888958581,0.12561935954715486,100,2000
48,64,3B,0.12740947648765108,0.20628846412811283,0.11836848592386713,0.13645046705143504,100,2000
48,96,3B,0.13883399422887516,0.2397051005381145,0.1283284550014849,0.1493395334562654,100,2000
48,128,3B,0.143701584247753,0.26144477576925185,0.13224326174450116,0.15515990675100486,100,2000
64,2,3B,0.03563392469618055,0.040889785146001195,0.03384185084841288,0.037425998543948215,100,2000
64,8,3B,0.05566029494702785,0.0677144837559919,0.05269257684772967,0.05862801304632603,100,2000
64,16,3B,0.07233523926749619,0.09367671542637354,0.0682296761968916,0.07644080233810077,100,2000
64,32,3B,0.09409921463085386,0.1326860587734978,0.08828399170800602,0.09991443755370169,100,2000
64,48,3B,0.10799451852158433,0.16261832302816467,0.10086745627789562,0.11512158076527304,100,2000
64,64,3B,0.11760945691268042,0.18682836409842493,0.1094213428365969,0.12579757098876393,100,2000
64,96,3B,0.1302469275340822,0.2234740828015837,0.12045274402314855,0.14004111104501585,100,2000
64,128,3B,0.13714507527568282,0.24972529302371224,0.12620038175000214,0.14808976880136349,100,2000
96,2,3B,0.03143503472222222,0.0347436250432895,0.029912328217543655,0.03295774122690078,100,2000
96,8,3B,0.050359415054836945,0.062301050248951315,0.047628951139681755,0.053089878969992135,100,2000
96,16,3B,0.06627580679163349,0.08674747219214682,0.062473931195554396,0.07007768238771259,100,2000
96,32,3B,0.08522990157791376,0.12222418212483459,0.07987319061529503,0.09058661254053248,100,2000
96,48,3B,0.09760949416433638,0.14819245760705663,0.09111467334867855,0.10410431497999421,100,2000
96,64,3B,0.10672299013256589,0.1692034208860591,0.09930732325048187,0.11413865701464991,100,2000
96,96,3B,0.11897352110959028,0.20332890348971136,0.1100622390097179,0.12788480320946266,100,2000
96,128,3B,0.12649812334645175,0.23050178528219628,0.11639593719426114,0.13660030949864235,100,2000
128,2,3B,0.03049102783203125,0.034084518845418445,0.028997207930104175,0.03198484773395832,100,2000
128,8,3B,0.048766182811404234,0.061733243351286916,0.04606060413074595,0.05147176149206252,100,2000
128,16,3B,0.06359830154131138,0.08482418241498128,0.05988071783620287,0.06731588524641989,100,2000
128,32,3B,0.0827599082819254,0.11795605275925176,0.07759025633631153,0.08792956022753928,100,2000
128,48,3B,0.0958526243819315,0.14299524742717737,0.08958558134528272,0.10211966741858028,100,2000
128,64,3B,0.10536315383758002,0.1640555211162462,0.09817310361049848,0.11255320406466156,100,2000
128,96,3B,0.11809589733477789,0.19967572975915476,0.10934472263289027,0.1268470720366655,100,2000
128,128,3B,0.125904684605942,0.22929189193840296,0.11585552436749143,0.13595384484439257,100,2000
192,2,3B,0.03548977322048612,0.03953960543151348,0.03375687360773779,0.037222672833234445,100,2000
192,8,3B,0.05572778492301142,0.06970760477249353,0.05267271444373973,0.05878285540228311,100,2000
192,16,3B,0.07175570637492601,0.09626876684117269,0.06753654164229399,0.07597487110755803,100,2000
192,32,3B,0.09246335479317794,0.13420920964307526,0.08658137684019658,0.0983453327461593,100,2000
192,48,3B,0.10626563450884467,0.16223798770749298,0.09915524119552878,0.11337602782216057,100,2000
192,64,3B,0.115829941233588,0.18515735766649885,0.10771506224336795,0.12394482022380805,100,2000
8,2,70B,0.05629100546305931,0.08608151702054523,0.05251831663924012,0.0600636942868785,100,2000
8,8,70B,0.08229448858036997,0.14847267941228764,0.07578738650260876,0.08880159065813119,100,2000
8,16,70B,0.09804763765443089,0.1887499601589741,0.08977530591778037,0.10631996939108142,100,2000
8,32,70B,0.10810401756478742,0.21419263491944945,0.09871661144237762,0.11749142368719723,100,2000
8,48,70B,0.11080369564513558,0.22298247936552573,0.10103105760474149,0.12057633368552967,100,2000
8,64,70B,0.11236907829554735,0.22922329761386206,0.10232292433591864,0.12241523225517606,100,2000
8,96,70B,0.11485627665147746,0.23917135989261176,0.10437412963925491,0.12533842366370002,100,2000
8,128,70B,0.11694162622129531,0.24715750734564382,0.10610947086483975,0.12777378157775088,100,2000
