K,N,model,heldout_MAE_mean,heldout_MAE_std,heldout_MAE_ci_low,heldout_MAE_ci_high,num_problems_used,num_splits
8,16,MistralLarge675B,0.04586979111049464,0.003652820566986704,0.04426887191140589,0.04747071030958339,500,20
8,32,MistralLarge675B,0.04905513200363097,0.004331685724557066,0.047156687031125064,0.05095357697613688,500,20
16,2,MistralLarge675B,0.0234396484375,0.0015198143620079273,0.02277356042508048,0.024105736449919517,500,20
16,8,MistralLarge675B,0.032317065591326175,0.003464775792361653,0.03079856064841697,0.03383557053423538,500,20
16,16,MistralLarge675B,0.03874089059120575,0.004365739748074695,0.03682752078484726,0.04065426039756424,500,20
16,32,MistralLarge675B,0.044479518066079984,0.005245460608807123,0.04218059359314031,0.04677844253901966,500,20
24,2,MistralLarge675B,0.022156249999999995,0.0011435627867069666,0.021655061510987283,0.022657438489012707,500,20
24,8,MistralLarge675B,0.031044934228512778,0.001990037453769416,0.03017276185973057,0.031917106597294985,500,20
24,16,MistralLarge675B,0.036927146453605196,0.0022360550323371384,0.035947152127072876,0.037907140780137516,500,20
32,2,MistralLarge675B,0.0235439453125,0.001747821628019354,0.02277792870983206,0.024309961915167943,500,20
32,8,MistralLarge675B,0.0324577928722656,0.0026026451787245614,0.03131713333024132,0.03359845241428988,500,20
32,16,MistralLarge675B,0.038961943107852795,0.0030118448229405005,0.03764194391454474,0.04028194230116085,500,20
8,2,MistralNemotron,0.04062075,0.002809627316548359,0.039389376536436475,0.04185212346356352,500,20
8,8,MistralNemotron,0.06975956415730934,0.004072668954158113,0.06797463828956464,0.07154449002505404,500,20
8,16,MistralNemotron,0.08887122644967639,0.004861595860090444,0.0867405381205068,0.09100191477884598,500,20
8,32,MistralNemotron,0.10432303160767964,0.00585378391609464,0.10175749769033106,0.10688856552502822,500,20
16,2,MistralNemotron,0.03204843749999999,0.0012796424270908407,0.031487609479041875,0.03260926552095811,500,20
16,8,MistralNemotron,0.05733975049356813,0.0034799722156693335,0.055814585424494884,0.05886491556264138,500,20
16,16,MistralNemotron,0.07566322040520579,0.004756737401085348,0.07357848832193706,0.07774795248847452,500,20
16,32,MistralNemotron,0.09209028195094202,0.0058122250298825616,0.08954296201854275,0.09463760188334128,500,20
24,2,MistralNemotron,0.03152708333333333,0.0015343317025839802,0.030854632815879218,0.03219953385078744,500,20
24,8,MistralNemotron,0.055568943256783854,0.0034734111291214315,0.05404665371067397,0.057091232802893736,500,20
24,16,MistralNemotron,0.07340764505772077,0.005287605893669898,0.07109024959929178,0.07572504051614976,500,20
32,2,MistralNemotron,0.03251337890625,0.0019212728880159094,0.03167134393718754,0.03335541387531246,500,20
32,8,MistralNemotron,0.05906703555461763,0.0036770588564171256,0.057455493456815235,0.06067857765242003,500,20
32,16,MistralNemotron,0.07823070150536462,0.0046394282448739875,0.07619738242663955,0.0802640205840897,500,20
8,2,MistralSmall119B,0.035511625,0.0023472174560922577,0.034482911593199904,0.03654033840680009,500,20
8,8,MistralSmall119B,0.04847956405793014,0.004094185861751696,0.046685207989648654,0.05027392012621163,500,20
8,16,MistralSmall119B,0.057427929307501534,0.005307631654307072,0.05510175717250372,0.05975410144249935,500,20
8,32,MistralSmall119B,0.06210248537622363,0.006180521281325493,0.05939375249482376,0.0648112182576235,500,20
16,2,MistralSmall119B,0.029203124999999996,0.0015054137928508533,0.02854334831528426,0.029862901684715733,500,20
16,8,MistralSmall119B,0.03972057790514027,0.002292141461553707,0.03871600261721263,0.04072515319306791,500,20
16,16,MistralSmall119B,0.047428077222841904,0.00245168851075409,0.04635357735758044,0.04850257708810337,500,20
16,32,MistralSmall119B,0.053689881292847866,0.0035316368679100176,0.05214207319158358,0.05523768939411215,500,20
24,2,MistralSmall119B,0.027621180555555562,0.0011930123567634112,0.0270983198369224,0.028144041274188725,500,20
