model,spearman,auc,monotonicity_violations,is_monotone,isotonic_mse,top_score_acc_N48,calibrated_score_acc_N48,num_bins
3B,0.1784396989273693,0.6059064899316033,7,False,0.2278475129654819,0.41749372448452715,0.39791355805877965,20
70B,0.22444743742968692,0.6385336419767809,6,False,0.2006024764498886,0.6454018847844877,0.6651229241235416,20
8B,0.032054584642230974,0.5188453223558039,11,False,0.23793820167916674,0.3943425419966981,0.4095780180795373,20
Dracarys70B,0.12077549599485667,0.5698890127478474,8,False,0.24410941593382182,0.5300512122732491,0.5448299411133414,20
GLM5,0.23302081024799615,0.6647562900821671,5,False,0.15133847691388091,0.8205810005707945,0.8060146687520471,20
Gemma3n2B,0.3027188634623124,0.6816670253576573,3,False,0.205866263908422,0.6811896595518356,0.6905722452594617,20
Gemma3n4B,0.1743850784621669,0.6118396178214323,8,False,0.18597679388934443,0.7406077977527495,0.755222865677032,20
KimiK2,0.0782611145823013,0.5520118252752484,8,False,0.1866332085924906,0.7430144815598441,0.7327227339771517,20
Maverick17B,0.1793004578499264,0.630043413926037,6,False,0.1483460220878137,0.8079298224540712,0.7962778527638177,20
MiniMax,0.1641450991843107,0.6001839057935913,5,False,0.2155003874591306,0.6108784561759171,0.6231917438936093,20
Ministral14B,0.29878994431603934,0.6809006362313704,2,False,0.20413539686191545,0.6816306216945369,0.6744909752122193,20
MistralLarge675B,0.2872657514546805,0.6822613299440292,3,False,0.1884275293938005,0.7256835422812733,0.7189758002477837,20
MistralNemotron,-0.4472194299865887,0.21036289620453008,11,False,0.1986788732638889,0.6369418085806765,0.8055398617313368,20
MistralSmall119B,0.22786631985631428,0.645119033611466,6,False,0.1913590382994961,0.7067412063519762,0.7087196823184487,20
Mixtral8x22B,0.27446116517398345,0.6593089101088356,2,False,0.22807531554624552,0.479358057369338,0.47430789286042274,20
Mixtral8x7B,0.19389471674550274,0.631276805860667,4,False,0.1746245959031048,0.23891118677648135,0.229062090468087,20
Qwen122B,0.23925577550123253,0.6668888658136777,6,False,0.1509583964456163,0.7970650242211812,0.7985425393787478,20
Qwen397B,0.2634630897638855,0.6772647656295141,6,False,0.15862747727998103,0.7902821755933371,0.7841288998226799,20
QwenNext80B,0.33119222263305415,0.7234711832013441,5,False,0.15284965934319913,0.781824968166558,0.7853222612079527,20
Stockmark100B,0.25958931051946726,0.6510829027773243,3,False,0.22775042499168702,0.5973229100703908,0.6074361398028948,20
Super120B,-0.12828193560495615,0.4188089974377983,12,False,0.20775936072267787,0.6666775227543834,0.7038252232216639,20
Super49B,0.284697905963285,0.6776412353282323,5,False,0.1908925108324384,0.6692285652404538,0.6689821217209792,20
Ultra253B,-0.01625616939481798,0.48584371785020825,9,False,0.10988482441059101,0.8928285902830437,0.891811611317644,20
