model,seed,policy,mean_budget,total_budget,accuracy,mean_allocated_samples,num_problems,pilot_k
3B,0,uniform,1,95,0.37796052631578947,1.0,95,16
3B,0,p_based,1,95,0.37796052631578947,1.0,95,16
3B,0,auc_kappa_based,1,95,0.37796052631578947,1.0,95,16
3B,0,moment_law,1,95,0.37796052631578947,1.0,95,16
3B,0,oracle,1,95,0.37796052631578947,1.0,95,16
3B,0,uniform,2,190,0.3931435032894737,2.0,95,16
3B,0,p_based,2,190,0.3951761346114309,2.0,95,16
3B,0,auc_kappa_based,2,190,0.3952862693404313,2.0,95,16
3B,0,moment_law,2,190,0.39003488209901194,2.0,95,16
3B,0,oracle,2,190,0.42305828961156156,2.0,95,16
3B,0,uniform,4,380,0.3985194256431178,4.0,95,16
3B,0,p_based,4,380,0.3952317810548634,4.0,95,16
3B,0,auc_kappa_based,4,380,0.39649845982163145,4.0,95,16
3B,0,moment_law,4,380,0.390680775712788,4.0,95,16
3B,0,oracle,4,380,0.44526279168236765,4.0,95,16
3B,0,uniform,8,760,0.39874818281878105,8.0,95,16
3B,0,p_based,8,760,0.3984678254488495,8.0,95,16
3B,0,auc_kappa_based,8,760,0.3924543548999277,8.0,95,16
3B,0,moment_law,8,760,0.3901828873081866,6.157894736842105,95,16
3B,0,oracle,8,760,0.4518998692495265,8.0,95,16
3B,0,uniform,16,1520,0.39767240368894446,16.0,95,16
3B,0,p_based,16,1520,0.39516697680332413,16.0,95,16
3B,0,auc_kappa_based,16,1520,0.38843824167998026,13.6,95,16
3B,0,moment_law,16,1520,0.3901828873081866,6.157894736842105,95,16
3B,0,oracle,16,1520,0.4518998692495508,8.263157894736842,95,16
3B,0,uniform,32,3040,0.39709535625736514,32.0,95,16
3B,0,p_based,32,3040,0.39536410719536397,20.810526315789474,95,16
3B,0,auc_kappa_based,32,3040,0.38843824167998026,13.6,95,16
3B,0,moment_law,32,3040,0.3901828873081866,6.157894736842105,95,16
3B,0,oracle,32,3040,0.4518998692495508,8.263157894736842,95,16
3B,1,uniform,1,95,0.38026315789473686,1.0,95,16
3B,1,p_based,1,95,0.38026315789473686,1.0,95,16
3B,1,auc_kappa_based,1,95,0.38026315789473686,1.0,95,16
3B,1,moment_law,1,95,0.38026315789473686,1.0,95,16
3B,1,oracle,1,95,0.38026315789473686,1.0,95,16
3B,1,uniform,2,190,0.39202302631578945,2.0,95,16
3B,1,p_based,2,190,0.39101152921977794,2.0,95,16
3B,1,auc_kappa_based,2,190,0.39163110823167363,2.0,95,16
3B,1,moment_law,2,190,0.3861196792956695,2.0,95,16
3B,1,oracle,2,190,0.4227834777649127,2.0,95,16
3B,1,uniform,4,380,0.39689074064555924,4.0,95,16
3B,1,p_based,4,380,0.3947599145478574,4.0,95,16
3B,1,auc_kappa_based,4,380,0.39468345757610707,4.0,95,16
3B,1,moment_law,4,380,0.39823471153702306,4.0,95,16
3B,1,oracle,4,380,0.4469887079496536,4.0,95,16
3B,1,uniform,8,760,0.40002270983486116,8.0,95,16
3B,1,p_based,8,760,0.3915246733308034,8.0,95,16
3B,1,auc_kappa_based,8,760,0.3980363090248927,8.0,95,16
3B,1,moment_law,8,760,0.4006505659301907,5.315789473684211,95,16
3B,1,oracle,8,760,0.4670868229618069,8.0,95,16
3B,1,uniform,16,1520,0.40333584651194465,16.0,95,16
3B,1,p_based,16,1520,0.40213145709628995,16.0,95,16
3B,1,auc_kappa_based,16,1520,0.40263564438056726,13.631578947368421,95,16
3B,1,moment_law,16,1520,0.4006505659301907,5.315789473684211,95,16
3B,1,oracle,16,1520,0.467244374129511,10.368421052631579,95,16
