model,seed,policy,mean_budget,total_budget,accuracy,mean_allocated_samples,num_problems,pilot_k
3B,1,uniform,32,3040,0.41441681834943145,32.0,95,16
3B,1,p_based,32,3040,0.4164139340898765,20.126315789473683,95,16
3B,1,auc_kappa_based,32,3040,0.40263564438056726,13.631578947368421,95,16
3B,1,moment_law,32,3040,0.4006505659301907,5.315789473684211,95,16
3B,1,oracle,32,3040,0.467244374129511,10.368421052631579,95,16
3B,2,uniform,1,95,0.38092105263157894,1.0,95,16
3B,2,p_based,1,95,0.38092105263157894,1.0,95,16
3B,2,auc_kappa_based,1,95,0.38092105263157894,1.0,95,16
3B,2,moment_law,1,95,0.38092105263157894,1.0,95,16
3B,2,oracle,1,95,0.38092105263157894,1.0,95,16
3B,2,uniform,2,190,0.39732730263157895,2.0,95,16
3B,2,p_based,2,190,0.4000641371074476,2.0,95,16
3B,2,auc_kappa_based,2,190,0.3919425641918194,2.0,95,16
3B,2,moment_law,2,190,0.3939308226107405,2.0,95,16
3B,2,oracle,2,190,0.4243052181489379,2.0,95,16
3B,2,uniform,4,380,0.40741918463456,4.0,95,16
3B,2,p_based,4,380,0.401969295189474,4.0,95,16
3B,2,auc_kappa_based,4,380,0.3988121029838749,4.0,95,16
3B,2,moment_law,4,380,0.39628425177015025,4.0,95,16
3B,2,oracle,4,380,0.454448530749512,4.0,95,16
3B,2,uniform,8,760,0.412894541180063,8.0,95,16
3B,2,p_based,8,760,0.40492142291048105,8.0,95,16
3B,2,auc_kappa_based,8,760,0.40398399444179467,8.0,95,16
3B,2,moment_law,8,760,0.3986441560311899,5.6,95,16
3B,2,oracle,8,760,0.47273026141435415,8.0,95,16
3B,2,uniform,16,1520,0.41346312414037983,16.0,95,16
3B,2,p_based,16,1520,0.40526556958576954,16.0,95,16
3B,2,auc_kappa_based,16,1520,0.39847980200127225,11.526315789473685,95,16
3B,2,moment_law,16,1520,0.3986441560311899,5.6,95,16
3B,2,oracle,16,1520,0.4728805157539199,10.326315789473684,95,16
3B,2,uniform,32,3040,0.41291023548458444,32.0,95,16
3B,2,p_based,32,3040,0.40943420255411644,20.273684210526316,95,16
3B,2,auc_kappa_based,32,3040,0.39847980200127225,11.526315789473685,95,16
3B,2,moment_law,32,3040,0.3986441560311899,5.6,95,16
3B,2,oracle,32,3040,0.4728805157539199,10.326315789473684,95,16
3B,3,uniform,1,95,0.37532894736842104,1.0,95,16
3B,3,p_based,1,95,0.37532894736842104,1.0,95,16
3B,3,auc_kappa_based,1,95,0.37532894736842104,1.0,95,16
3B,3,moment_law,1,95,0.37532894736842104,1.0,95,16
3B,3,oracle,1,95,0.37532894736842104,1.0,95,16
3B,3,uniform,2,190,0.3942537006578947,2.0,95,16
3B,3,p_based,2,190,0.394101966054816,2.0,95,16
3B,3,auc_kappa_based,2,190,0.3922743699482357,2.0,95,16
3B,3,moment_law,2,190,0.38563404662205747,2.0,95,16
3B,3,oracle,2,190,0.42318856861286963,2.0,95,16
3B,3,uniform,4,380,0.40303863726164163,4.0,95,16
3B,3,p_based,4,380,0.4012949038109576,4.0,95,16
3B,3,auc_kappa_based,4,380,0.3999246904024698,4.0,95,16
3B,3,moment_law,4,380,0.4002277368037321,4.0,95,16
3B,3,oracle,4,380,0.45664530593562674,4.0,95,16
3B,3,uniform,8,760,0.4097129427439301,8.0,95,16
3B,3,p_based,8,760,0.4110128746701674,8.0,95,16
3B,3,auc_kappa_based,8,760,0.4053434572578892,8.0,95,16
3B,3,moment_law,8,760,0.40616940006368263,5.71578947368421,95,16
3B,3,oracle,8,760,0.47859343912755187,8.0,95,16
3B,3,uniform,16,1520,0.4202220908598795,16.0,95,16
3B,3,p_based,16,1520,0.4262825917465569,16.0,95,16
3B,3,auc_kappa_based,16,1520,0.41120715062694385,11.494736842105263,95,16
3B,3,moment_law,16,1520,0.40616940006368263,5.71578947368421,95,16
3B,3,oracle,16,1520,0.47871377257978964,10.052631578947368,95,16
3B,3,uniform,32,3040,0.43552393769627273,32.0,95,16
3B,3,p_based,32,3040,0.43284325337206797,21.2,95,16
3B,3,auc_kappa_based,32,3040,0.41120715062694385,11.494736842105263,95,16
3B,3,moment_law,32,3040,0.40616940006368263,5.71578947368421,95,16
3B,3,oracle,32,3040,0.47871377257978964,10.052631578947368,95,16
3B,4,uniform,1,95,0.3805921052631579,1.0,95,16
3B,4,p_based,1,95,0.3805921052631579,1.0,95,16
3B,4,auc_kappa_based,1,95,0.3805921052631579,1.0,95,16
3B,4,moment_law,1,95,0.3805921052631579,1.0,95,16
3B,4,oracle,1,95,0.3805921052631579,1.0,95,16
3B,4,uniform,2,190,0.39690583881578945,2.0,95,16
3B,4,p_based,2,190,0.39811920366789166,2.0,95,16
3B,4,auc_kappa_based,2,190,0.39913978931909744,2.0,95,16
3B,4,moment_law,2,190,0.3960792403430487,2.0,95,16
3B,4,oracle,2,190,0.42716781024568984,2.0,95,16
3B,4,uniform,4,380,0.4042200891595138,4.0,95,16
3B,4,p_based,4,380,0.4047861076465257,4.0,95,16
3B,4,auc_kappa_based,4,380,0.39841624261811714,4.0,95,16
3B,4,moment_law,4,380,0.3956077355751253,4.0,95,16
3B,4,oracle,4,380,0.4556673454592711,4.0,95,16
3B,4,uniform,8,760,0.4062931059807517,8.0,95,16
3B,4,p_based,8,760,0.4067024938655481,8.0,95,16
3B,4,auc_kappa_based,8,760,0.39277191612462564,8.0,95,16
3B,4,moment_law,8,760,0.39754113672733515,5.11578947368421,95,16
3B,4,oracle,8,760,0.4845783063732619,8.0,95,16
3B,4,uniform,16,1520,0.40806557576955077,16.0,95,16
3B,4,p_based,16,1520,0.4146153344162423,16.0,95,16
3B,4,auc_kappa_based,16,1520,0.3909595856647818,12.305263157894737,95,16
3B,4,moment_law,16,1520,0.39754113672733515,5.11578947368421,95,16
3B,4,oracle,16,1520,0.4849527701742756,10.810526315789474,95,16
3B,4,uniform,32,3040,0.4170674073367919,32.0,95,16
3B,4,p_based,32,3040,0.41767605579758177,19.821052631578947,95,16
3B,4,auc_kappa_based,32,3040,0.3909595856647818,12.305263157894737,95,16
3B,4,moment_law,32,3040,0.39754113672733515,5.11578947368421,95,16
3B,4,oracle,32,3040,0.4849527701742756,10.810526315789474,95,16
3B,5,uniform,1,95,0.3763157894736842,1.0,95,16
3B,5,p_based,1,95,0.3763157894736842,1.0,95,16
3B,5,auc_kappa_based,1,95,0.3763157894736842,1.0,95,16
3B,5,moment_law,1,95,0.3763157894736842,1.0,95,16
3B,5,oracle,1,95,0.3763157894736842,1.0,95,16
3B,5,uniform,2,190,0.39502467105263156,2.0,95,16
3B,5,p_based,2,190,0.4002356579429225,2.0,95,16
3B,5,auc_kappa_based,2,190,0.39677440166656647,2.0,95,16
3B,5,moment_law,2,190,0.3985175712893635,2.0,95,16
3B,5,oracle,2,190,0.4225979284407524,2.0,95,16
3B,5,uniform,4,380,0.4083029496042352,4.0,95,16
3B,5,p_based,4,380,0.4095730128201642,4.0,95,16
3B,5,auc_kappa_based,4,380,0.41127087104227333,4.0,95,16
3B,5,moment_law,4,380,0.4119509980360213,4.0,95,16
3B,5,oracle,4,380,0.45190688730487105,4.0,95,16
3B,5,uniform,8,760,0.41780637046896646,8.0,95,16
3B,5,p_based,8,760,0.4121885204168403,8.0,95,16
3B,5,auc_kappa_based,8,760,0.4246188424992421,8.0,95,16
3B,5,moment_law,8,760,0.4126997505000693,4.273684210526316,95,16
3B,5,oracle,8,760,0.47303104316041394,8.0,95,16
3B,5,uniform,16,1520,0.42086473612585124,16.0,95,16
3B,5,p_based,16,1520,0.4216404591947568,16.0,95,16
3B,5,auc_kappa_based,16,1520,0.42608413569729114,11.08421052631579,95,16
3B,5,moment_law,16,1520,0.4126997505000693,4.273684210526316,95,16
3B,5,oracle,16,1520,0.47388688307113647,10.978947368421053,95,16
3B,5,uniform,32,3040,0.42159880895156254,32.0,95,16
3B,5,p_based,32,3040,0.4247732336787745,18.83157894736842,95,16
3B,5,auc_kappa_based,32,3040,0.42608413569729114,11.08421052631579,95,16
3B,5,moment_law,32,3040,0.4126997505000693,4.273684210526316,95,16
3B,5,oracle,32,3040,0.47388688307113647,10.978947368421053,95,16
3B,6,uniform,1,95,0.37335526315789475,1.0,95,16
3B,6,p_based,1,95,0.37335526315789475,1.0,95,16
3B,6,auc_kappa_based,1,95,0.37335526315789475,1.0,95,16
3B,6,moment_law,1,95,0.37335526315789475,1.0,95,16
3B,6,oracle,1,95,0.37335526315789475,1.0,95,16
3B,6,uniform,2,190,0.38746916118421054,2.0,95,16
3B,6,p_based,2,190,0.3911061839053505,2.0,95,16
3B,6,auc_kappa_based,2,190,0.3931338137217895,2.0,95,16
3B,6,moment_law,2,190,0.3941745779104982,2.0,95,16
3B,6,oracle,2,190,0.4142196091238095,2.0,95,16
3B,6,uniform,4,380,0.39533435419986124,4.0,95,16
3B,6,p_based,4,380,0.3956970801960969,4.0,95,16
3B,6,auc_kappa_based,4,380,0.3991548029492689,4.0,95,16
3B,6,moment_law,4,380,0.405628754958034,4.0,95,16
3B,6,oracle,4,380,0.4400474509204044,4.0,95,16
3B,6,uniform,8,760,0.39690841113579634,8.0,95,16
3B,6,p_based,8,760,0.3958036365352739,8.0,95,16
3B,6,auc_kappa_based,8,760,0.40116588353382376,8.0,95,16
3B,6,moment_law,8,760,0.4106780546287429,6.073684210526316,95,16
3B,6,oracle,8,760,0.45694197052054203,8.0,95,16
3B,6,uniform,16,1520,0.3940137882263134,16.0,95,16
3B,6,p_based,16,1520,0.39421962912485203,16.0,95,16
3B,6,auc_kappa_based,16,1520,0.4055100483437878,14.052631578947368,95,16
3B,6,moment_law,16,1520,0.4106780546287429,6.073684210526316,95,16
3B,6,oracle,16,1520,0.4569454494319808,9.010526315789473,95,16
3B,6,uniform,32,3040,0.3955319895200181,32.0,95,16
3B,6,p_based,32,3040,0.3959000068057829,20.147368421052633,95,16
3B,6,auc_kappa_based,32,3040,0.4055100483437878,14.052631578947368,95,16
3B,6,moment_law,32,3040,0.4106780546287429,6.073684210526316,95,16
3B,6,oracle,32,3040,0.4569454494319808,9.010526315789473,95,16
3B,7,uniform,1,95,0.37796052631578947,1.0,95,16
3B,7,p_based,1,95,0.37796052631578947,1.0,95,16
3B,7,auc_kappa_based,1,95,0.37796052631578947,1.0,95,16
3B,7,moment_law,1,95,0.37796052631578947,1.0,95,16
3B,7,oracle,1,95,0.37796052631578947,1.0,95,16
3B,7,uniform,2,190,0.3942537006578947,2.0,95,16
3B,7,p_based,2,190,0.3964739146985506,2.0,95,16
3B,7,auc_kappa_based,2,190,0.39281219595418015,2.0,95,16
3B,7,moment_law,2,190,0.3933538611039269,2.0,95,16
3B,7,oracle,2,190,0.4195224098927157,2.0,95,16
3B,7,uniform,4,380,0.39927485616583575,4.0,95,16
3B,7,p_based,4,380,0.39565864747506374,4.0,95,16
3B,7,auc_kappa_based,4,380,0.394115673576139,4.0,95,16
3B,7,moment_law,4,380,0.40008904576639176,4.0,95,16
3B,7,oracle,4,380,0.44254386314117383,4.0,95,16
3B,7,uniform,8,760,0.3997026377762411,8.0,95,16
3B,7,p_based,8,760,0.39412641891213646,8.0,95,16
3B,7,auc_kappa_based,8,760,0.3968740393905704,8.0,95,16
3B,7,moment_law,8,760,0.4049459839484547,5.5473684210526315,95,16
3B,7,oracle,8,760,0.45664714540821477,8.0,95,16
3B,7,uniform,16,1520,0.40177346593518976,16.0,95,16
3B,7,p_based,16,1520,0.4081043470249017,16.0,95,16
3B,7,auc_kappa_based,16,1520,0.3983733648171087,12.621052631578948,95,16
3B,7,moment_law,16,1520,0.4049459839484547,5.5473684210526315,95,16
3B,7,oracle,16,1520,0.45664774436401595,9.2,95,16
3B,7,uniform,32,3040,0.41201614851147883,32.0,95,16
3B,7,p_based,32,3040,0.4159190586264091,19.8,95,16
3B,7,auc_kappa_based,32,3040,0.3983733648171087,12.621052631578948,95,16
3B,7,moment_law,32,3040,0.4049459839484547,5.5473684210526315,95,16
3B,7,oracle,32,3040,0.45664774436401595,9.2,95,16
3B,8,uniform,1,95,0.3832236842105263,1.0,95,16
3B,8,p_based,1,95,0.3832236842105263,1.0,95,16
3B,8,auc_kappa_based,1,95,0.3832236842105263,1.0,95,16
3B,8,moment_law,1,95,0.3832236842105263,1.0,95,16
3B,8,oracle,1,95,0.3832236842105263,1.0,95,16
3B,8,uniform,2,190,0.3999486019736842,2.0,95,16
3B,8,p_based,2,190,0.40046676836515727,2.0,95,16
3B,8,auc_kappa_based,2,190,0.405106113081806,2.0,95,16
3B,8,moment_law,2,190,0.40939834740971726,2.0,95,16
3B,8,oracle,2,190,0.4265737410150276,2.0,95,16
3B,8,uniform,4,380,0.40796274887888057,4.0,95,16
3B,8,p_based,4,380,0.40564479164130823,4.0,95,16
3B,8,auc_kappa_based,4,380,0.418987460587275,4.0,95,16
3B,8,moment_law,4,380,0.4273134589687885,4.0,95,16
3B,8,oracle,4,380,0.4541444887846157,4.0,95,16
3B,8,uniform,8,760,0.4137775610048553,8.0,95,16
3B,8,p_based,8,760,0.41042977504427264,8.0,95,16
3B,8,auc_kappa_based,8,760,0.43093356706109603,8.0,95,16
3B,8,moment_law,8,760,0.42857107886136686,4.673684210526316,95,16
3B,8,oracle,8,760,0.4782297587572792,8.0,95,16
3B,8,uniform,16,1520,0.42283781709754015,16.0,95,16
3B,8,p_based,16,1520,0.4283488351389322,16.0,95,16
3B,8,auc_kappa_based,16,1520,0.4357487523813478,13.021052631578947,95,16
3B,8,moment_law,16,1520,0.42857107886136686,4.673684210526316,95,16
3B,8,oracle,16,1520,0.4808894241815896,11.021052631578947,95,16
3B,8,uniform,32,3040,0.4416142184921529,32.0,95,16
3B,8,p_based,32,3040,0.44067678685328326,20.242105263157896,95,16
3B,8,auc_kappa_based,32,3040,0.4357487523813478,13.021052631578947,95,16
3B,8,moment_law,32,3040,0.42857107886136686,4.673684210526316,95,16
3B,8,oracle,32,3040,0.4808894241815896,11.021052631578947,95,16
3B,9,uniform,1,95,0.3838815789473684,1.0,95,16
3B,9,p_based,1,95,0.3838815789473684,1.0,95,16
3B,9,auc_kappa_based,1,95,0.3838815789473684,1.0,95,16
3B,9,moment_law,1,95,0.3838815789473684,1.0,95,16
3B,9,oracle,1,95,0.3838815789473684,1.0,95,16
3B,9,uniform,2,190,0.40414268092105265,2.0,95,16
3B,9,p_based,2,190,0.40580043792724607,2.0,95,16
3B,9,auc_kappa_based,2,190,0.4036988534048616,2.0,95,16
3B,9,moment_law,2,190,0.40345734177798637,2.0,95,16
3B,9,oracle,2,190,0.4280186480611165,2.0,95,16
3B,9,uniform,4,380,0.41274433135986327,4.0,95,16
3B,9,p_based,4,380,0.40911532417003654,4.0,95,16
3B,9,auc_kappa_based,4,380,0.4087320357468263,4.0,95,16
3B,9,moment_law,4,380,0.4050228819923365,4.0,95,16
3B,9,oracle,4,380,0.4535524838388476,4.0,95,16
3B,9,uniform,8,760,0.411302621891953,8.0,95,16
3B,9,p_based,8,760,0.40795811729268094,8.0,95,16
3B,9,auc_kappa_based,8,760,0.4090949130060233,8.0,95,16
3B,9,moment_law,8,760,0.4079251343184534,4.7368421052631575,95,16
3B,9,oracle,8,760,0.4759013278889742,8.0,95,16
3B,9,uniform,16,1520,0.40256660852818227,16.0,95,16
3B,9,p_based,16,1520,0.4044327414718363,16.0,95,16
3B,9,auc_kappa_based,16,1520,0.4087233816912251,11.284210526315789,95,16
3B,9,moment_law,16,1520,0.4079251343184534,4.7368421052631575,95,16
3B,9,oracle,16,1520,0.475939659105148,9.873684210526315,95,16
3B,9,uniform,32,3040,0.3951610158421652,32.0,95,16
3B,9,p_based,32,3040,0.40424945431422565,19.86315789473684,95,16
3B,9,auc_kappa_based,32,3040,0.4087233816912251,11.284210526315789,95,16
3B,9,moment_law,32,3040,0.4079251343184534,4.7368421052631575,95,16
3B,9,oracle,32,3040,0.475939659105148,9.873684210526315,95,16
3B,10,uniform,1,95,0.3796052631578947,1.0,95,16
3B,10,p_based,1,95,0.3796052631578947,1.0,95,16
3B,10,auc_kappa_based,1,95,0.3796052631578947,1.0,95,16
3B,10,moment_law,1,95,0.3796052631578947,1.0,95,16
3B,10,oracle,1,95,0.3796052631578947,1.0,95,16
3B,10,uniform,2,190,0.39757401315789476,2.0,95,16
3B,10,p_based,2,190,0.3989552146510074,2.0,95,16
3B,10,auc_kappa_based,2,190,0.3969741391545253,2.0,95,16
3B,10,moment_law,2,190,0.4009263122155425,2.0,95,16
3B,10,oracle,2,190,0.42536648661118015,2.0,95,16
3B,10,uniform,4,380,0.40610347547029196,4.0,95,16
3B,10,p_based,4,380,0.4078124259562336,4.0,95,16
3B,10,auc_kappa_based,4,380,0.40179968704647195,4.0,95,16
3B,10,moment_law,4,380,0.40621636487527596,4.0,95,16
3B,10,oracle,4,380,0.45381616899201355,4.0,95,16
3B,10,uniform,8,760,0.41240697758816836,8.0,95,16
3B,10,p_based,8,760,0.41350422181025687,8.0,95,16
3B,10,auc_kappa_based,8,760,0.40095995107015625,8.0,95,16
3B,10,moment_law,8,760,0.40742664411775126,4.705263157894737,95,16
3B,10,oracle,8,760,0.47106096985697793,8.0,95,16
3B,10,uniform,16,1520,0.4182696283722224,16.0,95,16
3B,10,p_based,16,1520,0.42525100987748765,16.0,95,16
3B,10,auc_kappa_based,16,1520,0.3985906356225512,11.642105263157895,95,16
3B,10,moment_law,16,1520,0.40742664411775126,4.705263157894737,95,16
3B,10,oracle,16,1520,0.4710772468320583,9.873684210526315,95,16
3B,10,uniform,32,3040,0.42739584135710523,32.0,95,16
3B,10,p_based,32,3040,0.43024195708640023,19.873684210526317,95,16
3B,10,auc_kappa_based,32,3040,0.3985906356225512,11.642105263157895,95,16
3B,10,moment_law,32,3040,0.40742664411775126,4.705263157894737,95,16
3B,10,oracle,32,3040,0.4710772468320583,9.873684210526315,95,16
3B,11,uniform,1,95,0.38223684210526315,1.0,95,16
3B,11,p_based,1,95,0.38223684210526315,1.0,95,16
3B,11,auc_kappa_based,1,95,0.38223684210526315,1.0,95,16
3B,11,moment_law,1,95,0.38223684210526315,1.0,95,16
3B,11,oracle,1,95,0.38223684210526315,1.0,95,16
3B,11,uniform,2,190,0.40034950657894736,2.0,95,16
3B,11,p_based,2,190,0.404020178945441,2.0,95,16
3B,11,auc_kappa_based,2,190,0.39902267349517107,2.0,95,16
3B,11,moment_law,2,190,0.3970732099657961,2.0,95,16
3B,11,oracle,2,190,0.42945611042635123,2.0,95,16
3B,11,uniform,4,380,0.4108359688206723,4.0,95,16
3B,11,p_based,4,380,0.40870421084377007,4.0,95,16
3B,11,auc_kappa_based,4,380,0.4036538908041302,4.0,95,16
3B,11,moment_law,4,380,0.410306226474983,4.0,95,16
3B,11,oracle,4,380,0.45781908526533566,4.0,95,16
3B,11,uniform,8,760,0.4181793389881549,8.0,95,16
3B,11,p_based,8,760,0.41320225269859184,8.0,95,16
3B,11,auc_kappa_based,8,760,0.4066741763373986,8.0,95,16
3B,11,moment_law,8,760,0.41308962992740955,4.926315789473684,95,16
3B,11,oracle,8,760,0.48076961857050615,8.0,95,16
3B,11,uniform,16,1520,0.42233931445502365,16.0,95,16
3B,11,p_based,16,1520,0.4252795962250173,16.0,95,16
3B,11,auc_kappa_based,16,1520,0.41001875943604255,11.894736842105264,95,16
3B,11,moment_law,16,1520,0.41308962992740955,4.926315789473684,95,16
3B,11,oracle,16,1520,0.4810522558508253,11.010526315789473,95,16
3B,11,uniform,32,3040,0.42848634308609446,32.0,95,16
3B,11,p_based,32,3040,0.427670560102561,20.91578947368421,95,16
3B,11,auc_kappa_based,32,3040,0.41001875943604255,11.894736842105264,95,16
3B,11,moment_law,32,3040,0.41308962992740955,4.926315789473684,95,16
3B,11,oracle,32,3040,0.4810522558508253,11.010526315789473,95,16
3B,12,uniform,1,95,0.3773026315789474,1.0,95,16
3B,12,p_based,1,95,0.3773026315789474,1.0,95,16
3B,12,auc_kappa_based,1,95,0.3773026315789474,1.0,95,16
3B,12,moment_law,1,95,0.3773026315789474,1.0,95,16
3B,12,oracle,1,95,0.3773026315789474,1.0,95,16
3B,12,uniform,2,190,0.39437705592105265,2.0,95,16
3B,12,p_based,2,190,0.39795311375668174,2.0,95,16
3B,12,auc_kappa_based,2,190,0.3932698298197441,2.0,95,16
3B,12,moment_law,2,190,0.39675382597481834,2.0,95,16
3B,12,oracle,2,190,0.4231228812644186,2.0,95,16
3B,12,uniform,4,380,0.40145525681345084,4.0,95,16
3B,12,p_based,4,380,0.40128232702693517,4.0,95,16
3B,12,auc_kappa_based,4,380,0.40012450325034477,4.0,95,16
3B,12,moment_law,4,380,0.40725547909139054,4.0,95,16
3B,12,oracle,4,380,0.4512237544600202,4.0,95,16
3B,12,uniform,8,760,0.4060795404631694,8.0,95,16
3B,12,p_based,8,760,0.4062090375375458,8.0,95,16
3B,12,auc_kappa_based,8,760,0.40248402323997357,8.0,95,16
3B,12,moment_law,8,760,0.4095047493514671,5.610526315789474,95,16
3B,12,oracle,8,760,0.4707415289486693,8.0,95,16
3B,12,uniform,16,1520,0.4076075959775312,16.0,95,16
3B,12,p_based,16,1520,0.41209362555825657,16.0,95,16
3B,12,auc_kappa_based,16,1520,0.4037998150283869,11.652631578947368,95,16
3B,12,moment_law,16,1520,0.4095047493514671,5.610526315789474,95,16
3B,12,oracle,16,1520,0.47075185976730377,9.652631578947368,95,16
3B,12,uniform,32,3040,0.40560871956438577,32.0,95,16
3B,12,p_based,32,3040,0.4120374666475442,19.905263157894737,95,16
3B,12,auc_kappa_based,32,3040,0.4037998150283869,11.652631578947368,95,16
3B,12,moment_law,32,3040,0.4095047493514671,5.610526315789474,95,16
3B,12,oracle,32,3040,0.47075185976730377,9.652631578947368,95,16
3B,13,uniform,1,95,0.37894736842105264,1.0,95,16
3B,13,p_based,1,95,0.37894736842105264,1.0,95,16
3B,13,auc_kappa_based,1,95,0.37894736842105264,1.0,95,16
3B,13,moment_law,1,95,0.37894736842105264,1.0,95,16
3B,13,oracle,1,95,0.37894736842105264,1.0,95,16
3B,13,uniform,2,190,0.38984375,2.0,95,16
3B,13,p_based,2,190,0.39223587638453433,2.0,95,16
3B,13,auc_kappa_based,2,190,0.39515396046917883,2.0,95,16
3B,13,moment_law,2,190,0.39233199211215614,2.0,95,16
3B,13,oracle,2,190,0.41893018877347543,2.0,95,16
3B,13,uniform,4,380,0.3929494355854235,4.0,95,16
3B,13,p_based,4,380,0.3905588010932045,4.0,95,16
3B,13,auc_kappa_based,4,380,0.40409712368047074,4.0,95,16
3B,13,moment_law,4,380,0.4000774221017871,4.0,95,16
3B,13,oracle,4,380,0.44313367582060886,4.0,95,16
3B,13,uniform,8,760,0.39660947211266734,8.0,95,16
3B,13,p_based,8,760,0.39095593320385497,8.0,95,16
3B,13,auc_kappa_based,8,760,0.4104236955666987,8.0,95,16
3B,13,moment_law,8,760,0.40478082694755385,6.105263157894737,95,16
3B,13,oracle,8,760,0.46386286087004924,8.0,95,16
3B,13,uniform,16,1520,0.4028598844830061,16.0,95,16
3B,13,p_based,16,1520,0.4067384505664578,16.0,95,16
3B,13,auc_kappa_based,16,1520,0.4089123555535929,13.978947368421053,95,16
3B,13,moment_law,16,1520,0.40478082694755385,6.105263157894737,95,16
3B,13,oracle,16,1520,0.4638694639472143,8.989473684210527,95,16
3B,13,uniform,32,3040,0.41650838875074264,32.0,95,16
3B,13,p_based,32,3040,0.41674318942150884,20.410526315789475,95,16
3B,13,auc_kappa_based,32,3040,0.4089123555535929,13.978947368421053,95,16
3B,13,moment_law,32,3040,0.40478082694755385,6.105263157894737,95,16
3B,13,oracle,32,3040,0.4638694639472143,8.989473684210527,95,16
3B,14,uniform,1,95,0.37796052631578947,1.0,95,16
3B,14,p_based,1,95,0.37796052631578947,1.0,95,16
3B,14,auc_kappa_based,1,95,0.37796052631578947,1.0,95,16
3B,14,moment_law,1,95,0.37796052631578947,1.0,95,16
3B,14,oracle,1,95,0.37796052631578947,1.0,95,16
3B,14,uniform,2,190,0.3960423519736842,2.0,95,16
3B,14,p_based,2,190,0.3938947878385845,2.0,95,16
3B,14,auc_kappa_based,2,190,0.39876872362034,2.0,95,16
