problem_idx,p,kappa,n_correct,n_incorrect,level,type
0,1.0,,48,0,2,
3,1.0,,48,0,3,
2,1.0,,48,0,3,
1,1.0,,48,0,5,
4,1.0,,48,0,2,
6,1.0,,48,0,3,
5,0.6666666666666666,0.626953125,32,16,2,
8,1.0,,48,0,3,
7,0.0,,0,48,4,
10,1.0,,48,0,3,
12,1.0,,48,0,5,
9,0.020833333333333332,0.5106382978723404,1,47,5,
13,0.8958333333333334,0.8093023255813954,43,5,2,
14,1.0,,48,0,1,
11,0.0,,0,48,5,
15,1.0,,48,0,5,
16,1.0,,48,0,1,
19,0.8958333333333334,0.5441860465116279,43,5,3,
20,0.041666666666666664,0.5760869565217391,2,46,3,
17,0.4375,0.5731922398589065,21,27,4,
22,1.0,,48,0,5,
21,0.5833333333333334,0.6535714285714286,28,20,3,
18,0.020833333333333332,0.23404255319148937,1,47,1,
24,1.0,,48,0,5,
23,0.0,,0,48,5,
25,0.2708333333333333,0.6571428571428571,13,35,5,
28,1.0,,48,0,2,
26,0.2708333333333333,0.6175824175824176,13,35,5,
27,0.5,0.4392361111111111,24,24,2,
29,1.0,,48,0,2,
30,1.0,,48,0,3,
31,0.0,,0,48,4,
32,0.9375,0.8888888888888888,45,3,4,
33,0.9583333333333334,0.8913043478260869,46,2,4,
34,0.9583333333333334,0.7608695652173914,46,2,4,
35,1.0,,48,0,2,
37,0.6875,0.5575757575757576,33,15,3,
36,0.0,,0,48,2,
39,1.0,,48,0,3,
38,0.4791666666666667,0.4121739130434783,23,25,1,
40,0.1875,0.09401709401709402,9,39,2,
42,1.0,,48,0,2,
41,0.6875,0.7272727272727273,33,15,4,
43,0.0,,0,48,5,
44,1.0,,48,0,5,
45,1.0,,48,0,3,
46,0.4166666666666667,0.5857142857142857,20,28,2,
48,1.0,,48,0,2,
49,1.0,,48,0,4,
50,0.9791666666666666,0.723404255319149,47,1,5,
52,1.0,,48,0,5,
51,1.0,,48,0,2,
47,1.0,,48,0,5,
54,1.0,,48,0,2,
53,1.0,,48,0,2,
55,0.9791666666666666,0.723404255319149,47,1,4,
56,1.0,,48,0,3,
57,1.0,,48,0,2,
58,1.0,,48,0,1,
59,1.0,,48,0,2,
60,0.020833333333333332,0.46808510638297873,1,47,5,
61,0.9375,0.8222222222222222,45,3,3,
62,0.7916666666666666,0.43157894736842106,38,10,5,
63,1.0,,48,0,5,
65,1.0,,48,0,1,
64,0.375,0.7018518518518518,18,30,4,
67,1.0,,48,0,4,
66,0.0,,0,48,3,
68,0.9583333333333334,0.8260869565217391,46,2,4,
70,1.0,,48,0,2,
69,1.0,,48,0,4,
71,0.7291666666666666,0.5186813186813187,35,13,4,
72,1.0,,48,0,2,
74,1.0,,48,0,2,
73,0.4375,0.656084656084656,21,27,4,
75,1.0,,48,0,4,
77,1.0,,48,0,1,
76,1.0,,48,0,2,
79,1.0,,48,0,1,
78,1.0,,48,0,4,
81,0.9583333333333334,0.6847826086956522,46,2,3,
80,0.0,,0,48,5,
82,0.9791666666666666,0.1276595744680851,47,1,5,
83,0.875,0.5436507936507936,42,6,2,
84,0.9791666666666666,0.8936170212765957,47,1,4,
86,1.0,,48,0,1,
85,1.0,,48,0,4,
87,1.0,,48,0,1,
89,0.9791666666666666,0.9574468085106383,47,1,4,
91,1.0,,48,0,3,
90,0.9791666666666666,0.9361702127659575,47,1,3,
93,1.0,,48,0,4,
92,1.0,,48,0,4,
94,0.22916666666666666,0.628992628992629,11,37,5,
95,1.0,,48,0,2,
88,0.25,0.6666666666666666,12,36,5,
97,0.9791666666666666,0.8936170212765957,47,1,1,
96,0.0,,0,48,5,
98,0.0,,0,48,2,
99,0.0,,0,48,3,
100,0.0,,0,48,5,
101,0.125,0.5833333333333334,6,42,5,
102,0.125,0.2857142857142857,6,42,1,
105,1.0,,48,0,3,
103,0.0,,0,48,5,
104,0.0,,0,48,4,
106,0.0,,0,48,2,
107,1.0,,48,0,2,
108,0.5,0.7447916666666666,24,24,3,
109,0.7083333333333334,0.4222689075630252,34,14,5,
