problem_idx,p,kappa,n_correct,n_incorrect,level,type
3,1.0,,48,0,3,
2,1.0,,48,0,3,
0,0.8541666666666666,0.4355400696864111,41,7,2,
5,1.0,,48,0,2,
4,1.0,,48,0,2,
1,0.8958333333333334,0.5441860465116279,43,5,5,
6,1.0,,48,0,3,
8,1.0,,48,0,3,
10,0.5833333333333334,0.6053571428571428,28,20,3,
7,0.0625,0.17777777777777778,3,45,4,
9,0.0,,0,48,5,
12,1.0,,48,0,5,
13,0.9583333333333334,0.6630434782608695,46,2,2,
14,1.0,,48,0,1,
16,1.0,,48,0,1,
11,0.0,,0,48,5,
15,0.020833333333333332,0.02127659574468085,1,47,5,
17,0.14583333333333334,0.4146341463414634,7,41,4,
20,0.9791666666666666,0.10638297872340426,47,1,3,
19,0.7083333333333334,0.47689075630252103,34,14,3,
22,0.9583333333333334,0.8804347826086957,46,2,5,
23,0.0,,0,48,5,
21,0.3333333333333333,0.30078125,16,32,3,
18,0.0,,0,48,1,
24,0.8958333333333334,0.786046511627907,43,5,5,
26,0.25,0.7384259259259259,12,36,5,
25,0.0,,0,48,5,
27,0.8125,0.43874643874643876,39,9,2,
28,0.125,0.43253968253968256,6,42,2,
29,1.0,,48,0,2,
30,1.0,,48,0,3,
31,0.0,,0,48,4,
32,0.6666666666666666,0.3984375,32,16,4,
33,1.0,,48,0,4,
34,1.0,,48,0,4,
35,1.0,,48,0,2,
36,0.125,0.373015873015873,6,42,2,
37,0.3333333333333333,0.5546875,16,32,3,
38,0.9583333333333334,0.7391304347826086,46,2,1,
39,1.0,,48,0,3,
40,0.0,,0,48,2,
42,1.0,,48,0,2,
41,0.2916666666666667,0.6176470588235294,14,34,4,
43,0.0,,0,48,5,
44,1.0,,48,0,5,
45,1.0,,48,0,3,
46,0.5,0.3993055555555556,24,24,2,
48,1.0,,48,0,2,
49,1.0,,48,0,4,
47,1.0,,48,0,5,
50,0.4583333333333333,0.4562937062937063,22,26,5,
52,1.0,,48,0,5,
53,1.0,,48,0,2,
51,0.4375,0.6807760141093474,21,27,2,
56,1.0,,48,0,3,
54,1.0,,48,0,2,
55,1.0,,48,0,4,
57,1.0,,48,0,2,
58,1.0,,48,0,1,
59,1.0,,48,0,2,
61,0.3541666666666667,0.22580645161290322,17,31,3,
60,0.020833333333333332,0.6595744680851063,1,47,5,
62,0.8958333333333334,0.4558139534883721,43,5,5,
63,0.75,0.7291666666666666,36,12,5,
65,1.0,,48,0,1,
64,0.020833333333333332,0.8936170212765957,1,47,4,
67,1.0,,48,0,4,
66,0.3541666666666667,0.523719165085389,17,31,3,
68,0.3125,0.3111111111111111,15,33,4,
70,1.0,,48,0,2,
69,0.9375,0.43703703703703706,45,3,4,
71,0.8125,0.698005698005698,39,9,4,
72,1.0,,48,0,2,
73,0.4375,0.32275132275132273,21,27,4,
74,1.0,,48,0,2,
75,1.0,,48,0,4,
77,1.0,,48,0,1,
79,1.0,,48,0,1,
76,0.8333333333333334,0.51875,40,8,2,
78,0.8541666666666666,0.6445993031358885,41,7,4,
81,1.0,,48,0,3,
80,0.0,,0,48,5,
82,0.7916666666666666,0.3815789473684211,38,10,5,
83,0.4791666666666667,0.5565217391304348,23,25,2,
84,1.0,,48,0,4,
85,1.0,,48,0,4,
86,1.0,,48,0,1,
87,1.0,,48,0,1,
89,1.0,,48,0,4,
90,0.875,0.6746031746031746,42,6,3,
91,1.0,,48,0,3,
93,1.0,,48,0,4,
92,0.875,0.4801587301587302,42,6,4,
88,0.0,,0,48,5,
94,0.0,,0,48,5,
95,1.0,,48,0,2,
96,0.0,,0,48,5,
98,0.8333333333333334,0.45,40,8,2,
97,0.3125,0.46464646464646464,15,33,1,
99,0.0,,0,48,3,
102,1.0,,48,0,1,
100,0.0,,0,48,5,
101,0.0,,0,48,5,
103,0.0,,0,48,5,
105,1.0,,48,0,3,
104,0.0,,0,48,4,
107,1.0,,48,0,2,
106,0.0,,0,48,2,
111,1.0,,48,0,3,
108,0.08333333333333333,0.5113636363636364,4,44,3,
109,0.16666666666666666,0.56875,8,40,5,
110,0.0,,0,48,4,
113,1.0,,48,0,2,
112,1.0,,48,0,4,
114,1.0,,48,0,3,
115,1.0,,48,0,2,
116,1.0,,48,0,2,
117,1.0,,48,0,2,
118,0.8125,0.7236467236467237,39,9,5,
121,1.0,,48,0,2,
122,1.0,,48,0,3,
119,0.020833333333333332,0.5531914893617021,1,47,3,
120,0.4166666666666667,0.5821428571428572,20,28,2,
125,1.0,,48,0,4,
124,0.9791666666666666,0.6170212765957447,47,1,4,
123,0.22916666666666666,0.39803439803439805,11,37,4,
127,0.25,0.48148148148148145,12,36,3,
130,0.8958333333333334,0.4744186046511628,43,5,4,
129,0.7708333333333334,0.542997542997543,37,11,5,
126,0.020833333333333332,0.44680851063829785,1,47,4,
128,0.2916666666666667,0.3697478991596639,14,34,3,
132,1.0,,48,0,3,
131,1.0,,48,0,4,
133,0.9791666666666666,0.14893617021276595,47,1,3,
134,0.8958333333333334,0.9348837209302325,43,5,4,
135,0.9375,0.18518518518518517,45,3,5,
137,0.9583333333333334,0.4891304347826087,46,2,4,
136,0.0,,0,48,5,
138,0.0,,0,48,4,
140,1.0,,48,0,4,
139,0.5833333333333334,0.25357142857142856,28,20,3,
141,0.8125,0.26495726495726496,39,9,1,
142,0.6875,0.5070707070707071,33,15,5,
143,0.0,,0,48,3,
144,1.0,,48,0,1,
145,0.5,0.3263888888888889,24,24,5,
146,0.5416666666666666,0.6013986013986014,26,22,3,
148,1.0,,48,0,1,
149,1.0,,48,0,2,
151,0.9375,0.7703703703703704,45,3,5,
150,0.020833333333333332,0.425531914893617,1,47,5,
147,0.3541666666666667,0.269449715370019,17,31,5,
152,0.1875,0.46153846153846156,9,39,5,
153,0.5625,0.564373897707231,27,21,4,
155,0.22916666666666666,0.39803439803439805,11,37,4,
154,0.0,,0,48,5,
157,0.0,,0,48,2,
158,1.0,,48,0,4,
156,0.0,,0,48,3,
159,1.0,,48,0,4,
161,1.0,,48,0,2,
160,1.0,,48,0,2,
162,1.0,,48,0,5,
163,0.7916666666666666,0.8263157894736842,38,10,5,
165,1.0,,48,0,4,
164,0.20833333333333334,0.5342105263157895,10,38,2,
166,0.0,,0,48,5,
169,1.0,,48,0,2,
167,1.0,,48,0,1,
168,0.0,,0,48,5,
171,1.0,,48,0,1,
172,1.0,,48,0,1,
173,0.5625,0.4532627865961199,27,21,5,
170,0.020833333333333332,0.3617021276595745,1,47,5,
175,0.9791666666666666,0.8297872340425532,47,1,2,
174,1.0,,48,0,3,
176,0.8958333333333334,0.7069767441860465,43,5,3,
178,1.0,,48,0,2,
177,0.0,,0,48,3,
180,1.0,,48,0,3,
179,0.8333333333333334,0.43125,40,8,4,
182,1.0,,48,0,2,
181,0.375,0.5222222222222223,18,30,3,
183,0.875,0.6785714285714286,42,6,4,
185,1.0,,48,0,1,
184,0.0,,0,48,5,
186,1.0,,48,0,4,
187,1.0,,48,0,1,
190,1.0,,48,0,5,
188,0.5208333333333334,0.36,25,23,5,
189,0.0,,0,48,5,
191,1.0,,48,0,2,
192,1.0,,48,0,3,
195,0.9791666666666666,0.723404255319149,47,1,4,
193,0.4791666666666667,0.2782608695652174,23,25,3,
194,0.25,0.5949074074074074,12,36,5,
196,1.0,,48,0,1,
198,1.0,,48,0,3,
197,0.6875,0.6848484848484848,33,15,5,
199,1.0,,48,0,2,
200,0.8958333333333334,0.9069767441860465,43,5,4,
201,1.0,,48,0,4,
202,0.875,0.6587301587301587,42,6,5,
203,1.0,,48,0,3,
204,0.125,0.40476190476190477,6,42,5,
207,1.0,,48,0,2,
205,0.0,,0,48,3,
206,0.7291666666666666,0.8153846153846154,35,13,2,
208,1.0,,48,0,3,
209,1.0,,48,0,2,
211,1.0,,48,0,2,
210,0.2916666666666667,0.4054621848739496,14,34,4,
212,1.0,,48,0,3,
215,1.0,,48,0,4,
214,0.6041666666666666,0.4355716878402904,29,19,5,
216,1.0,,48,0,4,
213,0.7083333333333334,0.4222689075630252,34,14,4,
218,1.0,,48,0,2,
220,1.0,,48,0,5,
219,0.0,,0,48,4,
221,0.9166666666666666,0.7386363636363636,44,4,3,
217,0.10416666666666667,0.4511627906976744,5,43,4,
223,0.5416666666666666,0.38636363636363635,26,22,3,
224,0.4583333333333333,0.44405594405594406,22,26,4,
225,1.0,,48,0,3,
226,0.9583333333333334,0.7717391304347826,46,2,3,
227,1.0,,48,0,3,
222,0.0,,0,48,4,
229,1.0,,48,0,4,
228,0.0,,0,48,4,
230,0.6666666666666666,0.54296875,32,16,4,
231,1.0,,48,0,4,
232,0.041666666666666664,0.34782608695652173,2,46,5,
233,0.0625,0.7925925925925926,3,45,2,
234,1.0,,48,0,3,
235,0.0,,0,48,4,
236,0.08333333333333333,0.5340909090909091,4,44,4,
237,1.0,,48,0,1,
238,1.0,,48,0,5,
241,1.0,,48,0,5,
240,0.0,,0,48,4,
242,0.0,,0,48,5,
239,0.0,,0,48,5,
243,1.0,,48,0,2,
244,0.9791666666666666,0.02127659574468085,47,1,5,
245,0.5833333333333334,0.675,28,20,4,
246,1.0,,48,0,2,
247,1.0,,48,0,3,
250,1.0,,48,0,4,
248,0.2916666666666667,0.36764705882352944,14,34,4,
249,0.7916666666666666,0.7842105263157895,38,10,4,
251,0.7083333333333334,0.6029411764705882,34,14,5,
253,1.0,,48,0,3,
252,1.0,,48,0,5,
254,0.9791666666666666,0.48936170212765956,47,1,5,
256,1.0,,48,0,3,
255,0.9375,0.1925925925925926,45,3,2,
257,0.0,,0,48,4,
258,1.0,,48,0,3,
259,1.0,,48,0,1,
261,0.625,0.4962962962962963,30,18,3,
262,1.0,,48,0,1,
260,0.020833333333333332,0.574468085106383,1,47,3,
263,1.0,,48,0,4,
265,1.0,,48,0,2,
266,1.0,,48,0,3,
268,1.0,,48,0,1,
267,0.0,,0,48,1,
269,1.0,,48,0,3,
271,1.0,,48,0,4,
270,1.0,,48,0,1,
264,0.0,,0,48,5,
272,0.8541666666666666,0.5609756097560976,41,7,4,
273,0.9166666666666666,0.32386363636363635,44,4,4,
275,1.0,,48,0,2,
274,0.08333333333333333,0.4318181818181818,4,44,5,
276,0.9375,0.45185185185185184,45,3,5,
277,1.0,,48,0,4,
278,1.0,,48,0,3,
279,1.0,,48,0,5,
280,1.0,,48,0,4,
282,0.8958333333333334,0.4186046511627907,43,5,4,
281,0.0,,0,48,4,
283,1.0,,48,0,3,
284,0.0,,0,48,5,
287,0.625,0.5555555555555556,30,18,5,
285,0.0,,0,48,4,
286,0.0,,0,48,5,
288,0.8541666666666666,0.7317073170731707,41,7,5,
289,1.0,,48,0,3,
290,1.0,,48,0,3,
291,1.0,,48,0,4,
293,0.7916666666666666,0.49473684210526314,38,10,5,
292,0.020833333333333332,0.5531914893617021,1,47,4,
294,0.9375,0.7407407407407407,45,3,4,
295,0.2708333333333333,0.1978021978021978,13,35,3,
297,1.0,,48,0,4,
298,0.14583333333333334,0.4146341463414634,7,41,4,
296,0.3958333333333333,0.47368421052631576,19,29,2,
299,1.0,,48,0,4,
300,0.9375,0.3111111111111111,45,3,4,
301,0.0,,0,48,5,
302,0.3333333333333333,0.474609375,16,32,4,
304,1.0,,48,0,3,
303,0.0,,0,48,5,
305,0.0,,0,48,4,
306,0.0,,0,48,5,
307,0.9583333333333334,0.32608695652173914,46,2,2,
308,0.0,,0,48,5,
310,1.0,,48,0,2,
309,0.14583333333333334,0.6898954703832753,7,41,3,
311,1.0,,48,0,4,
312,1.0,,48,0,1,
313,0.5,0.4097222222222222,24,24,5,
315,1.0,,48,0,4,
316,1.0,,48,0,2,
314,1.0,,48,0,2,
318,0.3541666666666667,0.603415559772296,17,31,2,
319,1.0,,48,0,3,
317,0.7916666666666666,0.20789473684210527,38,10,5,
320,0.3125,0.4686868686868687,15,33,5,
321,0.7291666666666666,0.578021978021978,35,13,5,
322,1.0,,48,0,3,
323,0.22916666666666666,0.35872235872235875,11,37,5,
325,1.0,,48,0,2,
326,0.8125,0.4045584045584046,39,9,2,
324,0.0,,0,48,4,
327,0.041666666666666664,0.5434782608695652,2,46,5,
329,0.3125,0.7151515151515152,15,33,4,
330,0.9791666666666666,1.0,47,1,5,
328,0.20833333333333334,0.3157894736842105,10,38,5,
331,0.9791666666666666,0.7872340425531915,47,1,5,
334,1.0,,48,0,3,
333,0.6875,0.4484848484848485,33,15,4,
332,0.125,0.1984126984126984,6,42,4,
336,1.0,,48,0,1,
335,1.0,,48,0,4,
337,1.0,,48,0,3,
338,0.7916666666666666,0.3605263157894737,38,10,3,
342,1.0,,48,0,3,
340,0.0,,0,48,3,
341,0.9375,0.7851851851851852,45,3,4,
339,0.875,0.6547619047619048,42,6,3,
343,0.7708333333333334,0.5208845208845209,37,11,2,
345,1.0,,48,0,3,
346,1.0,,48,0,4,
344,1.0,,48,0,2,
348,1.0,,48,0,2,
347,0.2916666666666667,0.49159663865546216,14,34,3,
350,1.0,,48,0,2,
349,0.08333333333333333,0.26136363636363635,4,44,4,
351,0.2916666666666667,0.5651260504201681,14,34,3,
353,1.0,,48,0,4,
354,1.0,,48,0,4,
356,0.9791666666666666,0.7659574468085106,47,1,5,
352,0.0,,0,48,4,
355,0.0,,0,48,5,
357,1.0,,48,0,5,
358,0.9375,0.5259259259259259,45,3,2,
360,1.0,,48,0,3,
359,0.4583333333333333,0.24475524475524477,22,26,4,
361,0.0,,0,48,4,
362,0.8541666666666666,0.4076655052264808,41,7,1,
363,1.0,,48,0,2,
364,0.875,0.746031746031746,42,6,4,
366,1.0,,48,0,4,
365,0.6666666666666666,0.365234375,32,16,5,
367,1.0,,48,0,4,
368,1.0,,48,0,2,
370,1.0,,48,0,1,
369,0.9583333333333334,0.9239130434782609,46,2,2,
374,1.0,,48,0,1,
373,1.0,,48,0,5,
371,0.0,,0,48,5,
375,1.0,,48,0,5,
377,0.7083333333333334,0.5651260504201681,34,14,3,
376,1.0,,48,0,4,
372,0.3541666666666667,0.47058823529411764,17,31,2,
378,1.0,,48,0,3,
379,0.0,,0,48,4,
380,0.0,,0,48,4,
381,0.0625,0.4444444444444444,3,45,5,
