problem_idx,p,kappa,n_correct,n_incorrect,level,type
3,1.0,,48,0,3,
0,1.0,,48,0,2,
2,0.8958333333333334,0.986046511627907,43,5,3,
1,0.1875,0.8831908831908832,9,39,5,
6,0.9583333333333334,0.4782608695652174,46,2,3,
5,0.9791666666666666,0.7446808510638298,47,1,2,
4,0.4375,0.5202821869488536,21,27,2,
7,0.041666666666666664,0.3695652173913043,2,46,4,
8,1.0,,48,0,3,
9,0.041666666666666664,0.5434782608695652,2,46,5,
10,0.5208333333333334,0.49391304347826087,25,23,3,
12,0.0,,0,48,5,
13,1.0,,48,0,2,
11,0.0,,0,48,5,
14,0.7708333333333334,0.6044226044226044,37,11,1,
16,1.0,,48,0,1,
15,0.041666666666666664,0.4673913043478261,2,46,5,
17,0.16666666666666666,0.334375,8,40,4,
18,0.4583333333333333,0.5244755244755245,22,26,1,
19,0.7083333333333334,0.5861344537815126,34,14,3,
20,0.0625,0.17777777777777778,3,45,3,
22,0.5,0.7135416666666666,24,24,5,
21,0.0,,0,48,3,
23,0.0,,0,48,5,
24,0.08333333333333333,0.6420454545454546,4,44,5,
26,0.0625,0.14074074074074075,3,45,5,
25,0.0,,0,48,5,
27,0.8958333333333334,0.7581395348837209,43,5,2,
28,0.9375,0.07407407407407407,45,3,2,
29,0.7916666666666666,0.9289473684210526,38,10,2,
30,0.9375,0.9555555555555556,45,3,3,
32,0.9791666666666666,0.723404255319149,47,1,4,
31,0.0,,0,48,4,
33,0.4583333333333333,0.47202797202797203,22,26,4,
34,0.9583333333333334,0.8695652173913043,46,2,4,
35,1.0,,48,0,2,
36,0.4375,0.7442680776014109,21,27,2,
37,0.7291666666666666,0.8131868131868132,35,13,3,
38,1.0,,48,0,1,
39,0.7291666666666666,0.4989010989010989,35,13,3,
40,0.3125,0.13737373737373737,15,33,2,
41,0.4166666666666667,0.8428571428571429,20,28,4,
42,1.0,,48,0,2,
43,0.0,,0,48,5,
44,1.0,,48,0,5,
45,0.9791666666666666,0.8085106382978723,47,1,3,
46,0.75,0.41898148148148145,36,12,2,
48,0.9791666666666666,0.2553191489361702,47,1,2,
47,0.8333333333333334,0.540625,40,8,5,
49,1.0,,48,0,4,
50,0.0625,0.6592592592592592,3,45,5,
51,0.9791666666666666,1.0,47,1,2,
52,0.7291666666666666,0.6461538461538462,35,13,5,
54,1.0,,48,0,2,
55,0.9583333333333334,0.7065217391304348,46,2,4,
56,0.9791666666666666,1.0,47,1,3,
57,0.9791666666666666,0.23404255319148937,47,1,2,
58,0.6875,0.6828282828282828,33,15,1,
59,0.8541666666666666,0.5609756097560976,41,7,2,
61,0.9791666666666666,0.9787234042553191,47,1,3,
60,0.0,,0,48,5,
62,0.041666666666666664,0.5978260869565217,2,46,5,
63,0.16666666666666666,0.53125,8,40,5,
65,1.0,,48,0,1,
64,0.0,,0,48,4,
67,0.9583333333333334,0.31521739130434784,46,2,4,
66,0.0,,0,48,3,
69,0.8333333333333334,0.675,40,8,4,
68,0.1875,0.5897435897435898,9,39,4,
70,0.8541666666666666,0.8606271777003485,41,7,2,
71,0.0,,0,48,4,
72,0.9791666666666666,0.574468085106383,47,1,2,
74,0.8333333333333334,0.70625,40,8,2,
73,0.9791666666666666,0.8936170212765957,47,1,4,
75,0.8125,0.4444444444444444,39,9,4,
77,1.0,,48,0,1,
