problem_idx,p,kappa,n_correct,n_incorrect,level,type
0,1.0,,16,0,2,
3,1.0,,16,0,3,
5,1.0,,16,0,2,
2,0.9375,0.9333333333333333,15,1,3,
8,1.0,,16,0,3,
6,0.5,0.84375,8,8,3,
13,1.0,,16,0,2,
14,0.9375,0.8,15,1,1,
16,0.75,0.3333333333333333,12,4,1,
20,0.0,,0,16,3,
22,1.0,,16,0,5,
23,0.0,,0,16,5,
27,1.0,,16,0,2,
28,1.0,,16,0,2,
29,1.0,,16,0,2,
31,0.0,,0,16,4,
33,0.6875,0.8181818181818182,11,5,4,
34,1.0,,16,0,4,
37,1.0,,16,0,3,
38,1.0,,16,0,1,
40,1.0,,16,0,2,
39,1.0,,16,0,3,
42,1.0,,16,0,2,
44,1.0,,16,0,5,
45,1.0,,16,0,3,
48,1.0,,16,0,2,
49,1.0,,16,0,4,
47,1.0,,16,0,5,
52,1.0,,16,0,5,
53,1.0,,16,0,2,
54,1.0,,16,0,2,
55,1.0,,16,0,4,
56,1.0,,16,0,3,
57,1.0,,16,0,2,
58,1.0,,16,0,1,
59,1.0,,16,0,2,
65,1.0,,16,0,1,
67,1.0,,16,0,4,
66,0.0,,0,16,3,
70,1.0,,16,0,2,
72,1.0,,16,0,2,
73,1.0,,16,0,4,
74,1.0,,16,0,2,
77,1.0,,16,0,1,
79,1.0,,16,0,1,
78,0.5,0.515625,8,8,4,
75,0.8125,0.9487179487179487,13,3,4,
81,1.0,,16,0,3,
83,0.875,0.5714285714285714,14,2,2,
85,1.0,,16,0,4,
84,0.625,0.43333333333333335,10,6,4,
86,1.0,,16,0,1,
87,1.0,,16,0,1,
90,1.0,,16,0,3,
89,0.75,0.75,12,4,4,
91,0.875,0.9642857142857143,14,2,3,
93,1.0,,16,0,4,
95,1.0,,16,0,2,
97,1.0,,16,0,1,
98,0.0,,0,16,2,
99,0.0,,0,16,3,
102,0.0,,0,16,1,
105,1.0,,16,0,3,
107,1.0,,16,0,2,
106,0.0,,0,16,2,
111,1.0,,16,0,3,
112,0.9375,1.0,15,1,4,
113,1.0,,16,0,2,
114,1.0,,16,0,3,
115,1.0,,16,0,2,
116,1.0,,16,0,2,
117,1.0,,16,0,2,
121,1.0,,16,0,2,
122,1.0,,16,0,3,
125,1.0,,16,0,4,
127,0.0,,0,16,3,
132,1.0,,16,0,3,
131,0.875,0.8928571428571429,14,2,4,
133,1.0,,16,0,3,
135,1.0,,16,0,5,
134,1.0,,16,0,4,
140,1.0,,16,0,4,
141,1.0,,16,0,1,
144,1.0,,16,0,1,
146,1.0,,16,0,3,
148,1.0,,16,0,1,
149,1.0,,16,0,2,
151,0.875,0.07142857142857142,14,2,5,
158,1.0,,16,0,4,
157,0.0,,0,16,2,
159,1.0,,16,0,4,
160,1.0,,16,0,2,
161,1.0,,16,0,2,
165,1.0,,16,0,4,
169,1.0,,16,0,2,
167,1.0,,16,0,1,
171,1.0,,16,0,1,
172,1.0,,16,0,1,
174,0.9375,0.7333333333333333,15,1,3,
178,1.0,,16,0,2,
180,1.0,,16,0,3,
182,1.0,,16,0,2,
181,0.8125,0.358974358974359,13,3,3,
185,1.0,,16,0,1,
186,0.9375,0.8,15,1,4,
187,1.0,,16,0,1,
190,0.875,0.8571428571428571,14,2,5,
191,1.0,,16,0,2,
196,1.0,,16,0,1,
192,0.75,0.8958333333333334,12,4,3,
198,1.0,,16,0,3,
199,1.0,,16,0,2,
201,0.875,0.8928571428571429,14,2,4,
202,1.0,,16,0,5,
203,0.8125,1.0,13,3,3,
205,1.0,,16,0,3,
207,1.0,,16,0,2,
208,0.9375,0.7333333333333333,15,1,3,
206,1.0,,16,0,2,
209,0.9375,0.4,15,1,2,
211,1.0,,16,0,2,
212,1.0,,16,0,3,
215,0.9375,0.13333333333333333,15,1,4,
216,1.0,,16,0,4,
218,1.0,,16,0,2,
220,1.0,,16,0,5,
221,0.875,0.7857142857142857,14,2,3,
227,1.0,,16,0,3,
225,1.0,,16,0,3,
229,1.0,,16,0,4,
231,0.9375,0.6666666666666666,15,1,4,
233,0.0,,0,16,2,
235,0.0,,0,16,4,
238,1.0,,16,0,5,
237,1.0,,16,0,1,
243,1.0,,16,0,2,
244,0.875,0.5714285714285714,14,2,5,
241,0.625,0.6333333333333333,10,6,5,
246,1.0,,16,0,2,
247,0.9375,0.9333333333333333,15,1,3,
250,1.0,,16,0,4,
251,0.8125,0.7435897435897436,13,3,5,
252,0.6875,0.9090909090909091,11,5,5,
253,1.0,,16,0,3,
254,0.9375,0.8666666666666667,15,1,5,
255,1.0,,16,0,2,
256,1.0,,16,0,3,
258,1.0,,16,0,3,
257,0.0,,0,16,4,
259,1.0,,16,0,1,
262,1.0,,16,0,1,
261,0.0,,0,16,3,
260,0.0,,0,16,3,
263,1.0,,16,0,4,
265,1.0,,16,0,2,
266,1.0,,16,0,3,
268,1.0,,16,0,1,
269,1.0,,16,0,3,
270,1.0,,16,0,1,
272,0.875,0.35714285714285715,14,2,4,
273,0.9375,0.8666666666666667,15,1,4,
275,1.0,,16,0,2,
276,0.6875,0.6727272727272727,11,5,5,
277,1.0,,16,0,4,
278,1.0,,16,0,3,
279,0.875,0.9285714285714286,14,2,5,
280,1.0,,16,0,4,
283,1.0,,16,0,3,
290,1.0,,16,0,3,
293,0.0,,0,16,5,
297,1.0,,16,0,4,
298,0.6875,0.9272727272727272,11,5,4,
300,1.0,,16,0,4,
305,0.0,,0,16,4,
310,1.0,,16,0,2,
312,1.0,,16,0,1,
313,1.0,,16,0,5,
316,1.0,,16,0,2,
314,1.0,,16,0,2,
319,1.0,,16,0,3,
318,0.0,,0,16,2,
321,1.0,,16,0,5,
322,1.0,,16,0,3,
325,1.0,,16,0,2,
329,1.0,,16,0,4,
330,0.9375,0.3333333333333333,15,1,5,
334,1.0,,16,0,3,
336,1.0,,16,0,1,
337,1.0,,16,0,3,
