problem_idx,p,kappa,n_correct,n_incorrect,level,type
3,1.0,,48,0,3,
0,1.0,,48,0,2,
2,1.0,,48,0,3,
1,0.9375,0.9185185185185185,45,3,5,
5,1.0,,48,0,2,
4,1.0,,48,0,2,
6,1.0,,48,0,3,
7,0.0,,0,48,4,
8,1.0,,48,0,3,
10,0.9791666666666666,0.8085106382978723,47,1,3,
9,0.25,0.6157407407407407,12,36,5,
12,1.0,,48,0,5,
11,0.0625,0.7407407407407407,3,45,5,
13,1.0,,48,0,2,
14,0.875,0.5912698412698413,42,6,1,
16,1.0,,48,0,1,
15,0.875,0.3333333333333333,42,6,5,
18,0.0625,0.4222222222222222,3,45,1,
17,0.4583333333333333,0.5681818181818182,22,26,4,
20,0.6666666666666666,0.5234375,32,16,3,
19,0.6875,0.8323232323232324,33,15,3,
21,0.8125,0.4358974358974359,39,9,3,
23,0.0,,0,48,5,
24,0.9583333333333334,0.44565217391304346,46,2,5,
22,0.9791666666666666,1.0,47,1,5,
26,0.7291666666666666,0.6945054945054945,35,13,5,
27,0.9166666666666666,0.8181818181818182,44,4,2,
28,0.625,0.23333333333333334,30,18,2,
25,0.0,,0,48,5,
29,1.0,,48,0,2,
30,1.0,,48,0,3,
31,0.0,,0,48,4,
32,1.0,,48,0,4,
35,1.0,,48,0,2,
34,1.0,,48,0,4,
33,0.9375,0.562962962962963,45,3,4,
36,0.6458333333333334,0.967741935483871,31,17,2,
37,0.9791666666666666,1.0,47,1,3,
38,1.0,,48,0,1,
39,0.9166666666666666,0.9090909090909091,44,4,3,
40,0.375,0.5481481481481482,18,30,2,
42,1.0,,48,0,2,
41,0.9583333333333334,0.6739130434782609,46,2,4,
45,1.0,,48,0,3,
44,1.0,,48,0,5,
43,0.0,,0,48,5,
46,0.9583333333333334,0.75,46,2,2,
48,1.0,,48,0,2,
47,1.0,,48,0,5,
49,1.0,,48,0,4,
51,1.0,,48,0,2,
50,0.9375,0.6444444444444445,45,3,5,
53,1.0,,48,0,2,
52,1.0,,48,0,5,
54,1.0,,48,0,2,
55,1.0,,48,0,4,
57,1.0,,48,0,2,
56,1.0,,48,0,3,
58,0.8958333333333334,0.3488372093023256,43,5,1,
59,1.0,,48,0,2,
61,0.9791666666666666,0.9148936170212766,47,1,3,
60,0.3541666666666667,0.9013282732447818,17,31,5,
62,0.9791666666666666,1.0,47,1,5,
63,0.9791666666666666,0.10638297872340426,47,1,5,
65,1.0,,48,0,1,
64,0.5416666666666666,0.5472027972027972,26,22,4,
66,0.0,,0,48,3,
67,1.0,,48,0,4,
68,0.9375,0.7407407407407407,45,3,4,
70,1.0,,48,0,2,
69,1.0,,48,0,4,
71,0.9166666666666666,0.6306818181818182,44,4,4,
72,1.0,,48,0,2,
73,1.0,,48,0,4,
74,1.0,,48,0,2,
75,1.0,,48,0,4,
76,1.0,,48,0,2,
77,1.0,,48,0,1,
78,0.9583333333333334,1.0,46,2,4,
79,1.0,,48,0,1,
81,1.0,,48,0,3,
80,0.5208333333333334,0.5304347826086957,25,23,5,
84,1.0,,48,0,4,
82,0.9166666666666666,0.8806818181818182,44,4,5,
83,0.9791666666666666,0.8085106382978723,47,1,2,
85,1.0,,48,0,4,
86,1.0,,48,0,1,
87,1.0,,48,0,1,
89,0.7916666666666666,0.4342105263157895,38,10,4,
