problem_idx,p,kappa,n_correct,n_incorrect,level,type
2,1.0,,48,0,3,
3,1.0,,48,0,3,
0,1.0,,48,0,2,
5,1.0,,48,0,2,
1,0.9375,0.837037037037037,45,3,5,
6,1.0,,48,0,3,
4,0.3125,0.27474747474747474,15,33,2,
8,1.0,,48,0,3,
7,0.0,,0,48,4,
10,0.9166666666666666,0.7215909090909091,44,4,3,
11,0.0,,0,48,5,
9,0.1875,0.5698005698005698,9,39,5,
12,0.7291666666666666,0.23956043956043957,35,13,5,
14,0.9791666666666666,0.9361702127659575,47,1,1,
13,1.0,,48,0,2,
16,1.0,,48,0,1,
15,0.4583333333333333,0.36363636363636365,22,26,5,
20,1.0,,48,0,3,
17,0.4791666666666667,0.22434782608695653,23,25,4,
19,0.9375,0.037037037037037035,45,3,3,
18,0.10416666666666667,0.5767441860465117,5,43,1,
21,0.20833333333333334,0.42105263157894735,10,38,3,
23,0.0,,0,48,5,
24,0.375,0.6333333333333333,18,30,5,
22,0.3125,0.6080808080808081,15,33,5,
27,1.0,,48,0,2,
25,0.0625,0.6444444444444445,3,45,5,
28,0.1875,0.8062678062678063,9,39,2,
26,0.6458333333333334,0.4648956356736243,31,17,5,
29,1.0,,48,0,2,
30,1.0,,48,0,3,
31,0.0,,0,48,4,
32,1.0,,48,0,4,
33,1.0,,48,0,4,
35,1.0,,48,0,2,
34,0.9583333333333334,0.9021739130434783,46,2,4,
36,0.9375,0.45185185185185184,45,3,2,
37,0.9583333333333334,0.29347826086956524,46,2,3,
38,1.0,,48,0,1,
39,0.9375,0.37777777777777777,45,3,3,
40,1.0,,48,0,2,
41,0.9583333333333334,0.9782608695652174,46,2,4,
42,1.0,,48,0,2,
44,1.0,,48,0,5,
43,0.0,,0,48,5,
45,1.0,,48,0,3,
47,1.0,,48,0,5,
46,0.6041666666666666,0.7023593466424682,29,19,2,
48,1.0,,48,0,2,
49,1.0,,48,0,4,
50,0.7916666666666666,0.7210526315789474,38,10,5,
51,0.9583333333333334,0.8043478260869565,46,2,2,
52,1.0,,48,0,5,
53,1.0,,48,0,2,
54,1.0,,48,0,2,
55,1.0,,48,0,4,
57,1.0,,48,0,2,
56,1.0,,48,0,3,
58,1.0,,48,0,1,
59,1.0,,48,0,2,
61,1.0,,48,0,3,
60,0.0,,0,48,5,
62,0.4583333333333333,0.6311188811188811,22,26,5,
63,0.6666666666666666,0.765625,32,16,5,
65,1.0,,48,0,1,
66,0.9791666666666666,1.0,47,1,3,
64,0.020833333333333332,1.0,1,47,4,
67,1.0,,48,0,4,
70,1.0,,48,0,2,
69,0.6458333333333334,0.49335863377609107,31,17,4,
68,0.3333333333333333,0.6015625,16,32,4,
71,0.0,,0,48,4,
74,1.0,,48,0,2,
72,1.0,,48,0,2,
73,1.0,,48,0,4,
75,1.0,,48,0,4,
77,1.0,,48,0,1,
78,0.9791666666666666,1.0,47,1,4,
76,1.0,,48,0,2,
79,1.0,,48,0,1,
81,1.0,,48,0,3,
82,0.9583333333333334,0.5,46,2,5,
83,1.0,,48,0,2,
80,0.0,,0,48,5,
84,1.0,,48,0,4,
86,1.0,,48,0,1,
85,0.9791666666666666,0.02127659574468085,47,1,4,
87,1.0,,48,0,1,
90,0.8958333333333334,0.5255813953488372,43,5,3,
89,1.0,,48,0,4,
91,1.0,,48,0,3,
88,0.4166666666666667,0.7607142857142857,20,28,5,
92,1.0,,48,0,4,
93,1.0,,48,0,4,
95,1.0,,48,0,2,
94,0.020833333333333332,0.0425531914893617,1,47,5,
97,0.875,0.3888888888888889,42,6,1,
98,1.0,,48,0,2,
96,0.0,,0,48,5,
99,1.0,,48,0,3,
102,1.0,,48,0,1,
100,0.0,,0,48,5,
105,1.0,,48,0,3,
101,0.0,,0,48,5,
103,0.0,,0,48,5,
104,0.20833333333333334,0.06315789473684211,10,38,4,
106,0.0,,0,48,2,
