problem_idx,p,kappa,n_correct,n_incorrect,level,type
3,1.0,,48,0,3,
2,1.0,,48,0,3,
0,0.9791666666666666,0.40425531914893614,47,1,2,
1,1.0,,48,0,5,
5,1.0,,48,0,2,
4,1.0,,48,0,2,
6,1.0,,48,0,3,
8,1.0,,48,0,3,
7,0.0,,0,48,4,
10,0.1875,0.3817663817663818,9,39,3,
9,0.0,,0,48,5,
12,1.0,,48,0,5,
14,1.0,,48,0,1,
13,1.0,,48,0,2,
15,0.625,0.49074074074074076,30,18,5,
16,1.0,,48,0,1,
11,0.0,,0,48,5,
20,0.8541666666666666,0.34494773519163763,41,7,3,
19,0.6458333333333334,0.3927893738140417,31,17,3,
17,0.16666666666666666,0.64375,8,40,4,
21,0.20833333333333334,0.48947368421052634,10,38,3,
22,0.8958333333333334,0.4418604651162791,43,5,5,
18,0.0,,0,48,1,
24,1.0,,48,0,5,
23,0.0,,0,48,5,
25,0.020833333333333332,0.3617021276595745,1,47,5,
27,1.0,,48,0,2,
28,0.0625,0.37037037037037035,3,45,2,
29,1.0,,48,0,2,
26,0.020833333333333332,0.23404255319148937,1,47,5,
30,1.0,,48,0,3,
31,0.0,,0,48,4,
32,0.8333333333333334,0.16875,40,8,4,
33,0.9583333333333334,0.05434782608695652,46,2,4,
34,1.0,,48,0,4,
35,1.0,,48,0,2,
36,0.7083333333333334,0.5777310924369747,34,14,2,
38,0.9791666666666666,0.574468085106383,47,1,1,
37,0.75,0.5300925925925926,36,12,3,
39,1.0,,48,0,3,
42,1.0,,48,0,2,
40,0.4583333333333333,0.5087412587412588,22,26,2,
41,0.6041666666666666,0.3938294010889292,29,19,4,
44,1.0,,48,0,5,
45,1.0,,48,0,3,
43,0.0,,0,48,5,
46,0.625,0.45555555555555555,30,18,2,
48,1.0,,48,0,2,
49,1.0,,48,0,4,
47,1.0,,48,0,5,
52,0.9791666666666666,0.5957446808510638,47,1,5,
50,0.6875,0.3838383838383838,33,15,5,
51,0.7708333333333334,0.538083538083538,37,11,2,
53,1.0,,48,0,2,
54,1.0,,48,0,2,
55,1.0,,48,0,4,
56,1.0,,48,0,3,
57,1.0,,48,0,2,
58,1.0,,48,0,1,
59,1.0,,48,0,2,
61,0.5833333333333334,0.46964285714285714,28,20,3,
60,0.0,,0,48,5,
63,1.0,,48,0,5,
62,1.0,,48,0,5,
65,1.0,,48,0,1,
67,1.0,,48,0,4,
64,0.020833333333333332,0.02127659574468085,1,47,4,
66,0.14583333333333334,0.5714285714285714,7,41,3,
68,0.625,0.3611111111111111,30,18,4,
69,0.9791666666666666,0.1702127659574468,47,1,4,
70,1.0,,48,0,2,
71,0.4375,0.3368606701940035,21,27,4,
72,1.0,,48,0,2,
73,1.0,,48,0,4,
74,0.9791666666666666,0.5531914893617021,47,1,2,
75,1.0,,48,0,4,
77,1.0,,48,0,1,
76,0.9791666666666666,0.1276595744680851,47,1,2,
78,0.9791666666666666,0.2127659574468085,47,1,4,
79,1.0,,48,0,1,
81,1.0,,48,0,3,
80,0.0,,0,48,5,
82,0.9583333333333334,0.021739130434782608,46,2,5,
84,1.0,,48,0,4,
85,1.0,,48,0,4,
86,1.0,,48,0,1,
83,0.3125,0.5313131313131313,15,33,2,
87,1.0,,48,0,1,
89,1.0,,48,0,4,
90,1.0,,48,0,3,
91,1.0,,48,0,3,
92,1.0,,48,0,4,
95,1.0,,48,0,2,
88,0.0,,0,48,5,
94,0.0,,0,48,5,
96,0.0,,0,48,5,
97,0.6041666666666666,0.47186932849364793,29,19,1,
98,0.9583333333333334,0.8043478260869565,46,2,2,
99,0.020833333333333332,0.48936170212765956,1,47,3,
100,0.0,,0,48,5,
102,1.0,,48,0,1,
101,0.0625,0.4,3,45,5,
105,1.0,,48,0,3,
103,0.0,,0,48,5,
104,0.041666666666666664,0.05434782608695652,2,46,4,
107,1.0,,48,0,2,
106,0.0,,0,48,2,
109,0.4375,0.5202821869488536,21,27,5,
108,0.020833333333333332,0.48936170212765956,1,47,3,
111,1.0,,48,0,3,
110,0.0,,0,48,4,
113,1.0,,48,0,2,
112,1.0,,48,0,4,
114,1.0,,48,0,3,
115,1.0,,48,0,2,
116,1.0,,48,0,2,
117,1.0,,48,0,2,
118,0.9791666666666666,0.9148936170212766,47,1,5,
121,1.0,,48,0,2,
122,1.0,,48,0,3,
120,0.75,0.3449074074074074,36,12,2,
119,0.0,,0,48,3,
125,1.0,,48,0,4,
124,1.0,,48,0,4,
123,0.2708333333333333,0.45714285714285713,13,35,4,
127,0.3541666666666667,0.4952561669829222,17,31,3,
129,0.6666666666666666,0.470703125,32,16,5,
130,1.0,,48,0,4,
126,0.020833333333333332,0.1702127659574468,1,47,4,
128,0.3958333333333333,0.4827586206896552,19,29,3,
133,1.0,,48,0,3,
132,1.0,,48,0,3,
131,1.0,,48,0,4,
134,1.0,,48,0,4,
135,1.0,,48,0,5,
137,1.0,,48,0,4,
136,0.020833333333333332,0.06382978723404255,1,47,5,
140,1.0,,48,0,4,
138,0.4375,0.5044091710758377,21,27,4,
139,0.8333333333333334,0.315625,40,8,3,
141,1.0,,48,0,1,
142,0.875,0.18253968253968253,42,6,5,
143,0.0,,0,48,3,
144,1.0,,48,0,1,
145,0.4166666666666667,0.35535714285714287,20,28,5,
146,1.0,,48,0,3,
148,1.0,,48,0,1,
149,1.0,,48,0,2,
151,1.0,,48,0,5,
147,0.3958333333333333,0.35390199637023595,19,29,5,
150,0.0625,0.7185185185185186,3,45,5,
152,0.5416666666666666,0.291958041958042,26,22,5,
153,0.6666666666666666,0.2578125,32,16,4,
155,0.8541666666666666,0.3205574912891986,41,7,4,
154,0.0,,0,48,5,
158,1.0,,48,0,4,
157,0.0,,0,48,2,
156,0.0,,0,48,3,
159,1.0,,48,0,4,
160,1.0,,48,0,2,
161,1.0,,48,0,2,
162,1.0,,48,0,5,
163,1.0,,48,0,5,
165,0.9791666666666666,0.1702127659574468,47,1,4,
164,0.2708333333333333,0.6043956043956044,13,35,2,
166,0.0,,0,48,5,
169,1.0,,48,0,2,
167,1.0,,48,0,1,
168,0.0,,0,48,5,
171,1.0,,48,0,1,
172,1.0,,48,0,1,
173,0.8333333333333334,0.4875,40,8,5,
175,1.0,,48,0,2,
170,0.0625,0.5185185185185185,3,45,5,
174,1.0,,48,0,3,
176,1.0,,48,0,3,
178,1.0,,48,0,2,
179,1.0,,48,0,4,
180,1.0,,48,0,3,
177,0.0,,0,48,3,
181,1.0,,48,0,3,
182,1.0,,48,0,2,
183,0.5625,0.6507936507936508,27,21,4,
185,1.0,,48,0,1,
184,0.0,,0,48,5,
186,1.0,,48,0,4,
187,1.0,,48,0,1,
190,1.0,,48,0,5,
191,1.0,,48,0,2,
189,0.0,,0,48,5,
188,0.5625,0.47442680776014107,27,21,5,
192,1.0,,48,0,3,
193,0.4166666666666667,0.3625,20,28,3,
195,1.0,,48,0,4,
194,0.22916666666666666,0.19656019656019655,11,37,5,
196,1.0,,48,0,1,
198,1.0,,48,0,3,
197,0.9583333333333334,0.45652173913043476,46,2,5,
199,1.0,,48,0,2,
200,1.0,,48,0,4,
201,1.0,,48,0,4,
202,1.0,,48,0,5,
203,1.0,,48,0,3,
205,0.8541666666666666,0.3310104529616725,41,7,3,
204,0.041666666666666664,0.9130434782608695,2,46,5,
207,1.0,,48,0,2,
206,0.875,0.6388888888888888,42,6,2,
208,1.0,,48,0,3,
209,1.0,,48,0,2,
211,1.0,,48,0,2,
210,0.041666666666666664,0.29347826086956524,2,46,4,
212,1.0,,48,0,3,
214,0.8333333333333334,0.61875,40,8,5,
215,1.0,,48,0,4,
216,1.0,,48,0,4,
213,0.8333333333333334,0.2375,40,8,4,
218,1.0,,48,0,2,
220,1.0,,48,0,5,
219,0.020833333333333332,0.9787234042553191,1,47,4,
221,1.0,,48,0,3,
217,0.0,,0,48,4,
223,0.4166666666666667,0.3053571428571429,20,28,3,
224,0.9166666666666666,0.6022727272727273,44,4,4,
225,1.0,,48,0,3,
226,1.0,,48,0,3,
227,1.0,,48,0,3,
222,0.020833333333333332,0.14893617021276595,1,47,4,
229,1.0,,48,0,4,
228,0.0,,0,48,4,
230,0.7083333333333334,0.39285714285714285,34,14,4,
231,1.0,,48,0,4,
232,0.3333333333333333,0.390625,16,32,5,
233,0.020833333333333332,0.3829787234042553,1,47,2,
234,1.0,,48,0,3,
235,0.0,,0,48,4,
236,0.22916666666666666,0.4742014742014742,11,37,4,
238,0.9583333333333334,0.6847826086956522,46,2,5,
237,1.0,,48,0,1,
241,0.9791666666666666,0.6382978723404256,47,1,5,
242,0.0,,0,48,5,
240,0.0,,0,48,4,
243,1.0,,48,0,2,
239,0.0,,0,48,5,
244,0.9791666666666666,0.7021276595744681,47,1,5,
246,1.0,,48,0,2,
245,0.875,0.43253968253968256,42,6,4,
247,1.0,,48,0,3,
248,0.4375,0.32451499118165783,21,27,4,
250,1.0,,48,0,4,
249,0.9791666666666666,0.5319148936170213,47,1,4,
251,0.9583333333333334,0.7065217391304348,46,2,5,
252,1.0,,48,0,5,
253,1.0,,48,0,3,
254,1.0,,48,0,5,
255,1.0,,48,0,2,
256,1.0,,48,0,3,
258,1.0,,48,0,3,
257,0.0,,0,48,4,
259,1.0,,48,0,1,
262,1.0,,48,0,1,
261,0.020833333333333332,0.9361702127659575,1,47,3,
260,0.14583333333333334,0.6689895470383276,7,41,3,
263,1.0,,48,0,4,
265,1.0,,48,0,2,
266,1.0,,48,0,3,
267,0.0,,0,48,1,
268,1.0,,48,0,1,
269,1.0,,48,0,3,
270,1.0,,48,0,1,
264,0.0,,0,48,5,
271,1.0,,48,0,4,
272,0.9791666666666666,0.851063829787234,47,1,4,
273,1.0,,48,0,4,
275,1.0,,48,0,2,
274,0.0,,0,48,5,
276,1.0,,48,0,5,
277,1.0,,48,0,4,
278,1.0,,48,0,3,
280,1.0,,48,0,4,
279,1.0,,48,0,5,
282,0.9791666666666666,0.8936170212765957,47,1,4,
283,1.0,,48,0,3,
281,0.0,,0,48,4,
284,0.0,,0,48,5,
287,0.8125,0.2022792022792023,39,9,5,
285,0.0,,0,48,4,
286,0.0,,0,48,5,
288,0.9375,0.5037037037037037,45,3,5,
289,1.0,,48,0,3,
290,1.0,,48,0,3,
291,1.0,,48,0,4,
293,0.9375,0.6518518518518519,45,3,5,
292,0.0,,0,48,4,
294,1.0,,48,0,4,
295,0.375,0.5444444444444444,18,30,3,
297,1.0,,48,0,4,
296,0.7291666666666666,0.3802197802197802,35,13,2,
298,0.8958333333333334,0.4232558139534884,43,5,4,
299,1.0,,48,0,4,
300,0.5625,0.13580246913580246,27,21,4,
301,0.0,,0,48,5,
302,0.20833333333333334,0.5105263157894737,10,38,4,
304,1.0,,48,0,3,
303,0.0,,0,48,5,
305,0.0,,0,48,4,
306,0.0,,0,48,5,
307,1.0,,48,0,2,
308,0.0,,0,48,5,
310,1.0,,48,0,2,
309,0.0,,0,48,3,
312,1.0,,48,0,1,
311,1.0,,48,0,4,
313,1.0,,48,0,5,
316,1.0,,48,0,2,
315,0.9791666666666666,0.02127659574468085,47,1,4,
314,1.0,,48,0,2,
317,1.0,,48,0,5,
319,1.0,,48,0,3,
318,0.4166666666666667,0.4303571428571429,20,28,2,
321,1.0,,48,0,5,
320,0.7083333333333334,0.47689075630252103,34,14,5,
322,1.0,,48,0,3,
325,1.0,,48,0,2,
323,0.4166666666666667,0.6839285714285714,20,28,5,
326,0.8958333333333334,0.2930232558139535,43,5,2,
324,0.0,,0,48,4,
329,1.0,,48,0,4,
330,1.0,,48,0,5,
327,0.08333333333333333,0.21022727272727273,4,44,5,
328,0.020833333333333332,0.02127659574468085,1,47,5,
331,1.0,,48,0,5,
334,1.0,,48,0,3,
333,0.875,0.35714285714285715,42,6,4,
332,0.20833333333333334,0.4605263157894737,10,38,4,
335,1.0,,48,0,4,
336,1.0,,48,0,1,
337,1.0,,48,0,3,
338,0.6041666666666666,0.5190562613430127,29,19,3,
341,1.0,,48,0,4,
339,1.0,,48,0,3,
342,1.0,,48,0,3,
340,0.0,,0,48,3,
343,0.9791666666666666,0.1702127659574468,47,1,2,
345,1.0,,48,0,3,
346,1.0,,48,0,4,
344,1.0,,48,0,2,
348,1.0,,48,0,2,
347,0.20833333333333334,0.5921052631578947,10,38,3,
350,1.0,,48,0,2,
349,0.041666666666666664,0.2717391304347826,2,46,4,
351,0.5,0.5017361111111112,24,24,3,
353,1.0,,48,0,4,
354,1.0,,48,0,4,
356,0.9791666666666666,0.6382978723404256,47,1,5,
357,1.0,,48,0,5,
355,0.0625,0.4962962962962963,3,45,5,
352,0.0,,0,48,4,
358,1.0,,48,0,2,
360,1.0,,48,0,3,
359,0.4166666666666667,0.38571428571428573,20,28,4,
361,0.0,,0,48,4,
362,0.020833333333333332,0.2127659574468085,1,47,1,
363,1.0,,48,0,2,
364,1.0,,48,0,4,
366,1.0,,48,0,4,
365,0.4375,0.3897707231040564,21,27,5,
367,1.0,,48,0,4,
368,1.0,,48,0,2,
370,1.0,,48,0,1,
369,0.7291666666666666,0.32967032967032966,35,13,2,
371,0.0,,0,48,5,
373,1.0,,48,0,5,
374,1.0,,48,0,1,
372,0.5833333333333334,0.4732142857142857,28,20,2,
375,1.0,,48,0,5,
376,1.0,,48,0,4,
377,0.5833333333333334,0.5071428571428571,28,20,3,
378,1.0,,48,0,3,
380,0.3958333333333333,0.5698729582577132,19,29,4,
379,0.0,,0,48,4,
382,0.75,0.3287037037037037,36,12,5,
381,0.10416666666666667,0.4372093023255814,5,43,5,
384,0.7291666666666666,0.610989010989011,35,13,2,
383,0.0,,0,48,4,
385,1.0,,48,0,5,
386,1.0,,48,0,3,
387,1.0,,48,0,1,
388,1.0,,48,0,5,
389,1.0,,48,0,3,
391,0.625,0.39444444444444443,30,18,5,
393,0.0,,0,48,3,
390,0.9583333333333334,0.6521739130434783,46,2,5,
392,0.020833333333333332,0.9574468085106383,1,47,5,
395,1.0,,48,0,1,
394,0.375,0.5314814814814814,18,30,5,
397,1.0,,48,0,2,
396,0.4375,0.19223985890652556,21,27,3,
399,1.0,,48,0,2,
398,0.5833333333333334,0.44821428571428573,28,20,4,
