problem_idx,p,kappa,n_correct,n_incorrect,level,type
3,0.9791666666666666,0.0851063829787234,47,1,3,
2,1.0,,48,0,3,
0,1.0,,48,0,2,
1,0.5833333333333334,0.38035714285714284,28,20,5,
5,0.4375,0.17989417989417988,21,27,2,
4,0.6041666666666666,0.6424682395644283,29,19,2,
6,0.125,0.42063492063492064,6,42,3,
7,0.0,,0,48,4,
8,1.0,,48,0,3,
9,0.0,,0,48,5,
10,0.8333333333333334,0.584375,40,8,3,
12,0.5625,0.7037037037037037,27,21,5,
11,0.0,,0,48,5,
13,0.9791666666666666,0.9361702127659575,47,1,2,
14,0.16666666666666666,0.728125,8,40,1,
15,0.5416666666666666,0.486013986013986,26,22,5,
16,1.0,,48,0,1,
20,0.4166666666666667,0.48392857142857143,20,28,3,
17,0.125,0.5595238095238095,6,42,4,
19,0.9791666666666666,0.9787234042553191,47,1,3,
18,0.16666666666666666,0.3,8,40,1,
22,0.6458333333333334,0.42314990512333966,31,17,5,
21,0.0,,0,48,3,
23,0.0,,0,48,5,
24,0.5833333333333334,0.75,28,20,5,
26,0.1875,0.4586894586894587,9,39,5,
27,0.8125,0.3076923076923077,39,9,2,
28,0.9583333333333334,0.5869565217391305,46,2,2,
25,0.0,,0,48,5,
30,1.0,,48,0,3,
31,0.0,,0,48,4,
32,1.0,,48,0,4,
33,0.7708333333333334,0.7714987714987716,37,11,4,
34,0.8541666666666666,0.9094076655052264,41,7,4,
36,0.0,,0,48,2,
35,0.2916666666666667,0.4096638655462185,14,34,2,
37,0.6458333333333334,0.3567362428842505,31,17,3,
38,0.4166666666666667,0.3,20,28,1,
39,0.9791666666666666,0.0,47,1,3,
40,0.125,0.1111111111111111,6,42,2,
41,0.0625,0.6444444444444445,3,45,4,
42,1.0,,48,0,2,
43,0.0,,0,48,5,
45,1.0,,48,0,3,
44,0.8125,0.5071225071225072,39,9,5,
46,0.0,,0,48,2,
49,0.875,0.9920634920634921,42,6,4,
47,0.9375,0.6888888888888889,45,3,5,
48,0.20833333333333334,0.13421052631578947,10,38,2,
50,0.375,0.7240740740740741,18,30,5,
52,1.0,,48,0,5,
51,0.9166666666666666,0.7840909090909091,44,4,2,
53,1.0,,48,0,2,
54,1.0,,48,0,2,
55,1.0,,48,0,4,
