problem_idx,p,kappa,n_correct,n_incorrect,level,type
0,1.0,,48,0,2,
3,1.0,,48,0,3,
2,1.0,,48,0,3,
1,0.9583333333333334,0.4782608695652174,46,2,5,
5,1.0,,48,0,2,
4,1.0,,48,0,2,
6,1.0,,48,0,3,
8,1.0,,48,0,3,
7,0.0,,0,48,4,
10,0.9375,0.2222222222222222,45,3,3,
9,0.0,,0,48,5,
12,0.8333333333333334,0.71875,40,8,5,
13,1.0,,48,0,2,
14,0.9375,0.9407407407407408,45,3,1,
16,1.0,,48,0,1,
11,0.0,,0,48,5,
15,0.9166666666666666,0.6477272727272727,44,4,5,
19,0.6875,0.296969696969697,33,15,3,
17,0.7291666666666666,0.6659340659340659,35,13,4,
20,0.0,,0,48,3,
22,0.8541666666666666,1.0,41,7,5,
21,0.125,0.30952380952380953,6,42,3,
18,0.0,,0,48,1,
24,0.875,0.6388888888888888,42,6,5,
23,0.0,,0,48,5,
26,0.625,0.8555555555555555,30,18,5,
25,0.0,,0,48,5,
28,1.0,,48,0,2,
27,1.0,,48,0,2,
29,0.9583333333333334,0.9891304347826086,46,2,2,
30,1.0,,48,0,3,
32,1.0,,48,0,4,
31,0.0,,0,48,4,
33,0.8125,0.4131054131054131,39,9,4,
34,0.9166666666666666,0.8977272727272727,44,4,4,
35,1.0,,48,0,2,
38,1.0,,48,0,1,
37,0.7708333333333334,0.7199017199017199,37,11,3,
36,0.0,,0,48,2,
39,0.9791666666666666,1.0,47,1,3,
42,1.0,,48,0,2,
41,0.8125,0.8233618233618234,39,9,4,
40,0.125,0.3333333333333333,6,42,2,
43,0.0,,0,48,5,
45,1.0,,48,0,3,
44,1.0,,48,0,5,
46,0.0,,0,48,2,
48,1.0,,48,0,2,
49,1.0,,48,0,4,
50,0.6458333333333334,0.3984819734345351,31,17,5,
51,0.9583333333333334,0.5869565217391305,46,2,2,
47,1.0,,48,0,5,
52,1.0,,48,0,5,
53,1.0,,48,0,2,
54,1.0,,48,0,2,
55,1.0,,48,0,4,
56,1.0,,48,0,3,
57,1.0,,48,0,2,
59,1.0,,48,0,2,
58,0.9791666666666666,0.8936170212765957,47,1,1,
60,0.0,,0,48,5,
61,1.0,,48,0,3,
63,0.9791666666666666,0.9361702127659575,47,1,5,
62,0.2708333333333333,0.34725274725274724,13,35,5,
65,1.0,,48,0,1,
64,0.14583333333333334,0.49825783972125437,7,41,4,
67,1.0,,48,0,4,
66,0.0,,0,48,3,
68,0.9791666666666666,0.7872340425531915,47,1,4,
69,0.8333333333333334,0.175,40,8,4,
70,1.0,,48,0,2,
71,0.5208333333333334,0.4608695652173913,25,23,4,
72,1.0,,48,0,2,
75,1.0,,48,0,4,
74,0.9791666666666666,0.9361702127659575,47,1,2,
73,0.041666666666666664,1.0,2,46,4,
76,1.0,,48,0,2,
77,1.0,,48,0,1,
78,0.9583333333333334,0.6739130434782609,46,2,4,
79,1.0,,48,0,1,
81,1.0,,48,0,3,
80,0.0,,0,48,5,
82,0.9375,0.725925925925926,45,3,5,
83,0.4375,0.544973544973545,21,27,2,
85,1.0,,48,0,4,
84,1.0,,48,0,4,
86,1.0,,48,0,1,
87,1.0,,48,0,1,
90,0.9791666666666666,0.8085106382978723,47,1,3,
89,0.25,0.48148148148148145,12,36,4,
91,1.0,,48,0,3,
92,0.6666666666666666,0.48046875,32,16,4,
93,1.0,,48,0,4,
94,0.041666666666666664,0.75,2,46,5,
95,1.0,,48,0,2,
88,0.020833333333333332,0.7659574468085106,1,47,5,
96,0.0,,0,48,5,
97,0.7083333333333334,0.4495798319327731,34,14,1,
98,0.0,,0,48,2,
99,0.0,,0,48,3,
100,0.0,,0,48,5,
102,0.0,,0,48,1,
101,0.020833333333333332,0.19148936170212766,1,47,5,
105,1.0,,48,0,3,
104,0.0,,0,48,4,
103,0.0,,0,48,5,
107,1.0,,48,0,2,
106,0.0,,0,48,2,
108,0.6458333333333334,0.7191650853889943,31,17,3,
109,0.5625,0.5714285714285714,27,21,5,
111,1.0,,48,0,3,
