K,N,heldout_MAE_mean,heldout_MAE_ci_low,heldout_MAE_ci_high,models
8,2,0.06121171305931315,0.0572139402170578,0.06520948590156854,5
8,8,0.09323887799275378,0.08638900452844141,0.10008875145706611,5
8,16,0.11397033668358325,0.1052569890236714,0.12268368434349515,5
8,32,0.12482467404764264,0.11490472920912127,0.13474461888616399,5
8,48,0.1259301403644158,0.11561693700399314,0.13624334372483854,5
8,64,0.12596788242452606,0.11538904037247004,0.13654672447658212,5
8,96,0.12595810704621035,0.11494623816984388,0.13696997592257681,5
8,128,0.12603113910719518,0.11465690074879364,0.13740537746559672,5
16,2,0.04430560416666662,0.04143553420323054,0.04717567413010269,5
16,8,0.06933301338064708,0.06425702158282882,0.07440900517846534,5
16,16,0.08972142864170551,0.08285886757689367,0.09658398970651735,5
16,32,0.11017645598821149,0.1013816068579219,0.11897130511850111,5
16,48,0.11806203269880049,0.10837269415820358,0.12775137123939734,5
16,64,0.12074900511417426,0.11058778080539575,0.13091022942295275,5
16,96,0.12177201758489795,0.11108020153723834,0.1324638336325576,5
16,128,0.12172653495533167,0.11066113703502585,0.1327919328756375,5
24,2,0.03613532211983086,0.03382634319092888,0.038444301048732824,5
24,8,0.05734836010676582,0.053234517405378635,0.061462202808152955,5
24,16,0.07473950193541731,0.06910123039068358,0.08037777348015104,5
24,32,0.0954078490054846,0.08780531215268297,0.10301038585828619,5
24,48,0.1064230321789589,0.09762359590594566,0.11522246845197218,5
24,64,0.1120856062044863,0.10253568067589018,0.12163553173308231,5
24,96,0.1164009512064927,0.10601724719461232,0.12678465521837307,5
24,128,0.1174278916643646,0.10656331462625716,0.12829246870247205,5
32,2,0.03149390545280608,0.02947426050294416,0.03351355040266798,5
32,8,0.05136052854355246,0.04768518327599406,0.05503587381111093,5
32,16,0.0684461490727024,0.06329093949877318,0.07360135864663161,5
32,32,0.0891432657756986,0.08199350598248334,0.09629302556891389,5
32,48,0.10159770799449783,0.0931418351712167,0.11005358081777898,5
32,64,0.10927982570082746,0.09993145890497787,0.11862819249667707,5
32,96,0.11661865326234569,0.1061954556229225,0.12704185090176887,5
32,128,0.11912443793501645,0.10810126420488012,0.13014761166515282,5
48,2,0.027098305493918416,0.02536609037051658,0.02883052061732026,5
48,8,0.04344725385867962,0.04034110021272052,0.046553407504638725,5
48,16,0.057014925946249836,0.05276004050167932,0.0612698113908204,5
48,32,0.07422776728199457,0.06832929594616657,0.0801262386178225,5
48,48,0.0855549724933923,0.07844542322855771,0.09266452175822695,5
48,64,0.09371976316040342,0.08567001928234122,0.10176950703846561,5
48,96,0.10393052592489097,0.09454375210145807,0.11331729974832386,5
48,128,0.10892363509559562,0.09866869681293526,0.11917857337825588,5
64,2,0.0240692491319444,0.0225140432689512,0.02562445499493756,5
64,8,0.03896238553268142,0.03622486191639484,0.041699909148968,5
64,16,0.0512667551706754,0.04746942629308036,0.055064084048270456,5
64,32,0.06724639495578169,0.06196516865637371,0.07252762125518968,5
64,48,0.07790769413615864,0.0715164310824447,0.08429895718987254,5
64,64,0.08554687059780608,0.07825114519150064,0.09284259600411154,5
64,96,0.09579878747714528,0.08711234132393028,0.1044852336303603,5
64,128,0.10176051214141997,0.09206986974411475,0.11145115453872516,5
96,2,0.02150002690972218,0.02012477225818248,0.02287528156126186,5
96,8,0.0353821268824771,0.0328904043669537,0.03787384939800044,5
96,16,0.0470496885358693,0.04358066076034938,0.0505187163113892,5
96,32,0.06199732881636426,0.0571490316627723,0.06684562596995622,5
96,48,0.07197329078857662,0.06609109284832622,0.07785548872882701,5
96,64,0.07948345778396124,0.07274787125412134,0.0862190443138012,5
96,96,0.090019523190157,0.08189710843829634,0.09814193794201768,5
96,128,0.09696999708967194,0.08775883877300744,0.10618115540633648,5
128,2,0.021024609374999958,0.01969926469758202,0.02234995405241788,5
128,8,0.0336948521332792,0.03131007856589074,0.03607962570066764,5
128,16,0.04498928335951084,0.04167163520294248,0.0483069315160792,5
128,32,0.05948708927086088,0.05486854147583662,0.06410563706588505,5
128,48,0.06929243311002982,0.06368726203681005,0.07489760418324953,5
128,64,0.07662100017720594,0.0701856526606138,0.08305634769379802,5
128,96,0.08704559631056517,0.07923572487756776,0.09485546774356263,5
128,128,0.09360641123256254,0.08468249064606012,0.1025303318190649,5
192,2,0.02445157335069442,0.02289500244189692,0.026008144259491838,5
192,8,0.03891765257927242,0.03615128649559516,0.04168401866294968,5
192,16,0.05156715283597626,0.047730128821711806,0.05540417685024068,5
192,32,0.06756756736191742,0.06220684525460912,0.07292828946922576,5
192,48,0.07819157381653094,0.0717067064548791,0.08467644117818277,5
192,64,0.08576255345123744,0.07837092585215662,0.09315418105031822,5
