N,auc_only_mae,moment_mae,auc_only_mae_ci_low,auc_only_mae_ci_high
2,4.8051647964881727e-17,7.048131479778051e-18,4.432972133850397e-17,5.1905181349425163e-17
3,0.015815973955994204,4.944923504913045e-18,0.014623182599368609,0.01690636973017534
4,0.0194917450862815,7.427482275115815e-18,0.017950810700882523,0.02083965988012543
8,0.0320170726128827,6.56844489254934e-18,0.029676521099043382,0.034321019150851166
16,0.047627702997769236,7.44110972799246e-18,0.04474509194804918,0.0509351953673013
32,0.06814634513981173,6.678276798575822e-18,0.06322485164619678,0.0724029481984387
48,0.08209840370442219,4.0791245581569534e-18,0.07645548358119728,0.08763683942483892
