model,K,N,selected_estimator,MAE,median_AE,max_AE,num_rows,selection_source
3B,8,1,oracle_full_distribution,0.0031451056985294,0.002197265625,0.017822265625,119,calibration
3B,8,2,oracle_full_distribution,0.0033789707832977,0.0022897124290466,0.0169519186019897,119,calibration
3B,8,4,oracle_full_distribution,0.0042694378041837,0.0023421595873287,0.0224222268418685,119,calibration
3B,8,8,oracle_full_distribution,0.0056391414654384,0.0035573683182081,0.0267039079369598,119,calibration
3B,8,16,oracle_full_distribution,0.0072952084835827,0.004867286921744,0.0544024209496543,119,calibration
3B,8,32,oracle_full_distribution,0.0099411318374058,0.0061463984494165,0.0877543257190863,119,calibration
3B,8,48,oracle_full_distribution,0.0119796544699078,0.006829288173312,0.1084345667981495,119,calibration
3B,8,64,oracle_full_distribution,0.0135130698544485,0.0069771235570664,0.121769264931319,119,calibration
3B,8,128,oracle_full_distribution,0.0183436857541861,0.008535870841121,0.150290862526489,119,calibration
3B,8,256,oracle_full_distribution,0.0253481273928448,0.0117070983607611,0.2853227576665765,119,calibration
3B,16,1,oracle_full_distribution,0.0031451056985294,0.002197265625,0.017822265625,119,calibration
3B,16,2,oracle_full_distribution,0.0033789707832977,0.0022897124290466,0.0169519186019897,119,calibration
3B,16,4,oracle_full_distribution,0.0042694378041837,0.0023421595873287,0.0224222268418685,119,calibration
3B,16,8,oracle_full_distribution,0.0056391414654384,0.0035573683182081,0.0267039079369598,119,calibration
3B,16,16,oracle_full_distribution,0.0072952084835827,0.004867286921744,0.0544024209496543,119,calibration
3B,16,32,oracle_full_distribution,0.0099411318374058,0.0061463984494165,0.0877543257190863,119,calibration
3B,16,48,oracle_full_distribution,0.0119796544699078,0.006829288173312,0.1084345667981495,119,calibration
3B,16,64,oracle_full_distribution,0.0135130698544485,0.0069771235570664,0.121769264931319,119,calibration
3B,16,128,oracle_full_distribution,0.0183436857541861,0.008535870841121,0.150290862526489,119,calibration
3B,16,256,oracle_full_distribution,0.0253481273928448,0.0117070983607611,0.2853227576665765,119,calibration
3B,32,1,oracle_full_distribution,0.0031451056985294,0.002197265625,0.017822265625,119,calibration
3B,32,2,oracle_full_distribution,0.0033789707832977,0.0022897124290466,0.0169519186019897,119,calibration
3B,32,4,oracle_full_distribution,0.0042694378041837,0.0023421595873287,0.0224222268418685,119,calibration
