problem_idx,n_samples,p,kappa,n_correct,n_incorrect,level,type,f_N1,f_N2,f_N4,f_N8,f_N16,f_N32,f_N48,f_N64,f_N128,f_N256,f_N512,f_N1024
0,4096,0.7255859375,0.5736060287475513,2972,1124,2,,0.7255859375,0.7548974752426147,0.7680412327858548,0.7742919929063089,0.7827239345377403,0.8051887801573572,0.8258235075913343,0.8412645398630131,0.8746518901938,0.8952927512871279,0.8734385157793706,0.7784285830495867
1,4096,0.052734375,0.3684027777777778,216,3880,5,,0.052734375,0.03958690166473389,0.03288835761434683,0.028169202196889863,0.02214540839610041,0.015613609774431499,0.01267167950626789,0.010733656205647868,0.005505467680974441,0.0011838148698062748,3.7822039640772074e-05,2.2248201006270512e-08
2,4096,0.9619140625,0.7240791357542626,3940,156,3,,0.9619140625,0.97833251953125,0.9856387175071717,0.9899630543440789,0.9925383224644286,0.993497861126312,0.9933796209005754,0.9932439958527266,0.9944729187028349,0.9980719494614496,0.9998826164607114,0.9999997822339723
3,4096,0.858154296875,0.6015375462426826,3515,581,3,,0.858154296875,0.8828737139701843,0.8968299589520647,0.9081260004213404,0.9182650583057932,0.9237325250634667,0.923596144618125,0.9214917941108158,0.9099680055618233,0.9020480996986248,0.9186868205230065,0.962923474664043
4,4096,0.319580078125,0.575602155922551,1309,2787,2,,0.319580078125,0.35245925188064575,0.37898247276482167,0.3957510208239211,0.40650550044856615,0.41894761642626394,0.4305089597544672,0.44151735947927157,0.4708058700807298,0.4785950017135888,0.4348240112794064,0.365015093916151
5,4096,0.5771484375,0.5085095719862605,2364,1732,2,,0.5771484375,0.5813019275665283,0.5832989625825604,0.5922025729045182,0.6160214941128569,0.6513814286127173,0.6738889818274906,0.6908521253097684,0.7390969573894951,0.7973458892271432,0.853450087703665,0.9066658324337873
6,4096,0.4345703125,0.4844937998486348,1780,2316,3,,0.4345703125,0.42694997787475586,0.39323817799420624,0.3173932454467193,0.20603845707997412,0.1088520101687818,0.07951955798766731,0.0717243962822245,0.07775283927753006,0.08741542986520531,0.08863851143454884,0.08404141960382433
7,4096,0.001953125,0.3047639432485323,8,4088,4,,0.001953125,0.0011919736862182617,0.0007427086943536665,0.0003239358966753064,5.812674031622501e-05,1.2732252556614228e-06,2.1179842788784802e-08,3.131940498620576e-10,9.476801477446784e-18,4.338852382290118e-33,4.549431128164745e-64,2.5051547310013018e-126
8,4096,0.92236328125,0.6395442332471009,3778,318,3,,0.92236328125,0.9423485994338989,0.9492243565518876,0.9516890985494244,0.9537278021215934,0.9560655159404283,0.9581602634252988,0.9601001756920229,0.9641992317225779,0.9628281949430902,0.9617194052658304,0.9766957379609995
9,4096,0.0302734375,0.456333447032453,124,3972,5,,0.0302734375,0.027709603309631348,0.023245991010675482,0.019787780501884407,0.018968995767825337,0.019990740654442268,0.02173908536483401,0.023589912286005415,0.029415083602071693,0.03253679700626902,0.026706927942703983,0.010997521927040859
