model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","hierarchical_shrinkage",1,1,0.4401709401709402,0.33589743589743604,0.8205128205128206,3
"3B","hierarchical_shrinkage",1,2,0.3294871794871795,0.24615384615384617,0.7384615384615385,3
"3B","hierarchical_shrinkage",2,1,0.43602693602693604,0.33838383838383845,0.8080808080808082,3
"3B","hierarchical_shrinkage",2,2,0.32575757575757575,0.24242424242424243,0.7272727272727273,3
"3B","hierarchical_shrinkage",4,1,0.42320261437908496,0.32843137254901955,0.7843137254901961,3
"3B","hierarchical_shrinkage",4,2,0.31495098039215685,0.23529411764705888,0.7058823529411764,3
"3B","oracle_full_distribution",1,1,0.125,0.125,0.25,3
"3B","oracle_full_distribution",1,2,0.026041666666666668,0.015625,0.0625,3
"3B","oracle_full_distribution",2,1,0.125,0.125,0.25,3
"3B","oracle_full_distribution",2,2,0.026041666666666668,0.015625,0.0625,3
"3B","oracle_full_distribution",4,1,0.125,0.125,0.25,3
"3B","oracle_full_distribution",4,2,0.026041666666666668,0.015625,0.0625,3
"3B","raw_plugin",1,1,0.16666666666666666,0.0,0.5,3
"3B","raw_plugin",1,2,0.08333333333333333,0.0,0.25,3
"3B","raw_plugin",2,1,0.16666666666666666,0.0,0.5,3
"3B","raw_plugin",2,2,0.08333333333333333,0.0,0.25,3
"3B","raw_plugin",4,1,0.08333333333333333,0.0,0.25,3
"3B","raw_plugin",4,2,0.020833333333333332,0.0,0.0625,3
"3B","tail_smoothed_moment",1,1,0.16666666666666666,0.0,0.5,3
"3B","tail_smoothed_moment",1,2,0.08333333333333333,0.0,0.25,3
"3B","tail_smoothed_moment",2,1,0.16666666666666666,0.0,0.5,3
"3B","tail_smoothed_moment",2,2,0.08333333333333333,0.0,0.25,3
"3B","tail_smoothed_moment",4,1,0.08333333333333333,0.0,0.25,3
"3B","tail_smoothed_moment",4,2,0.020833333333333332,0.0,0.0625,3
"70B","hierarchical_shrinkage",1,1,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",1,2,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",2,1,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",2,2,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",4,1,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",4,2,0.0,0.0,0.0,3
"70B","oracle_full_distribution",1,1,0.0,0.0,0.0,3
"70B","oracle_full_distribution",1,2,0.0,0.0,0.0,3
"70B","oracle_full_distribution",2,1,0.0,0.0,0.0,3
"70B","oracle_full_distribution",2,2,0.0,0.0,0.0,3
"70B","oracle_full_distribution",4,1,0.0,0.0,0.0,3
"70B","oracle_full_distribution",4,2,0.0,0.0,0.0,3
"70B","raw_plugin",1,1,0.0,0.0,0.0,3
"70B","raw_plugin",1,2,0.0,0.0,0.0,3
"70B","raw_plugin",2,1,0.0,0.0,0.0,3
"70B","raw_plugin",2,2,0.0,0.0,0.0,3
"70B","raw_plugin",4,1,0.0,0.0,0.0,3
"70B","raw_plugin",4,2,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",1,1,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",1,2,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",2,1,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",2,2,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",4,1,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",4,2,0.0,0.0,0.0,3
