model,problem_idx,K,N,estimator,predicted,actual,abs_error,difficulty_bin
"3B",0,1,1,"raw_plugin",1.0,0.5,0.5,"medium"
"3B",0,1,1,"hierarchical_shrinkage",0.835897435897436,0.5,0.33589743589743604,"medium"
"3B",0,1,1,"tail_smoothed_moment",1.0,0.5,0.5,"medium"
"3B",0,1,1,"oracle_full_distribution",0.75,0.5,0.25,"medium"
"3B",0,1,2,"raw_plugin",1.0,0.75,0.25,"medium"
"3B",0,1,2,"hierarchical_shrinkage",0.7538461538461538,0.75,0.0038461538461538325,"medium"
"3B",0,1,2,"tail_smoothed_moment",1.0,0.75,0.25,"medium"
"3B",0,1,2,"oracle_full_distribution",0.8125,0.75,0.0625,"medium"
"3B",1,1,1,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",1,1,1,"hierarchical_shrinkage",0.8205128205128206,0.0,0.8205128205128206,"no_correct"
"3B",1,1,1,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",1,1,1,"oracle_full_distribution",0.125,0.0,0.125,"no_correct"
"3B",1,1,2,"raw_plugin",0.0,0.0,0.0,"no_correct"
"3B",1,1,2,"hierarchical_shrinkage",0.7384615384615385,0.0,0.7384615384615385,"no_correct"
"3B",1,1,2,"tail_smoothed_moment",0.0,0.0,0.0,"no_correct"
"3B",1,1,2,"oracle_full_distribution",0.015625,0.0,0.015625,"no_correct"
"3B",2,1,1,"raw_plugin",1.0,1.0,0.0,"all_correct"
"3B",2,1,1,"hierarchical_shrinkage",0.835897435897436,1.0,0.16410256410256396,"all_correct"
"3B",2,1,1,"tail_smoothed_moment",1.0,1.0,0.0,"all_correct"
"3B",2,1,1,"oracle_full_distribution",1.0,1.0,0.0,"all_correct"
"3B",2,1,2,"raw_plugin",1.0,1.0,0.0,"all_correct"
"3B",2,1,2,"hierarchical_shrinkage",0.7538461538461538,1.0,0.24615384615384617,"all_correct"
"3B",2,1,2,"tail_smoothed_moment",1.0,1.0,0.0,"all_correct"
"3B",2,1,2,"oracle_full_distribution",1.0,1.0,0.0,"all_correct"
"3B",0,2,1,"raw_plugin",1.0,0.5,0.5,"medium"
"3B",0,2,1,"hierarchical_shrinkage",0.8383838383838385,0.5,0.33838383838383845,"medium"
"3B",0,2,1,"tail_smoothed_moment",1.0,0.5,0.5,"medium"
"3B",0,2,1,"oracle_full_distribution",0.75,0.5,0.25,"medium"
