model,K,N,selected_estimator,MAE,median_AE,max_AE,num_rows,selection_source
"3B",1,1,"raw_plugin",0.16666666666666666,0.0,0.5,3,"calibration"
"3B",1,2,"raw_plugin",0.08333333333333333,0.0,0.25,3,"calibration"
"3B",2,1,"raw_plugin",0.16666666666666666,0.0,0.5,3,"calibration"
"3B",2,2,"raw_plugin",0.08333333333333333,0.0,0.25,3,"calibration"
"3B",4,1,"hierarchical_shrinkage",0.42320261437908496,0.32843137254901955,0.7843137254901961,3,"calibration"
"3B",4,2,"oracle_full_distribution",0.026041666666666668,0.015625,0.0625,3,"calibration"
"70B",1,1,"hierarchical_shrinkage",0.0,0.0,0.0,3,"calibration"
"70B",1,2,"hierarchical_shrinkage",0.0,0.0,0.0,3,"calibration"
"70B",2,1,"hierarchical_shrinkage",0.0,0.0,0.0,3,"calibration"
"70B",2,2,"hierarchical_shrinkage",0.0,0.0,0.0,3,"calibration"
"70B",4,1,"hierarchical_shrinkage",0.0,0.0,0.0,3,"calibration"
"70B",4,2,"hierarchical_shrinkage",0.0,0.0,0.0,3,"calibration"
"ALL",1,1,"mixed_by_model_calibration_choice",0.08333333333333333,0.0,0.5,6,"calibration"
"ALL",1,2,"mixed_by_model_calibration_choice",0.041666666666666664,0.0,0.25,6,"calibration"
"ALL",2,1,"mixed_by_model_calibration_choice",0.08333333333333333,0.0,0.5,6,"calibration"
"ALL",2,2,"mixed_by_model_calibration_choice",0.041666666666666664,0.0,0.25,6,"calibration"
"ALL",4,1,"mixed_by_model_calibration_choice",0.21160130718954248,0.0784313725490196,0.7843137254901961,6,"calibration"
"ALL",4,2,"mixed_by_model_calibration_choice",0.013020833333333334,0.0,0.0625,6,"calibration"
