model,K,N,estimator,predicted,actual,abs_error,num_problems
"3B",1,1,"pooled",0.6666666666666666,0.5,0.16666666666666663,3
"3B",1,2,"pooled",0.6666666666666667,0.5833333333333333,0.08333333333333348,3
"3B",1,4,"pooled",0.8148148148148148,0.6643518518518517,0.15046296296296302,3
"3B",2,1,"pooled",0.6666666666666666,0.5,0.16666666666666663,3
"3B",2,2,"pooled",0.5555555555555556,0.5833333333333333,0.02777777777777768,3
"3B",2,4,"pooled",0.4320987654320988,0.6643518518518517,0.23225308641975295,3
"3B",4,1,"pooled",0.5833333333333334,0.5,0.08333333333333337,3
"3B",4,2,"pooled",0.5902777777777781,0.5833333333333333,0.006944444444444864,3
"3B",4,4,"pooled",0.6435667438271607,0.6643518518518517,0.020785108024691024,3
"70B",1,1,"pooled",1.0,1.0,0.0,3
"70B",1,2,"pooled",1.0,1.0,0.0,3
"70B",1,4,"pooled",1.0,1.0,0.0,3
"70B",2,1,"pooled",1.0,1.0,0.0,3
"70B",2,2,"pooled",1.0,1.0,0.0,3
"70B",2,4,"pooled",1.0,1.0,0.0,3
"70B",4,1,"pooled",1.0,1.0,0.0,3
"70B",4,2,"pooled",1.0,1.0,0.0,3
"70B",4,4,"pooled",1.0,1.0,0.0,3
