model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","hierarchical_shrinkage",1,1,0.21623931623931616,0.16410256410256396,0.3205128205128206,3
"3B","hierarchical_shrinkage",1,2,0.3269230769230769,0.24615384615384617,0.4884615384615385,3
"3B","hierarchical_shrinkage",2,1,0.21043771043771042,0.16161616161616155,0.3080808080808082,3
"3B","hierarchical_shrinkage",2,2,0.3207070707070707,0.24242424242424243,0.4772727272727273,3
"3B","hierarchical_shrinkage",4,1,0.20424836601307192,0.17156862745098045,0.28431372549019607,3
"3B","hierarchical_shrinkage",4,2,0.3125,0.24632352941176472,0.4558823529411764,3
"3B","oracle_full_distribution",1,1,0.20833333333333334,0.25,0.375,3
"3B","oracle_full_distribution",1,2,0.140625,0.1875,0.234375,3
"3B","oracle_full_distribution",2,1,0.20833333333333334,0.25,0.375,3
"3B","oracle_full_distribution",2,2,0.140625,0.1875,0.234375,3
"3B","oracle_full_distribution",4,1,0.20833333333333334,0.25,0.375,3
"3B","oracle_full_distribution",4,2,0.140625,0.1875,0.234375,3
"3B","raw_plugin",1,1,0.16666666666666666,0.0,0.5,3
"3B","raw_plugin",1,2,0.08333333333333333,0.0,0.25,3
"3B","raw_plugin",2,1,0.16666666666666666,0.0,0.5,3
"3B","raw_plugin",2,2,0.08333333333333333,0.0,0.25,3
"3B","raw_plugin",4,1,0.25,0.25,0.5,3
"3B","raw_plugin",4,2,0.14583333333333334,0.1875,0.25,3
"3B","tail_smoothed_moment",1,1,0.16666666666666666,0.0,0.5,3
"3B","tail_smoothed_moment",1,2,0.08333333333333333,0.0,0.25,3
"3B","tail_smoothed_moment",2,1,0.16666666666666666,0.0,0.5,3
"3B","tail_smoothed_moment",2,2,0.08333333333333333,0.0,0.25,3
"3B","tail_smoothed_moment",4,1,0.25,0.25,0.5,3
"3B","tail_smoothed_moment",4,2,0.14583333333333334,0.1875,0.25,3
"70B","hierarchical_shrinkage",1,1,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",1,2,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",2,1,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",2,2,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",4,1,0.0,0.0,0.0,3
"70B","hierarchical_shrinkage",4,2,0.0,0.0,0.0,3
"70B","oracle_full_distribution",1,1,0.0,0.0,0.0,3
"70B","oracle_full_distribution",1,2,0.0,0.0,0.0,3
"70B","oracle_full_distribution",2,1,0.0,0.0,0.0,3
"70B","oracle_full_distribution",2,2,0.0,0.0,0.0,3
"70B","oracle_full_distribution",4,1,0.0,0.0,0.0,3
"70B","oracle_full_distribution",4,2,0.0,0.0,0.0,3
"70B","raw_plugin",1,1,0.0,0.0,0.0,3
"70B","raw_plugin",1,2,0.0,0.0,0.0,3
"70B","raw_plugin",2,1,0.0,0.0,0.0,3
"70B","raw_plugin",2,2,0.0,0.0,0.0,3
"70B","raw_plugin",4,1,0.0,0.0,0.0,3
"70B","raw_plugin",4,2,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",1,1,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",1,2,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",2,1,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",2,2,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",4,1,0.0,0.0,0.0,3
"70B","tail_smoothed_moment",4,2,0.0,0.0,0.0,3
